Gothic	Northern Low Saxon	probability
a	ɐ	0.456
a	-	0.438
a	m	0.083
aː	-	1.0
b	b	0.831
b	f	0.113
b	-	0.056
d	d	0.678
d	-	0.284
e	-	1.0
f	f	0.936
h	h	0.683
h	x	0.142
h	-	0.085
h	ŋ	0.054
i	-	0.933
i	m	0.067
iː	-	0.914
iː	ˈeɪ̯	0.086
j	-	0.603
j	ʒ	0.222
j	ˈiː	0.113
k	ɡ	0.638
k	kʰ	0.198
k	-	0.105
k	k	0.06
kʷ	f	0.5
kʷ	kʰ	0.5
l	l	1.0
lː	l	1.0
m	m	0.916
m	-	0.084
n	n	0.866
n	-	0.127
nː	n	0.868
nː	-	0.132
oː	ɐ	0.555
oː	ˈuː	0.385
oː	-	0.06
p	b	1.0
r	ɐ	0.484
r	r	0.335
r	-	0.175
s	s	0.432
s	z	0.239
s	ʃ	0.159
s	-	0.104
s	d	0.066
t	d	0.464
t	-	0.202
t	tʰ	0.156
t	t	0.155
u	-	1.0
w	v	0.832
w	-	0.164
x	ç	0.801
x	x	0.199
z	-	0.89
z	ʃ	0.11
ð	d	0.973
ŋ	ŋ	0.854
ŋ	-	0.12
ɔː	-	1.0
ɡ	ɡ	0.424
ɡ	-	0.338
ɡ	ŋ	0.108
ɡ	ç	0.052
ɡʷ	-	1.0
ɡːʷ	-	1.0
ɣ	d	0.845
ɣ	x	0.155
ʍ	v	0.889
ʍ	-	0.111
ˈa	ˈa	0.558
ˈa	ˈoː	0.181
ˈa	ˈaʊ̯	0.094
ˈeː	ˈoː	0.804
ˈeː	ˈiː	0.196
ˈi	ˈɪ	0.578
ˈi	r	0.063
ˈi	ˈoː	0.063
ˈi	ˈiː	0.059
ˈi	ˈʏ	0.052
ˈiu̯	ˈaɪ̯	0.457
ˈiu̯	ˈyː	0.2
ˈiu̯	-	0.136
ˈiu̯	ˈeː	0.136
ˈiː	ˈiː	0.635
ˈiː	ˈɪ	0.195
ˈiː	ˈaɪ̯	0.17
ˈoː	ˈaʊ̯	0.598
ˈoː	ˈyː	0.237
ˈoː	ˈuː	0.083
ˈoː	ˈɔʏ̯	0.083
ˈu	ˈʊ	0.494
ˈu	ˈuː	0.113
ˈu	ˈœː	0.103
ˈu	ˈøː	0.081
ˈu	ˈʏ	0.066
ˈu	ˈɔ	0.062
ˈu	ˈeː	0.058
ˈuː	ˈuː	0.656
ˈuː	ɐ	0.132
ˈuː	ˈʊ	0.113
ˈuː	ˈʏ	0.1
ˈɔ	ˈaʊ̯	0.724
ˈɔ	ˈɔː	0.208
ˈɔ	ˈɔ	0.067
ˈɔː	ˈaʊ̯	0.388
ˈɔː	ˈɔʏ̯	0.194
ˈɔː	ˈoː	0.172
ˈɔː	ˈøː	0.134
ˈɔː	ˈɔ	0.111
ˈɛ	ˈaː	0.24
ˈɛ	ˈɛɪ̯	0.24
ˈɛ	ˈaɪ̯	0.227
ˈɛ	ˈa	0.096
ˈɛ	ˈoː	0.096
ˈɛ	ˈɛ	0.059
ˈɛː	ˈaɪ̯	0.459
ˈɛː	ˈɪ	0.167
ˈɛː	ˈɛɪ̯	0.156
ˈɛː	-	0.124
ˈɛː	ˈeɪ̯	0.055
β	m	0.944
β	b	0.056
θ	d	0.779
θ	-	0.18
