Nuorese	Nuorese	probability
β_ɛ	f	1.0
ˈɛ_s	ˈe	1.0
ˈɛ_n	ˈɛ̃	1.0
ˈɔ_ɾ	ˈø_ʁ	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈɔ_j	ˈo	1.0
ˈu_p	ˈy	1.0
ˈi_n	ˈĩ	1.0
ˈe_n	ˈɛ̃	1.0
ˈa_ɾ	ˈa	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_m	ˈɑ̃	1.0
ʦ	s	1.0
ɾ_ɛ	j_ˈe	1.0
ɾ_u	ʁ_o	1.0
ɾ_t	ʁ	1.0
ɾ_a	ʁ_a	1.0
ɣ	-	1.0
ɛ̆	-	1.0
ɛ_ɾ	ð	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ð	-	1.0
z_j	y	1.0
u_#>	#>	1.0
t_a	a	1.0
s_u_#>	#>	1.0
s_u	ˈoː	1.0
s_k	v	1.0
s_i	ʁ	1.0
p_ɾ	p_l	1.0
p_ɛ	v	1.0
o	-	1.0
nː	-	1.0
l	l	1.0
k_ˈa	ʃ	1.0
k_ɾ	ʎ	1.0
k_ɛ	ʃ	1.0
k_u	ˈa	1.0
j	-	1.0
i_s	e	1.0
f	f	1.0
e	-	1.0
ă	-	1.0
a_s	ɑː	1.0
a_n	ɑ̃	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ɾ	<#_ʁ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
s	s	0.909
i	-	0.895
m	m	0.857
p	p	0.821
ɛ	-	0.803
ɔ	-	0.778
ŋ	-	0.75
d	d	0.75
z	-	0.727
r	ʁ	0.625
u	o	0.615
a	a	0.613
ɾ	ʁ	0.564
ˈo	w	0.556
b	v	0.548
ɡ	ɡ	0.545
β	v	0.5
ʣ	ʎ	0.5
n	n	0.5
<#_ˈa	<#_ˈaː	0.5
<#_ˈa	<#	0.5
t	-	0.487
ɡ	ð	0.455
b	b	0.452
ˈo	-	0.444
t	t	0.436
u	-	0.385
r	-	0.375
β	-	0.357
ˈi	ˈi	0.343
k	k	0.34
ˈe	ˈe	0.312
ˈa	ˈa	0.31
ʣ	-	0.3
k	ʃ	0.298
ˈɛ	ˈɛː	0.278
z	ʃ	0.273
ˈɔ	ˈoː	0.263
ˈe	ˈɛː	0.25
ˈe	ˈɛ	0.25
ŋ	ɛ̃	0.25
d	-	0.25
a	ə	0.242
ˈu	-	0.233
ˈi	ˈɛː	0.229
ˈɛ	ˈi	0.222
ˈɛ	ˈe	0.222
ɔ	ɔ	0.222
ˈa	ˈe	0.214
k	-	0.213
ˈɔ	ˈɔ	0.211
ˈɔ	w_ˈe	0.211
ˈu	ˈu	0.2
ʣ	ð	0.2
n	-	0.2
ˈe	j_ˈø	0.188
ˈi	ˈɛ	0.171
ˈi	ˈe	0.171
ɛ	ə	0.171
ˈɛ	ˈɛ	0.167
ˈu	ˈo	0.167
ˈu	w	0.167
ˈa	-	0.167
ˈɔ	w	0.158
ˈɔ	-	0.158
k	s	0.149
ɾ	-	0.145
β	l	0.143
m	-	0.143
ˈɛ	j_ˈe	0.111
p	v	0.107
i	s_a	0.105
ˈu	ˈø	0.1
n	ˈɛ̃	0.1
n	ˈɔ̃	0.1
n	ɲ	0.1
a	-	0.097
ˈa	ˈɑː	0.095
ˈa	ˈaː	0.095
ɾ	ð	0.091
s	-	0.091
ˈi	-	0.086
ˈa	ˈɛː	0.071
p	-	0.071
ˈu	ˈoː	0.067
ˈu	w_ˈɛː	0.067
ɾ	ʎ	0.055
ɾ	l	0.055
ɾ	j	0.055
t	ð	0.051
