Hoisanese	Hoisanese	probability
ᵑɡ	ɲ	1.0
ʦʰ	ʦʰ	1.0
ɵ	u	1.0
ɛ	a	1.0
ɔ_n	n	1.0
ɔ_j	j	1.0
ŋ	ŋ	1.0
²¹_#>	#>	1.0
²¹	²⁴	1.0
²²	¹¹	1.0
²	³¹	1.0
w_ɔ	o	1.0
v	v	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
m̩	ŋ̍	1.0
m	m	1.0
l	l	1.0
k̚	k̚	1.0
kʰ	kʰ	1.0
k	k	1.0
j_i	i	1.0
i	i	1.0
h_w	kʰ	1.0
e_j	i	1.0
a_w	o	1.0
a_k̚	e_t̚	1.0
a_j	i	1.0
t̚	t̚	0.917
ɔ	o	0.786
e	e	0.778
f	f	0.75
ᵐb	m	0.727
a	a	0.71
³³	²⁴	0.68
ʦ	ʦ	0.667
t	ʦ	0.667
⁵⁵	³¹	0.649
h	h	0.647
u	u	0.619
<#_ⁿd	<#_n	0.6
tʰ	ʨʰ	0.571
<#	<#_t	0.571
ɬ	ɕ	0.5
ɬ	s	0.5
³²	⁵⁵	0.5
u_j	ŋ̍	0.5
u_j	i	0.5
j_a	e	0.5
j_a	a	0.5
j	j	0.5
i_w	u	0.5
i_w	j_u	0.5
<#_ᵑɡ	<#_ŋ	0.5
<#_ᵑɡ	<#	0.5
tʰ	ʦʰ	0.429
<#	<#_tʰ	0.429
w	w	0.412
<#_ⁿd	<#	0.4
j	-	0.389
h	tʰ	0.353
⁵⁵	²	0.351
³²	⁵	0.35
ʦ	-	0.333
t	ʨ	0.333
w	o	0.294
ᵐb	v	0.273
f	p	0.25
a	o	0.226
e	-	0.222
³³	⁵⁵	0.22
ɔ	-	0.214
u	e	0.19
w	-	0.176
³²	²	0.15
u	o	0.143
w	u	0.118
j	e	0.111
³³	²	0.1
t̚	p̚	0.083
a	e	0.065
