English	English	probability
ˈɜː	r	1.0
ˈɛ	-	1.0
ˈɒ	-	1.0
ˈiː_#>	j_ˈɛː_r̥_#>	1.0
ˈe_ɫ	l̥	1.0
ˈaɪ̯_t	ʰt	1.0
ˈaɪ̯_d	ˈiː_ð	1.0
ˈaɪ̯_#>	ɣ_a_#>	1.0
ʤ	ɡ̊ː	1.0
ɜː	r_ˈɛ	1.0
əʊ̯	-	1.0
ð	ð	1.0
z	-	1.0
tʰ	tʰ	1.0
t_ə	ʰt͡n̥	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
b	b̥	1.0
<#_ˈɐ	<#_ˈɔ	1.0
<#_ɹ	<#_r	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d̥	1.0
<#	<#_ɡ̊	1.0
s	s	0.865
t	t	0.842
h	h	0.826
f	f	0.808
ɹ	r	0.8
kʰ	kʰ	0.8
<#_w	<#_v	0.706
p	p	0.7
ʧ	k	0.667
ɪ	ʏ	0.667
ɡ	ɟ̊	0.667
θ	θ	0.632
ˈʊ	ˈoːu̯	0.6
ˈuː	-	0.6
ˈeɪ̯	ˈaː	0.6
ŋ	ŋ_ɡ̊	0.6
#>	ʏ_r̥_#>	0.598
ˈaʊ̯	ˈuː	0.538
k	k	0.533
ˈəʊ̯	-	0.529
ə	r̥	0.517
ʃ	s_k	0.5
ʃ	s_c	0.5
n	n	0.489
d	ð	0.485
ˈaɪ̯	ˈiː	0.45
ɫ	l	0.444
ˈæ	ˈa	0.417
ˈʊ	ˈʏ	0.4
ˈuː	ˈoːu̯	0.4
ˈeɪ̯	-	0.4
v	v_a	0.4
v	-	0.4
d	d̥	0.394
ɫ	t͡l̥	0.389
ˈɔː	r	0.385
#>	a_#>	0.361
ʧ	ʰc	0.333
ɪ	ɑu̯	0.333
ɡ	ɡ̊_ʏ	0.333
w	ˈɔ	0.333
ˈɔː	ˈɔ_r	0.308
ˈɔː	ˈa	0.308
ˈɑː	ˈaː	0.3
ˈɑː	ˈa_r	0.3
p	ʰp	0.3
<#_w	<#	0.294
ˈe	ˈɛ	0.286
θ	ð	0.263
ˈæ	-	0.25
ˈaɪ̯	ˈɪ	0.25
w	v	0.25
w	kʰ_v	0.25
ə	ɪ_r̥	0.241
ˈe	ˈœːy̯	0.238
ˈəʊ̯	ˈɛːi̯	0.235
ˈiː	-	0.214
ˈɪ	ˈɪ	0.2
ˈɑː	ˈa_r̥	0.2
ˈɑː	l	0.2
ˈɐ	ˈʏ	0.2
ˈaɪ̯	j	0.2
ŋ	ʰk	0.2
ŋ	ŋ	0.2
v	v	0.2
kʰ	cʰ	0.2
k	a	0.2
f	v	0.192
ˈe	j	0.19
ˈe	-	0.19
n	t͡n̥	0.178
h	ç	0.174
ˈæ	ˈɛ	0.167
ˈæ	ˈœ	0.167
ɫ	l̥	0.167
w	-	0.167
t	ʰt	0.158
ˈaʊ̯	ˈʏ_ɡ̊	0.154
ˈaʊ̯	ˈʏ	0.154
ˈaʊ̯	ˈiː_r̥	0.154
ˈɐ	ˈɔː	0.15
ˈɐ	ˈuː	0.15
ˈɐ	ˈu	0.15
ˈɐ	ˈoːu̯	0.15
ˈiː	ˈaːi̯	0.143
n	n̥	0.133
k	ʰk	0.133
k	c	0.133
d	-	0.121
ˈəʊ̯	ˈɛi̯	0.118
ˈəʊ̯	ˈaːu̯	0.118
ˈɪ	ˈɪː	0.114
ˈɪ	ˈiː	0.114
ˈɪ	ˈi	0.114
ˈɪ	-	0.114
n	nː	0.111
ˈiː	ˈɑːu̯	0.107
ˈiː	ˈœːy̯	0.107
ˈiː	j_ˈoːu̯	0.107
θ	nː	0.105
ə	-	0.103
ˈɐ	ˈʏː	0.1
ˈɐ	-	0.1
ˈaɪ̯	j_ˈɛ	0.1
ɹ	r̥	0.1
ɹ	r_ˈai̯	0.1
ˈe	ˈɛː	0.095
ˈɪ	ˈɛː	0.086
ˈɪ	j	0.086
s	s_j	0.081
ˈiː	ˈɛːi̯	0.071
ˈiː	ˈiː	0.071
ˈiː	j_ˈɛː	0.071
ˈiː	j	0.071
ə	r_ɪ	0.069
ə	r_a	0.069
ˈɪ	ˈɛːi̯	0.057
ˈɪ	ˈɛ	0.057
ˈɪ	ˈɑːu̯	0.057
s	sː	0.054
