Limburgish	Palatine German	probability
β	β	1.0
ˈʏː	-	1.0
ˈʏ	ˈɪ	1.0
ˈʊ	ˈu	1.0
ˈɪː	ˈɪ	1.0
ˈɛːi̯	ˈɑːɪ̯	1.0
ˈɛː_l	ˈɪ_l	1.0
ˈɛː_k	ˈeː_ʃ	1.0
ˈœi̯	ˈaɪ̯	1.0
ˈœ	ˈɪ	1.0
ˈøː_ʀ	ɐ	1.0
ˈøː_n	ˈĩː	1.0
ˈæ	ˈɛ	1.0
ˈyː	-	1.0
ˈu	ˈoː	1.0
ˈi_x	ˈɪ_ʃ	1.0
ˈeː_v	ˈɛ_β	1.0
ʃ	ʃ	1.0
ʀ_t	ɐ_ʣ̥	1.0
ʀ_d̥	ɐ_d̥	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ɣ_ʀ	ɡ̊_r	1.0
ɣ_ə	ɣ̊	1.0
ɡ	n	1.0
ə_ʀ	ɐ	1.0
ə_ɣ̊	ɪ_ʃ	1.0
ə_v̥	f	1.0
ŋ_k	ŋ	1.0
z̥	s	1.0
z_β	ʃ_β	1.0
z	s	1.0
w	l	1.0
s_t	ʃ_d̥	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
k_ə	ɡ̊_ə	1.0
j	l	1.0
i_n	eː	1.0
d̥	d̥	1.0
d_ˈʊː	d̥_ˈɔ	1.0
d_ʀ	d̥_r	1.0
d	d̥	1.0
b	b̥	1.0
n	n	0.945
v	f	0.813
ˈɪ	ˈɛ	0.772
ŋ	ŋ	0.767
ˈɑː	ˈɑ	0.745
ɣ	ɡ̊	0.729
ˈɑ	ˈɑ	0.721
ˈɛ	ˈɪ	0.718
ʀ_ə	ɐ	0.712
ˈuː	ˈau̯	0.7
s	ʃ	0.66
ˈaː	ˈɑ	0.656
ə	ə	0.654
p	f	0.651
v̥	b̥	0.646
ɣ̊	ʃ	0.615
ˈɔu̯	ˈau̯	0.61
ˈæː	ˈɛ	0.608
ˈɒː	ˈoː	0.592
ˈi	ˈeː	0.59
j_ə	r	0.588
ˈɛː	ˈɛː	0.586
ˈiː	ˈaɪ̯	0.572
ˈɔː	ˈɑː	0.541
t	s	0.52
ˈɔ	ˈɔ	0.513
ˈɔ	ˈu	0.487
ʀ	ɐ	0.46
ˈɔː	ˈɔ	0.459
ʀ	r	0.429
ˈɛː	-	0.414
j_ə	r_ə	0.412
ˈi	-	0.41
ˈeː	ˈiː	0.401
k	kʰ	0.4
ˈʊː	ˈu	0.396
ˈæː	-	0.392
ˈɔu̯	ˈɑː	0.39
ɣ̊	ɣ̊	0.385
t	ʣ̥	0.383
v̥	l_b̥	0.354
ˈøː	ˈeː	0.352
p	b̥	0.349
ˈoː	ˈuː	0.338
ˈoː	ˈoː	0.338
ˈøː	ˈiː	0.333
ˈoː	ˈu	0.324
ˈøː	ˈuː	0.316
x	ʃ_d̥	0.309
x	d̥	0.309
ʀ_ə	ɐ_n	0.288
ˈɛ	ˈɛ	0.282
ˈɑ	ˈɛ	0.279
ɣ	j	0.271
ˈɑː	-	0.255
k	ɡ̊	0.252
ˈʊː	ˈɔ	0.244
ˈiː	ˈiː	0.243
x	x_d̥	0.241
ŋ	ʃ	0.233
ˈuː	-	0.23
ˈaː	ˈɑː	0.23
ˈʊː	ˈuː	0.229
s	ʃ_d̥	0.229
ˈɪ	ˈɪ	0.228
ə	-	0.2
ˈɒː	ˈɑː	0.19
v	β	0.187
k	x	0.186
ˈiː	-	0.185
ˈeː	ˈɛː	0.163
k	ʃ	0.162
ə	ɐ	0.146
x	x	0.141
ˈɒː	-	0.137
ˈeː	ˈɪ	0.137
ˈaː	-	0.114
ˈeː	ˈɛ	0.111
s	ɡ̊_s	0.111
t	d̥	0.097
ˈʊː	-	0.087
ˈeː	ˈɛ_r	0.087
ˈeː	ˈeː	0.087
ˈɒː	ˈo	0.082
ˈuː	ˈau̯̯	0.07
ʀ	ˈɑː	0.062
n	ˈɑ̃ː	0.055
