Bellunese	Venetian	probability
#>	#>	0.932
#>	e_#>	0.068
<#	<#	1.0
<#_l	<#	1.0
a	a	0.976
a_d	a	0.521
b	b	0.932
b	-	0.068
d	d	0.876
d	-	0.121
d_a	a	0.074
e	e	0.812
e	a	0.064
f	f	0.89
f	v	0.105
i	i	0.869
i	e	0.12
j	j	0.625
j	ʤ	0.218
j	-	0.098
j	ˈi	0.052
k	k	0.993
l	ɰ	0.476
l	l	0.233
l	o	0.219
l_ˈe	ˈe	1.0
m	m	1.0
n	n	0.953
o	o	0.905
p	p	1.0
r	r	0.986
s	s	0.717
s	s_o	0.188
s	z	0.077
t	t	0.915
t	d_o	0.065
u	u	0.222
u	ˈu	0.222
u	o	0.156
u	-	0.133
v	v	0.992
w	w	0.93
w	l	0.069
z	z	0.854
z	ʧ	0.085
z	s	0.069
ð	z	1.0
ŋ	ŋ	0.887
ŋ	m_o	0.053
ɡ	ɡ	0.979
ɲ	ɲ	1.0
ʤ	ʤ	1.0
ʧ	ʧ	1.0
ˈa	ˈa	0.972
ˈe	ˈe	0.777
ˈe	ˈɛ	0.133
ˈe	e	0.079
ˈe_l	ˈe	1.0
ˈi	ˈi	1.0
ˈo	ˈo	0.904
ˈo	ˈɔ	0.096
ˈu	ˈu	1.0
ˈɔ	ˈɔ	1.0
ˈɛ	ˈɛ	0.901
ˈɛ_l	ˈɛ	1.0
θ	s	0.84
θ	z	0.106
