Latvian	Latvian	probability
ʧ	ʨ	1.0
ʦ	k	1.0
ʣ	ʐ	1.0
ʎ	lʲ	1.0
ʃ	-	1.0
ɛː	e	1.0
æː	ɪ	1.0
z̥_s	z_ə	1.0
uː	ɨ_ˈ	1.0
u	-	1.0
t_s	j	1.0
t_#>	tʲ_#>	1.0
s_#>	#>	1.0
r̩	r	1.0
l̩	a	1.0
k_t	ʨ	1.0
k_s	k	1.0
j	-	1.0
e	-	1.0
d̥_s	d̥	1.0
d_u	d̥	1.0
b̥	b̥	1.0
ai̯	-	1.0
a_r	r	1.0
<#_s	<#_s	1.0
<#	<#_v	1.0
l	ɫ	0.812
ɡ	ɡ	0.8
t	t	0.7
ɡ̊	ɡ̊	0.667
au̯	-	0.667
b	b	0.625
uɔ̯	-	0.6
iɛ̯	e	0.6
r	r	0.562
z	z	0.556
m	m	0.545
i	-	0.542
æ	o	0.5
v	vʲ	0.5
v	v	0.5
p	pʲ	0.5
p	-	0.5
k	k	0.5
k	-	0.5
iː	i	0.5
iː	-	0.5
aː	o	0.5
aː	a	0.5
z	zʲ	0.444
r	rʲ	0.438
uɔ̯	u	0.4
n	n	0.4
iɛ̯	-	0.4
d	dʲ	0.4
d	d	0.4
b	bʲ	0.375
#>	tʲ_#>	0.375
#>	a_ˈ_#>	0.375
ɡ̊	ɡʲ	0.333
n	-	0.333
au̯	ʉ	0.333
a	o	0.318
a	a	0.318
t	-	0.3
m	mʲ	0.273
ɛ	ɪ	0.267
ɛ	e	0.267
n	nʲ	0.267
æ	ɵ	0.25
æ	ɪ	0.25
s	sʲ	0.25
#>	ə_#>	0.25
s	ə	0.214
s	j	0.214
ɡ	-	0.2
ɛ	a	0.2
d	ɐ_d	0.2
l	lʲ	0.188
m	-	0.182
a	ə	0.182
s	o_ˈ	0.179
s	s	0.143
ɛ	ə	0.133
ɛ	lʲ	0.133
i	ɪ	0.125
i	o	0.125
i	e	0.125
a	e	0.091
a	-	0.091
i	mʲ	0.083
