Friulian	Friulian	probability
ˈɛ_r	r	1.0
ˈɔː	ˈɒ	1.0
ˈuː_f	ˈɒ_w	1.0
ˈo_d	w_ɾ	1.0
ˈi_ŋ_#>	ˈi_#>	1.0
ˈa_ŋ_#>	ˈa_#>	1.0
ˈa_w	ˈɒ	1.0
ˈa_l	ˈa_l	1.0
ʧ_#>	#>	1.0
ʤ	ʤ	1.0
ɲ_#>	ɲ_#>	1.0
ɟ	-	1.0
ŋ_#>	#>	1.0
w_ˈɛ	ˈɒ	1.0
w_ˈi	ˈɒ	1.0
w_ˈa	ˈɒ	1.0
t_ˈaː	t_ˈa	1.0
t_e	t_ɞ	1.0
t_#>	#>	1.0
s_ˈa	s_ˈa	1.0
r_ˈɛ	ɾ_ˈæ	1.0
r_ˈa	ɾ_ˈa	1.0
r_t	r_t	1.0
r_#>	r_#>	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	l_#>	1.0
k_w	k	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɛ	ˈe	1.0
e_r	e_r	1.0
e_n	e_n	1.0
d_ˈi	d_ˈe	1.0
c_e	k_ɞ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_s	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
p	p	0.939
ˈa	ˈa	0.933
t	t	0.929
f	f	0.92
n	n	0.906
c	k	0.905
v	v	0.839
ˈi	ˈi	0.833
ŋ	ŋ	0.8
o	o	0.786
z	-	0.778
w	w	0.75
b	b	0.737
ˈu	ˈu	0.733
ˈeː	ˈæ	0.714
ˈe	ˈæ	0.714
ˈiː	ˈi	0.7
a	a	0.682
r	ɾ	0.674
s	s	0.607
ˈɔ	ˈɒ	0.6
ˈoː	ˈo	0.6
ɲ	ɲ	0.6
l	l	0.591
ɡ	ɡ	0.588
ˈɛ	ˈe	0.583
ˈuː	ˈu	0.556
i_#>	e_#>	0.556
ˈo	ˈo	0.5
ˈaː	ˈa_r	0.5
ˈaː	ˈa	0.5
ʧ	s	0.5
ʧ	-	0.5
u	o	0.5
u	-	0.5
e	ɐ	0.48
ˈuː	ˈɒ	0.444
i_#>	#>	0.444
d	d	0.438
l	ʎ	0.409
ˈoː	ˈæ	0.4
ɲ	n	0.4
#>	r_#>	0.345
ˈɛ	ˈi	0.333
i	e	0.324
ˈiː	ˈæ	0.3
ɡ	ɣ	0.294
ˈeː	-	0.286
d	ð	0.281
j	ˈæ	0.273
ˈu	ˈo	0.267
e	ɜ	0.267
w	-	0.25
i	i	0.235
ˈo	ˈɒ	0.233
j	ʤ	0.227
j	ʎ	0.227
j	-	0.227
a	-	0.227
z	ɾ	0.222
d	-	0.219
o	-	0.214
ˈɔ	ˈo	0.2
ˈɔ	ˈi	0.2
ˈo	ˈu	0.2
ŋ	ɲ	0.2
#>	w_#>	0.172
ˈi	ˈe	0.167
s	e_s	0.164
b	-	0.158
r	r	0.152
i	ɜ	0.147
ˈe	ˈe_j	0.143
ˈe	ˈe	0.143
#>	e_#>	0.138
e	ɞ	0.133
ɡ	k	0.118
i	ɞ	0.118
r	β_ɾ	0.109
b	β	0.105
#>	ɐ_#>	0.103
#>	k_#>	0.103
v	β	0.097
c	-	0.095
n	-	0.094
a	i	0.091
i	ˈi	0.088
i	-	0.088
ˈɛ	ˈɛ	0.083
s	ʃ	0.082
f	w	0.08
#>	s_#>	0.069
#>	m_#>	0.069
ˈo	-	0.067
ˈa	ˈe	0.067
e	-	0.067
s	w	0.066
v	w_ɾ	0.065
r	-	0.065
d	t	0.062
p	s	0.061
