Swiss German	American English	probability
b̥	b	0.836
b̥	f	0.102
d̥	θ	0.427
d̥	d	0.331
d̥	ð	0.204
f	f	0.726
f	p	0.15
f	v	0.097
fː	p	1.0
h	h	0.917
h	-	0.083
i	i	0.592
i	-	0.169
i	ŋ	0.144
i	n	0.095
j	j	1.0
k	k	1.0
l	l	0.55
l	ɫ	0.441
m	m	0.95
mː	m	1.0
n	n	0.828
n	-	0.131
nː	n	1.0
p	p	0.902
p	-	0.098
p͡f	p	0.51
p͡f	pʰ	0.269
p͡f	d	0.22
r	ɹ	0.646
r	ɚ	0.251
r	-	0.06
rː	ɚ	1.0
s	s	0.669
s	t	0.168
s	z	0.085
s	-	0.078
sː	t	0.878
sː	ɾ	0.11
t	d	0.799
t	t	0.185
tː	ð	0.829
tː	d	0.171
w	ˈoʊ̯	1.0
ŋ	ŋ	0.782
ŋ	n_d	0.182
ə	-	0.553
ə	ə	0.214
ə	ɪ	0.162
ə	oʊ̯	0.072
ɡ̊	ɡ	0.546
ɡ̊	-	0.296
ɡ̊	d	0.09
ɡ̊	j	0.059
ɡ̊ː	ʤ	1.0
ʃ	s	0.537
ʃ	ʃ	0.463
ʃː	ʃ	1.0
ʋ	w	0.899
ʋ	-	0.101
ʦ	tʰ	0.641
ʦ	t	0.338
ˈa	ˈæ	0.432
ˈa	ˈeɪ̯	0.273
ˈa	ˈɑ	0.155
ˈa	ˈoʊ̯	0.14
ˈau̯	ˈi	1.0
ˈe	ˈɛ	0.571
ˈe	ˈɔ	0.294
ˈe	ə	0.135
ˈei̯	ˈɛ	0.396
ˈei̯	ˈoʊ̯	0.298
ˈei̯	ˈi	0.16
ˈei̯	w	0.147
ˈeː	ˈoʊ̯	0.552
ˈeː	ˈi	0.448
ˈi	ˈɪ	0.639
ˈi	ˈaɪ̯	0.213
ˈi	ˈɝ	0.071
ˈi	ˈi	0.059
ˈiə̯	ˈi	0.478
ˈiə̯	ˈaɪ̯	0.341
ˈiə̯	ˈɔ	0.181
ˈiː	ˈaɪ̯	0.73
ˈiː	ˈɪ	0.27
ˈo	ˈɔ	0.345
ˈo	ˈɑ	0.155
ˈo	ˈʊ	0.1
ˈo	ˈʌ	0.092
ˈo	ˈu	0.09
ˈo	ˈaɪ̯	0.066
ˈou̯	ˈi	0.814
ˈou̯	ˈaɪ̯	0.152
ˈoː	ˈi	0.31
ˈoː	ˈɛ	0.25
ˈoː	ˈʌ	0.157
ˈoː	ˈɝ	0.124
ˈoː	ˈeɪ̯	0.105
ˈoː	ˈaɪ̯	0.054
ˈu	ˈʌ	0.469
ˈu	ˈaʊ̯	0.189
ˈu	ˈɔ	0.096
ˈu	ˈɪ	0.068
ˈu	ˈɝ	0.057
ˈu	ˈɛ	0.052
ˈuə̯	ˈʊ	0.312
ˈuə̯	ˈʌ	0.288
ˈuə̯	ˈu	0.268
ˈuə̯	ˈaʊ̯	0.133
ˈuː	ˈaʊ̯	0.924
ˈuː	ˈaɪ̯	0.076
ˈy	ˈɪ	0.681
ˈy	ˈɛ	0.238
ˈyə̯	ˈi	0.835
ˈyə̯	ˈʌ	0.165
ˈyː	ˈi	0.473
ˈyː	ˈaɪ̯	0.419
ˈyː	ˈɪ	0.108
ˈæ	ˈɛ	0.431
ˈæ	ˈɑ	0.182
ˈæ	ˈæ	0.121
ˈæ	ˈɝ	0.088
ˈæ	ˈi	0.057
ˈæi̯	ˈoʊ̯	0.739
ˈæi̯	ˈɑ	0.261
ˈæː	ˈɑ	0.498
ˈæː	ˈi	0.221
ˈæː	ˈɛ	0.148
ˈæː	ˈeɪ̯	0.132
ˈø	ˈɪ	0.594
ˈø	ˈæ	0.25
ˈø	ˈɛ	0.156
ˈøi̯	ˈu	0.763
ˈøi̯	ˈi	0.125
ˈøi̯	ˈʌ	0.111
ˈøː	ˈi	0.562
ˈøː	ˈɪ	0.357
ˈøː	ˈɛ	0.081
ˈɒ	ˈæ	0.219
ˈɒ	ˈɔ	0.138
ˈɒ	ˈu	0.13
ˈɒ	ˈeɪ̯	0.125
ˈɒ	ˈɑ	0.124
ˈɒ	ˈʌ	0.123
ˈɒ	ˈoʊ̯	0.078
ˈɒ	ˈaɪ̯	0.063
ˈɒː	ˈi	0.281
ˈɒː	ˈeɪ̯	0.246
ˈɒː	ˈæ	0.233
ˈɒː	ˈɛ	0.184
ˈɒː	ˈɑ	0.057
ˈɛi̯	ˈoʊ̯	1.0
χ	ʧ	0.432
χ	k	0.256
χ	kʰ	0.196
χ	f	0.062
χ	-	0.054
