Swiss German	American English	probability
b̥	b	0.804
b̥	f	0.149
b̥	v	0.044
b̥_ə	v	1.0
d̥	θ	0.368
d̥	d	0.366
d̥	ð	0.213
d̥	-	0.047
f	f	0.805
f	v	0.101
f	p	0.088
f_ə	p	1.0
fː	p	1.0
h	h	0.957
h	-	0.049
i	i	0.545
i	-	0.202
i	ŋ	0.136
i	n	0.044
j	j	1.0
k	k	1.0
l	l	0.535
l	ɫ	0.409
l	-	0.053
l_ə	ɫ	1.0
m	m	1.0
mː	m	0.49
n	n	0.812
n	-	0.155
n	ɫ	0.035
nː	n	1.0
p	p	0.371
p	-	0.182
p͡f	p	0.517
p͡f	pʰ	0.221
p͡f	d	0.082
r	ɹ	0.724
r	ɚ	0.138
r	-	0.112
r_ə	ɚ	1.0
rː	ɚ	0.24
s	s	0.71
s	t	0.184
s	z	0.076
s	-	0.035
sː	t	0.792
sː	ɾ	0.199
t	d	0.76
t	t	0.205
t	ð	0.032
t	θ	0.029
tː	ð	0.784
tː	d	0.124
w	ˈoʊ̯	0.24
ŋ	ŋ	0.72
ŋ	n_d	0.202
ŋ	θ	0.06
ə	-	0.942
ə	ə	0.032
ə	oʊ̯	0.031
ə	ɪ	0.029
ə_l	ɫ	0.49
ə_r	ɚ	1.0
ɡ̊	-	0.564
ɡ̊	ɡ	0.325
ɡ̊	ʤ	0.093
ɡ̊	d	0.03
ɡ̊	f	0.03
ɡ̊_l	ɫ	0.49
ʃ	s	0.649
ʃ	ʃ	0.347
ʃː	ʃ	1.0
ʋ	w	0.843
ʋ	-	0.153
ʦ	tʰ	0.558
ʦ	t	0.413
ʦ	d	0.037
ˈa	ˈæ	0.484
ˈa	ˈoʊ̯	0.157
ˈa	ˈeɪ̯	0.148
ˈa	ˈɑ	0.096
ˈau̯	ˈi	1.0
ˈe	ˈɛ	0.76
ˈe	ˈɔ	0.178
ˈei̯	ˈoʊ̯	0.361
ˈei̯	ˈɛ	0.234
ˈei̯	ˈi	0.221
ˈeː	ˈoʊ̯	0.561
ˈeː	ˈi	0.425
ˈi	ˈɪ	0.67
ˈi	ˈaɪ̯	0.202
ˈi	ˈɝ	0.06
ˈi	ˈi	0.052
ˈiə̯	ˈi	0.448
ˈiə̯	ˈaɪ̯	0.381
ˈiə̯	ˈɔ	0.1
ˈiː	ˈaɪ̯	0.738
ˈiː	ˈɪ	0.259
ˈo	ˈɑ	0.224
ˈo	ˈɔ	0.191
ˈo	ˈʊ	0.145
ˈo	ˈaɪ̯	0.095
ˈo	ˈʌ	0.074
ˈou̯	ˈi	0.608
ˈou̯	ˈaɪ̯	0.171
ˈou̯	ˈɛ	0.104
ˈoː	ˈɛ	0.268
ˈoː	ˈi	0.268
ˈoː	ˈʌ	0.173
ˈoː	ˈeɪ̯	0.114
ˈoː	ˈɝ	0.085
ˈu	ˈʌ	0.283
ˈu	ˈaʊ̯	0.178
ˈu	ˈɪ	0.135
ˈu	ˈɛ	0.102
ˈu	ˈʊ	0.078
ˈuə̯	ˈʊ	0.296
ˈuə̯	ˈʌ	0.273
ˈuə̯	ˈu	0.191
ˈuə̯	ˈaʊ̯	0.157
ˈuː	ˈaʊ̯	0.782
ˈuː	ˈaʊ̯_θ	0.106
ˈuː	ˈaɪ̯	0.077
ˈy	ˈɪ	0.504
ˈy	ˈɛ	0.267
ˈy	ˈaɪ̯	0.104
ˈy	ˈoʊ̯	0.078
ˈyə̯	ˈi	0.758
ˈyə̯	ˈʌ	0.181
ˈyː	ˈi	0.468
ˈyː	ˈaɪ̯	0.448
ˈyː	ˈɪ	0.069
ˈæ	ˈɛ	0.366
ˈæ	ˈɑ	0.136
ˈæ	ˈæ	0.136
ˈæ	ˈɪ	0.106
ˈæ	ˈi	0.09
ˈæ_ɡ̊	ˈeɪ̯	1.0
ˈæi̯	ˈoʊ̯	0.683
ˈæi̯	ˈɑ	0.221
ˈæː	ˈi	0.297
ˈæː	ˈɑ	0.297
ˈæː	ˈeɪ̯	0.181
ˈæː	ˈɛ	0.111
ˈø	ˈɪ	0.425
ˈø	ˈæ	0.239
ˈø	ˈɛ	0.135
ˈøi̯	ˈu	0.644
ˈøi̯	ˈi	0.111
ˈøi̯	ˈʌ	0.111
ˈøː	ˈi	0.45
ˈøː	ˈɪ	0.208
ˈøː	ˈɛ	0.192
ˈɒ	ˈeɪ̯	0.221
ˈɒ	ˈɑ	0.184
ˈɒ	ˈæ	0.124
ˈɒ	ˈaɪ̯	0.098
ˈɒ	ˈʌ	0.098
ˈɒː	ˈi	0.293
ˈɒː	ˈæ	0.222
ˈɒː	ˈeɪ̯	0.209
ˈɒː	ˈɛ	0.193
ˈɒː	ˈɑ	0.065
ˈɛi̯	ˈoʊ̯	1.0
χ	ʧ	0.272
χ	k	0.234
χ	kʰ	0.208
χ	-	0.186
χ	f	0.055
χ_t	t	1.0
