Catalan	Catalan	probability
ˈɛ_r	ˈe_ʀ	1.0
ˈɛ_l	ˈa_l	1.0
ˈu_j	ˈy	1.0
ˈo_t	ˈu	1.0
ˈi_t_#>	#>	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_s	ˈe	1.0
ˈa_t	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ʧ	-	1.0
ʤ	ʧ	1.0
ʒ	ʤ	1.0
ʎː	ʎ	1.0
ʎ_#>	l_#>	1.0
ɾ_ˈa	ʀ_ˈa	1.0
ɾ_ə	ə	1.0
ɣ_w	ɡ	1.0
ɡ_l	ʎ	1.0
ə_ɾ	ɒ_ʀ	1.0
ə_t	ɥ	1.0
ə_s	ɪ	1.0
ð_ə	d_ɔ	1.0
w_ɾ	w_ʀ	1.0
s_#>	#>	1.0
r_t	ˈɔ_ʀ	1.0
r	ʀ	1.0
p	p	1.0
n_t	ŋ_t	1.0
mː	m	1.0
m_#>	m_#>	1.0
l_ə	l_ɔ	1.0
k_ɾ	k_ʀ	1.0
k_w	k	1.0
j_#>	j_#>	1.0
b_ə	v_ə	1.0
<#_ʎ	<#_l	1.0
<#_ə	<#_ɒ	1.0
<#_u	<#_œ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#	<#_ˈa	1.0
ɾ	ʀ	0.892
d	d	0.882
m	m	0.875
f	f	0.85
n_#>	ŋ_#>	0.818
ʎ	ʎ	0.792
ɡ	ɡ	0.778
k_#>	k_#>	0.778
ˈo	ˈu	0.75
s	s	0.722
n	n	0.7
ˈa	ˈa	0.673
ɲ	ɲ	0.667
l	l	0.667
t	t	0.64
ð	d	0.625
ˈi	ˈi	0.619
w_#>	w_#>	0.615
ʃ	j_s	0.6
j	j	0.6
β	b	0.588
ˈɛ	ˈɪ	0.583
u	u	0.579
ŋ	ŋ_k	0.571
k	ʧ	0.559
ə	ɔ	0.556
ˈɛ_w	ˈu_s	0.5
ˈɛ_w	ˈe_s	0.5
ɣ	ʤ	0.5
ɣ	ɡ	0.5
z	z	0.5
z	-	0.5
w	w	0.5
w	j	0.5
i	ə	0.5
ˈe	ˈe	0.486
k	k	0.441
ŋ	ŋ	0.429
#>	ŋ_#>	0.429
ˈɔ	w_ˈɔ	0.421
b	b	0.414
ʃ	s	0.4
j	-	0.4
ð	-	0.375
i	i	0.375
ˈu	ˈœ	0.333
ɲ	ŋ	0.333
b	v	0.31
ˈa	ˈã	0.288
ˈu	ˈy	0.286
ˈɔ	w	0.263
u	-	0.263
#>	ə_#>	0.257
ə	ə	0.25
w_#>	s_#>	0.231
ɡ	ʤ	0.222
k_#>	#>	0.222
ˈɛ	ˈe	0.208
b	vʲ	0.207
t	ʧ	0.2
n	ŋ	0.2
l	w	0.2
ˈi	ˈĩ	0.19
n_#>	#>	0.182
β	v	0.176
ˈe	ˈɪ	0.171
#>	ɔ_#>	0.171
ʎ	l	0.167
s	ʃ	0.167
t	-	0.16
w_#>	#>	0.154
ˈo	ˈũ	0.15
f	fʲ	0.15
ˈu	ˈỹ	0.143
ˈu	ˈu	0.143
#>	j_#>	0.143
ˈɛ	ˈẽ	0.125
m	mʲ	0.125
i	ĩ	0.125
β	w	0.118
β	-	0.118
d	dʲ	0.118
s	ˈɔ	0.111
u	y	0.105
ə	ɒ	0.102
ˈo	w_ˈɔ̃	0.1
n	ɲ	0.1
ˈu	w_ˈẽ	0.095
ˈi	ʒ_ˈĩ	0.095
ˈi	-	0.095
ˈe	ˈẽ	0.086
ˈe	ˈe_j	0.086
ˈɛ	ʀ	0.083
ˈɔ	ˈu	0.079
ˈɔ	w_ˈɔ̃	0.079
b	-	0.069
l	l_ɔ	0.067
l	-	0.067
ˈe	ˈɪ̃	0.057
ˈe	ˈɛ	0.057
ˈe	-	0.057
ɾ	ˈa	0.054
ɾ	-	0.054
ˈɔ	ˈũ	0.053
ˈɔ	ˈa	0.053
ˈɔ	j_ˈɔ	0.053
u	ũ	0.053
