Catalan	Latin	probability
b	w	0.596
b	b	0.304
b	-	0.092
d	d	0.824
d	-	0.176
f	f	1.0
i	iː	0.293
i	ɪ	0.224
i	ɛ	0.154
i	eː	0.136
i	i	0.126
j	-	0.396
j	ˈiː	0.218
j	e	0.143
j	ɛ̃	0.113
j	i	0.075
j	ɛ̃ː	0.055
k	k	0.785
k	kː	0.121
k	kʷ	0.085
l	ɫ	0.718
l	lʲː	0.154
l	-	0.076
l	l	0.053
m	m	0.923
mː	p	1.0
n	n	0.88
n	ŋ	0.069
n	ˈɪ_n	0.051
p	p	0.941
r	r	0.978
s	s	0.641
s	k	0.181
t	t	0.627
t	k_t	0.2
t	tː	0.094
u	ɔ	0.404
u	oː	0.201
u	ɪ	0.082
u	ˈoː	0.076
u	au̯	0.05
w	-	0.242
w	w	0.181
w	k_ɛ̃ː	0.166
w	b_ɛ	0.133
w	t	0.111
w	ɛ̃ː	0.055
z	-	0.527
z	s	0.237
z	tʰ	0.237
ð	t	1.0
ŋ	ŋ	0.646
ŋ	i	0.261
ŋ	-	0.093
ə	ãː	0.437
ə	a	0.153
ə	ɛ	0.122
ə	-	0.071
ə	ɪ	0.06
ɡ	ɡ	0.652
ɡ	k	0.268
ɡ	p	0.052
ɣ	k	0.528
ɣ	ɡ	0.229
ɣ	kʷ	0.132
ɣ	-	0.111
ɲ	n	0.639
ɲ	ŋ	0.167
ɲ	nː	0.125
ɾ	r	0.717
ɾ	ɛ_r	0.127
ɾ	-	0.104
ʃ	s	0.496
ʃ	sː	0.26
ʃ	k_s	0.243
ʎ	lʲː	0.292
ʎ	ɫ	0.234
ʎ	l	0.154
ʎ	ʊ_ɫ	0.131
ʎ	lʲ	0.107
ʎ	-	0.051
ʒ	ɡ	0.58
ʒ	j	0.229
ʒ	d	0.122
ʤ	t	0.506
ʤ	d	0.351
ʤ	k	0.143
ʧ	d	0.701
ʧ	k	0.182
ʧ	sː	0.081
ˈa	ˈa	0.519
ˈa	ˈaː	0.416
ˈe	ˈɛ	0.566
ˈe	ˈɪ	0.145
ˈe	ˈeː	0.113
ˈe	ˈa	0.053
ˈi	ˈiː	0.63
ˈi	ˈɛ	0.114
ˈo	ˈʊ	0.461
ˈo	ˈoː	0.268
ˈo	ˈu	0.057
ˈo	i_ˈoː	0.055
ˈu	ˈuː	0.595
ˈu	ˈʊ	0.203
ˈu	ˈɔ	0.12
ˈɔ	ˈɔ	0.652
ˈɔ	ˈoː	0.154
ˈɔ	ˈau̯	0.108
ˈɛ	ˈɪ	0.302
ˈɛ	ˈɛ	0.273
ˈɛ	ˈeː	0.204
β	p	0.605
β	b	0.21
β	w	0.143
