Insular North Frisian	Swabian	probability
ˈɪ_t	ˈəi̯_s	1.0
ˈɛː	ˈɛ	1.0
ˈœ_ɾ	ˈuə̯_d	1.0
ˈœ_n	n	1.0
ˈœ_d	eə̯	1.0
ˈøː	-	1.0
ˈoː_m	m	1.0
ˈaʊ̯	-	1.0
ʁ̥	ʕ	1.0
ɾ	d	1.0
ɪ_ç	ɡ	1.0
ə_l	l	1.0
ɐ_n	ʕ_n	1.0
ç_t	ç_d	1.0
ç	ɡ	1.0
tʲ	d_ˈi	1.0
tʰ	ʦ	1.0
s_t	ʃ_d	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
r_ə	ʕ	1.0
nʲ	n_d	1.0
m	m	1.0
lʲ	l_d	1.0
kʰ	kʰ	1.0
h	h	1.0
e	-	1.0
d_ɐ	s_ʌ	1.0
b	b	1.0
aɪ̯	-	1.0
l	l	0.949
f	f	0.946
v	ʋ	0.94
n	n	0.881
r	ʁ	0.832
p	f	0.823
ŋ	ŋ	0.809
x	x	0.797
ɐ	ʌ	0.791
s	s	0.762
ˈa	ˈa	0.738
j	-	0.714
ʃ	ʃ	0.648
ɪ	ɪ	0.629
ˈɔa̯	ˈoː	0.59
ˈuː	-	0.564
ə	a	0.517
ə	-	0.483
ˈœ	ˈo	0.481
ˈoː	ˈao̯	0.459
ˈɔː	ˈa	0.453
t	s	0.423
ˈyː	-	0.42
ˈɔ	-	0.411
ˈʊ	ˈo	0.407
ˈʏ	ˈao̯	0.398
t	d	0.394
ˈɔ	ˈo	0.383
k	ɡ	0.379
ɪ	i	0.371
ˈuː	ˈo	0.352
ʃ	-	0.352
ˈyː	ˈəi̯	0.34
ˈaɪ̯	ˈaː_ɡ	0.333
ˈaɪ̯	ɡ	0.333
ˈaɪ̯	-	0.333
ˈeː	-	0.329
k	ç	0.326
ˈoː	-	0.297
k	x	0.296
ˈɛ	-	0.294
j	j	0.286
ˈa	ˈɛ	0.262
ˈœ	ˈa	0.261
ˈœ	ˈu	0.258
ˈoː	ˈɔə̯	0.243
ˈyː	ˈao̯	0.24
s	ʃ	0.238
ˈɪ	ˈəi̯	0.23
ˈeː	ˈɛ	0.229
ˈɪ	-	0.223
ˈɛ	ˈɛ	0.219
ˈɔː	-	0.219
ˈɔː	ˈɔː	0.217
ˈiː	ˈɔe̯	0.216
ɐ	ʕ	0.209
ˈɔa̯	ˈa	0.208
ˈɔ	ˈuə̯	0.206
x	-	0.203
ˈɔa̯	-	0.202
ŋ	ɡ	0.191
ˈɛ	ˈi	0.18
p	-	0.177
ˈiː	ˈae̯	0.176
ˈiː	-	0.174
ˈeː	ˈɔe̯	0.174
ˈʏ	-	0.168
r	ʕ	0.168
ˈʊ	ˈuə̯	0.164
ˈɪ	ˈi	0.16
ˈeː	ˈa	0.155
ˈʊ	-	0.148
ˈʏ	ˈo	0.146
ˈʏ	ˈa	0.145
ˈʊ	ˈe	0.14
ˈʊ	ˈa	0.14
ˈɪ	ˈɪ	0.139
ˈɪ	ˈe	0.139
t	ʦ	0.135
ˈɛ	ˈae̯	0.128
ˈɛ	ˈɪ	0.126
ˈiː	ˈiː	0.119
ˈeː	ˈi	0.114
ˈɔː	ˈaː	0.111
ˈɪ	ˈɛ	0.109
n	n_ˈɔː	0.084
ˈuː	ˈɔ	0.083
ˈiː	ˈəi̯	0.082
ˈiː	ˈiə̯	0.078
ˈiː	ˈɔː	0.077
ˈiː	ˈeː	0.077
ˈʏ	ˈəi̯	0.072
ˈʏ	ˈu	0.071
v	b	0.06
f	b	0.054
ˈɛ	ˈu	0.053
l	l_ˈiə̯	0.051
