Sicilian	Western Lombard	probability
b	b	1.0
f	f	1.0
kː	k	1.0
mː	m	1.0
s	s	1.0
ŋ	-	1.0
ɖː	l	1.0
ɟː	j	1.0
ɡ	ɡ	1.0
ɲː	ɲ	1.0
ʃː	s	1.0
ʈ	t	1.0
ʐ	r	1.0
ʤ	ʤ	1.0
ʧː	ʦ	1.0
ˈo	ˈũː	1.0
a	-	0.1
j	ʤ	0.851
l	l	0.91
n	-	0.201
ɽ	r	0.841
ɾ	-	0.351
d	t	0.072
j	j	0.092
k	k	0.952
v	ʋ	0.932
w	l	0.192
ɪ	a	0.182
ʊ	-	0.962
ˈa	ˈa	0.842
ˈi	ˈẽː	0.052
ˈi	ˈi	0.2
ˈu	ˈy	0.392
ˈɛ	ˈɛ	0.752
nː	-	0.763
r	r	0.313
u	u	0.733
ɕ	ʧ	0.893
ɪ	-	0.363
ˈi	ˈa	0.063
ˈi	ˈe	0.383
ˈɔ	ˈøː	0.093
ˈɔ	ˈɔ	0.663
a	a	0.854
i	e	0.854
t	d	0.214
w	-	0.124
w	w	0.684
ˈɛ	ˈe	0.204
ɪ	ˈɛ	0.05
ɪ	ˈi	0.105
ˈu	ˈyː	0.075
ˈu	ˈu	0.365
i	i	0.146
m	m	0.976
n	n	0.746
ˈi	ˈe_j	0.116
j	-	0.057
nː	n	0.237
r	-	0.687
t	t	0.637
u	o	0.267
ɕ	ʦ	0.107
ɪ	e	0.297
ɾ	r	0.627
ˈu	-	0.137
ˈɔ	ˈø	0.197
d	d	0.928
ˈa	ˈaː	0.138
l	-	0.09
p	-	0.059
p	p	0.9
t	-	0.149
v	b	0.059
ɽ	-	0.159
ˈi	ˈɛ	0.109
