Luxembourgish	Luxembourgish	probability
ˈʊ	ˈoːu̯	1.0
ˈɜɪ̯_ə	j_ˈuː	1.0
ˈɛː	-	1.0
ˈɔ	ˈʏ	1.0
ˈɑʊ̯	ˈuː	1.0
ˈæːʊ̯	ˈuː	1.0
ˈæːɪ̯_ʦ	aːu̯	1.0
ˈæːɪ̯	ˈiː	1.0
ˈæ	ˈɛ	1.0
ˈuː	ˈɔ	1.0
ˈiː_ɕ	j_ˈɛ	1.0
ˈiə̯	-	1.0
ʑ	ɟ̊	1.0
ʃ_#>	k_ʏ_r̥_#>	1.0
ɡ̊	ɡ̊_ʏ	1.0
ɡ	ɟ̊	1.0
ə_n	a	1.0
ɕ_t	ʰt	1.0
ɕ_#>	#>	1.0
ŋ_k	ʰk	1.0
z̥_#>	s_#>	1.0
z̥	sː	1.0
z	s	1.0
w	v	1.0
v̥	v_ʏ	1.0
t_#>	ð_#>	1.0
s_ɐ	ʰt͡n̥	1.0
s	t	1.0
pʰ	pʰ	1.0
p	ʰp	1.0
n_#>	#>	1.0
m	m	1.0
l_ə	l̥	1.0
f_ˈo	f	1.0
f_#>	#>	1.0
e	-	1.0
b	b̥	1.0
<#_ˈeː	<#_ˈɛ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ʀ	r	0.909
h	h	0.895
v	v	0.824
ə	-	0.8
ʃ	s	0.769
f	f	0.75
d̥	ð	0.75
ʦ	tʰ	0.727
<#_ʀ	<#_r	0.667
t	t	0.643
kʰ	kʰ	0.625
ˈɛ	ˈɛ	0.6
l	l	0.595
χ	k	0.571
ŋ	ŋ	0.571
ˈu	-	0.556
ˈɑɪ̯	ˈiː	0.5
ˈɑɪ̯	-	0.5
ˈuə̯	ˈɔu̯	0.5
ˈuə̯	-	0.5
ˈi	j	0.5
ˈi	-	0.5
k	-	0.5
d̥_#>	d̥_#>	0.5
d̥_#>	#>	0.5
ˈeː	ˈɛːi̯	0.462
ˈəʊ̯	ˈœːy̯	0.444
ˈoː	-	0.444
ˈe	ˈɪ	0.444
d	θ	0.444
χ	-	0.429
#>	ʏ_r̥_#>	0.404
#>	r̥_#>	0.404
ˈɛ	-	0.4
ˈo	ˈʏ	0.4
ˈiː	j	0.4
ˈiː	-	0.4
d	d̥	0.389
kʰ	cʰ	0.375
ˈɑ	ˈa	0.353
ˈəʊ̯	-	0.333
ˈoː	ˈɑːu̯	0.333
ˈe	-	0.333
k	ɡ̊ː	0.333
<#_ʀ	<#_r̥	0.333
ˈɜɪ̯	-	0.312
n	n	0.311
ɕ	ɡ̊	0.3
ɕ	x	0.3
ˈaː	ˈaː	0.276
ʦ	-	0.273
ɐ	r̥	0.268
ˈɜɪ̯	j_ˈoːu̯	0.25
d̥	d̥_ʏ	0.25
l	t͡l̥	0.243
ˈə	ˈɪː	0.235
ˈə	ˈɪ	0.235
ˈə	-	0.235
ˈeː	ˈɛi̯	0.231
ʃ	s_c	0.231
ˈəʊ̯	ˈoːu̯	0.222
ˈu	ˈʏː	0.222
ˈu	ˈoːu̯	0.222
ˈoː	ˈɔː	0.222
ˈe	ˈiː	0.222
ɐ	r	0.22
ŋ	-	0.214
t	ʰt	0.214
ˈaː	ˈa	0.207
ˈo	-	0.2
ˈiː	ˈɛː	0.2
ɕ	k_ʏ	0.2
ɕ	k	0.2
ˈɜɪ̯	ˈɑːu̯	0.188
n	nː	0.178
ˈə	ˈʏ	0.176
ˈɑ	ˈɪ	0.176
ˈɑ	ˈi	0.176
ˈɑ	-	0.176
v	kʰ_v	0.176
k	ʰc	0.167
f	p	0.167
d	ð	0.167
ˈeː	ˈeːi̯	0.154
ˈeː	-	0.154
ə	j	0.15
ɐ	ʏ	0.146
ɐ	ɪ	0.146
ŋ	j_ʏ	0.143
t	s	0.143
ˈaː	ˈœːy̯	0.138
ˈo	ˈɔː	0.133
ˈo	ˈu	0.133
ˈo	ˈoːu̯	0.133
n	-	0.133
ˈɜɪ̯	ˈaːi̯	0.125
ˈɜɪ̯	j_ˈuː	0.125
ˈə	ˈai̯	0.118
ˈɑ	ˈœ	0.118
#>	a_#>	0.117
n	a	0.111
l	l̥	0.108
h	ç	0.105
ˈaː	ˈɑu̯	0.103
ʀ	r_ˈɛ	0.091
n	n_d̥	0.089
f	ʏ	0.083
ɐ	r_ɪ	0.073
ŋ	ɲ	0.071
ˈaː	ˈɛ	0.069
ˈaː	ˈɔ	0.069
ˈaː	ˈa_r	0.069
ˈaː	r	0.069
n	t͡n̥	0.067
n	n̥	0.067
l	ɡ̊_l	0.054
#>	t͡n̥_#>	0.053
