Provençal	Provençal	probability
ˈỹ_ŋ	ˈy	1.0
ˈỹ	ˈø	1.0
ˈũ_ŋ	ˈu	1.0
ˈũ	-	1.0
ˈu_s	ˈo_s	1.0
ˈu_j	ˈø_ʧ	1.0
ˈu_#>	ˈu_r_#>	1.0
ˈĩ	ˈi	1.0
ˈi_v	ˈi	1.0
ˈi_#>	#>	1.0
ˈẽ_ŋ	ˈe	1.0
ˈe_ʤ	ˈi_d	1.0
ˈe_ʀ	r_t	1.0
ˈe_n	n	1.0
ˈe_j	ʧ	1.0
ˈã	ˈa	1.0
ˈa_w	ˈo	1.0
ˈa_s	ˈa_s	1.0
ˈa_#>	ˈa_#>	1.0
ʤ_e	s	1.0
ʀ_k	r_k	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɲ_ɔ	ɲ	1.0
ɲ	ɲ	1.0
ɥ_ˈɔ	ˈø	1.0
ɥ_ˈe	ˈɔ	1.0
ɡ_l	ʤ	1.0
ŋ_#>	#>	1.0
w_ˈẽ	ˈu	1.0
w_ɾ	f	1.0
v_ˈa	ˈa	1.0
v	ʋ	1.0
ũ	o	1.0
t	t	1.0
s_ˈẽ	s_ˈɛ	1.0
s_ˈa	s_ˈa	1.0
s_ɔ	s_a	1.0
s_#>	#>	1.0
s	s	1.0
p	p	1.0
mː	t_m	1.0
m	m	1.0
lː	z	1.0
l_ˈe	l_ˈɛ	1.0
k_ɾ	k_r	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ɾ	d_e	1.0
j_#>	#>	1.0
ĩ	i	1.0
f	f	1.0
ẽ	-	1.0
ã	a	1.0
a_s	a_s	1.0
a_b	a	1.0
<#_ʀ	<#_r	1.0
<#_v_ˈu	<#_ˈu	1.0
<#_v_ˈi	<#_ˈe	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_e	<#	1.0
ɔ	a	0.94
n	n	0.923
ɡ	ɡ	0.889
d	d	0.84
ʤ	z	0.833
a	a	0.833
ˈi	ˈi	0.824
ˈa	ˈa	0.812
ˈɛ	ˈɛ	0.778
b	b	0.778
l	l	0.762
ʀ	r	0.706
y	-	0.667
w_#>	l_#>	0.654
e_#>	#>	0.621
u	o	0.615
ɾ	r	0.606
<#_ˈa	<#	0.6
<#_a	<#_a	0.6
w_ˈe	ˈɔ	0.588
ˈẽ	ˈɛ	0.571
z	z	0.571
j_ˈe	ˈɛ	0.571
i	e	0.571
ˈe	ˈe	0.529
e	e	0.52
ˈy	ˈy	0.5
ˈa_j	ˈa	0.5
ˈa_j	a	0.5
ʧ	ʧ	0.5
ʧ	t	0.5
ɥ	ˈø	0.5
ɥ	-	0.5
j	-	0.467
#>	t_#>	0.462
ˈu	ˈu	0.438
ˈẽ	ˈe	0.429
z	-	0.429
j_ˈe	ˈe	0.429
i	-	0.429
w_ˈe	ˈø	0.412
j	j	0.4
<#_ˈa	<#_ˈa	0.4
<#_a	<#	0.4
ŋ	n	0.385
e_#>	r_#>	0.379
ˈy	ˈø	0.333
y	y	0.333
ŋ	ŋ	0.308
ɾ	e	0.303
w	ˈo	0.3
ˈe	ˈi	0.294
ˈu	ˈo	0.25
e	-	0.24
l	j	0.238
u	-	0.231
ˈɛ	ˈe	0.222
w	ˈu	0.2
w	l	0.2
w	-	0.2
ŋ	n_t	0.192
w_#>	f_#>	0.192
#>	e_#>	0.192
ˈu	ˈy	0.188
ˈi	-	0.176
ˈe	ˈɛ	0.176
ʀ	-	0.176
ˈy	-	0.167
ʤ	ʤ	0.167
a	o	0.167
e	i	0.16
d	t	0.16
w_#>	#>	0.154
u	u	0.154
#>	s_#>	0.154
b	-	0.148
j	ʤ	0.133
ˈu	-	0.125
ʀ	r_t	0.118
ŋ	t	0.115
#>	r_#>	0.115
ɡ	-	0.111
w	ˈɔ	0.1
ɾ	-	0.091
e	ˈi	0.08
n	ɲ	0.077
#>	ʧ_#>	0.077
b	ʋ	0.074
ˈa	ˈo	0.062
ˈa	ˈa_s	0.062
ˈa	-	0.062
