Czech	Czech	probability
ʒ̊	-	1.0
ɪ	ɪ	1.0
ɟ	dʲ	1.0
ɛ_t	ɐ_tʲ	1.0
ɛ_#>	ɛ_#>	1.0
z̥	-	1.0
z	z	1.0
x_#>	ɦ_#>	1.0
x	x	1.0
v_j	ʋʲ	1.0
uː	i_ˈ	1.0
s_a	s_ɑ	1.0
s_#>	s_#>	1.0
r̩	ɛ	1.0
r̝̊	r	1.0
o_#>	ɔ_#>	1.0
l_#>	lʲ_#>	1.0
j	j	1.0
f	w	1.0
d̥_#>	d_#>	1.0
b̥_#>	b_#>	1.0
<#	<#_w	1.0
k	k	0.923
d	d	0.857
p	p	0.833
b	b	0.833
m	m	0.824
r	r	0.778
#>	j_#>	0.778
o	ɔ	0.767
ʒ	ʒ	0.75
s	s	0.727
n	n	0.727
<#_j	<#_j	0.714
ɦ	ɦ	0.7
v	ʋ	0.696
l	ɫ	0.676
ʃ	ʃ	0.667
ou̯	u_ˈ	0.667
c	tʲ	0.667
ɲ	nʲ	0.6
ɛː	ɔ	0.6
<#_r	<#_r	0.6
r̝	r	0.571
t	t	0.568
u	u_ˈ	0.556
ʧ	ʧ_ɔ	0.5
l̩	ɫ	0.5
l̩	ɔ_ˈ	0.5
a	ɑ	0.488
u	ʊ	0.444
aː	ɑ	0.444
iː	e_j	0.436
r̝	rʲ	0.429
ɛ	i	0.417
ɲ	-	0.4
ɛː	i	0.4
<#_r	<#_rʲ	0.4
a	ɐ	0.372
ʦ	ʦʲ	0.333
ʃ	ʃʲ	0.333
ou̯	-	0.333
c	ʧ	0.333
aː	ɔ	0.333
<#_j	<#	0.286
iː	ɪ_ˈ	0.282
s	sʲ	0.273
n	nʲ	0.273
ʧ	ʧʲ	0.25
ʧ	ʤ	0.25
ʒ	ʒʲ	0.25
l	lʲ	0.243
o	i_ˈ	0.233
ʦ	ʧ	0.222
ʦ	ʦ	0.222
ʦ	-	0.222
r	ɔ_r	0.222
aː	ɐ	0.222
#>	r_#>	0.222
ɛ	ɛ_ˈ	0.2
t	tʲ	0.189
t	t_e	0.189
m	mʲ	0.176
v	ʋʲ	0.174
p	pʲ	0.167
b	bʲ	0.167
ɦ	-	0.15
d	-	0.143
v	w	0.13
iː	i	0.128
ɦ	ɦ_ɔ	0.1
ɛ	ɔ_ˈ	0.1
a	ɔ	0.093
ɛ	ɛ	0.083
l	ɔ_ˈ	0.081
k	kʲ	0.077
ɛ	ɔ	0.067
ɛ	ɑ_ˈ	0.067
t	t_ɪ	0.054
iː	ɐ	0.051
iː	j	0.051
iː	e	0.051
