Campidanese	Campidanese	probability
ˈɔ_z	ˈo	1.0
ˈɔ_n	ˈu_n	1.0
ˈi_ɾ	e̯ˈa_r	1.0
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʒ	ʦ	1.0
ʃ	ʃ_t	1.0
ɲ	n_j	1.0
ɭː	ʎ	1.0
ɣ_u_#>	k_#>	1.0
ɛ	-	1.0
ɖː_u_#>	l_#>	1.0
ɖː	-	1.0
ɔ̆	-	1.0
ɔ	-	1.0
ð	t	1.0
z	-	1.0
u_#>	#>	1.0
p_ˈɛ	k_e̯ˈa	1.0
o	u	1.0
n_u_#>	n_#>	1.0
l_u_#>	r_#>	1.0
l	r	1.0
k_ɾ	k	1.0
k_w	p	1.0
k_u	k_u	1.0
k	k	1.0
j	-	1.0
i_#>	#>	1.0
e	-	1.0
a_#>	#>	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_ʃ	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_b	<#_j	1.0
<#	<#_a	1.0
p	p	0.9
m	m	0.852
<#_l	<#_l	0.846
ˈu	ˈu	0.826
a	ə	0.825
n	n	0.821
s	s	0.815
r	r	0.8
<#_a	<#_a	0.8
t	t	0.773
ɡ	ɡ	0.714
nː	n	0.714
ˈɔ	o̯ˈa	0.706
b	b	0.684
ˈa	ˈa	0.667
ɾ	r	0.652
f	f	0.643
ˈe	ˈe	0.615
ˈi	ˈi	0.613
<#_ʧ	<#_ʦ	0.6
#>	i_#>	0.571
ˈo	ˈo	0.562
u	u	0.55
d	d	0.538
i	i	0.534
ɣ	k_ʎ	0.5
ɣ	k	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
ŭ	j	0.5
ŭ	-	0.5
ʤ	ʤ	0.455
<#_ʧ	<#	0.4
ˈɛ	ˈi	0.391
ʤ	ʣ	0.364
f	ç	0.357
β	p_r	0.333
β	b	0.333
β	-	0.333
b	v	0.316
ˈo	ˈu	0.312
ˈɔ	ˈo	0.294
ɡ	-	0.286
nː	-	0.286
#>	ə_#>	0.286
ˈɛ	e̯ˈa	0.261
ˈe	-	0.231
d	ʣ	0.231
d	-	0.231
t	p_t	0.227
ˈa	ˈɨ	0.205
r	r_n	0.2
<#_a	<#	0.2
ʤ	-	0.182
n	-	0.179
ˈɛ	ˈe	0.174
ˈɛ	ˈa	0.174
ˈu	ˈo	0.174
ˈi	e̯ˈa	0.161
ˈe	ˈi	0.154
<#_l	<#_ʎ	0.154
u	ə	0.15
m	ɲ	0.148
#>	u_#>	0.143
i	r_i	0.136
ɾ	l	0.13
ɾ	-	0.13
ˈi	ˈe	0.129
ˈa	-	0.128
ˈo	-	0.125
s	-	0.111
u	w	0.1
u	i	0.1
p	k	0.1
ˈi	-	0.097
i	-	0.091
ɾ	i_r	0.087
a	ʎ_i	0.075
s	ʃ	0.074
i	ə	0.057
i	e	0.057
