Icelandic	Icelandic	probability
θ_ˈɪ	d	1.0
θ	d	1.0
ˈʏ_t͡l̥	w	1.0
ˈɛi̯	ˈɛː	1.0
ˈɔː	-	1.0
ˈɔu̯	-	1.0
ˈœː	-	1.0
ˈou̯	-	1.0
ˈeːi̯	-	1.0
ˈau̯	ˈæː	1.0
ˈai̯	-	1.0
ʰt͡n̥	t	1.0
ʰp	p	1.0
ʰc	k	1.0
ʏ_r̥_#>	#>	1.0
ɲ	ŋ	1.0
ɪ_r̥	ə_ʀ	1.0
ɣ	x	1.0
ɡ̊ː	-	1.0
ɡ̊_a_#>	#>	1.0
ɟ̊ː	-	1.0
ɟ̊	ɣ	1.0
ɛ	ə	1.0
ɑu̯	ɪ	1.0
ŋ	ŋ	1.0
ð_ʏ	ʀ	1.0
ç	ɦ	1.0
x	x	1.0
v_ʏ	v̥	1.0
v_a	ə	1.0
u	-	1.0
t͡l̥	l	1.0
t	t	1.0
s_t	s	1.0
s_j	z	1.0
s_c	ʃ	1.0
s_#>	z̥_#>	1.0
r̥	ʀ	1.0
r_t͡n̥	ʀ	1.0
pʰ	p	1.0
p	p	1.0
n̥	k_n	1.0
n_#>	#>	1.0
n	n	1.0
m_a	m_ə	1.0
m	m	1.0
k	k	1.0
j_ˈɛː	ˈeː	1.0
j_ˈuː	ˈeː	1.0
j_ˈoːu̯	ˈeː	1.0
j_a	ə	1.0
i	ˈyː	1.0
h_ˈɛːi̯	ɦ	1.0
h	ɦ	1.0
f	v	1.0
d̥_ʏ	d̥	1.0
d̥_#>	d̥_#>	1.0
d̥	d	1.0
cʰ	k	1.0
b̥	b	1.0
aːu̯	i	1.0
a_#>	#>	1.0
a	ə	1.0
<#_ɡ̊	<#_ɣ	1.0
<#_tʰ	<#_t	1.0
<#_r̥	<#_ʀ	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_β	1.0
r	ʀ	0.917
ɪ	-	0.857
l	l	0.84
ˈu	-	0.833
v	β	0.724
ˈɔ	ˈʊː	0.714
ˈœ	-	0.714
r̥_#>	#>	0.706
<#_kʰ	<#_k	0.7
ˈʏː	-	0.667
ˈi	ˈɪː	0.667
ˈaː	ˈaː	0.667
ʰt	x	0.667
s_k	s	0.667
m_ʏ	ə_m	0.667
ˈuː	ˈuː	0.643
ˈɪː	-	0.625
ˈɛːi̯	ˈɛː	0.625
ʏ	ə	0.615
ˈɑu̯	ˈɑ	0.6
ʰk	k	0.6
ɡ̊_ʏ	k	0.6
c	k	0.6
ð	d̥	0.577
ˈaːi̯	-	0.571
t͡n̥	n	0.571
s	z	0.568
ˈɑːu̯	ˈɒː	0.5
ˈœːy̯	ˈu	0.5
ˈaːu̯	ˈʊː	0.5
ˈaːu̯	-	0.5
l̥	l_ə	0.5
l̥	l	0.5
j	ˈeː	0.5
ˈiː	ˈiː	0.474
ˈɛː	ˈeː	0.455
ˈoːu̯	ˈʊː	0.455
nː	n	0.444
ˈaːi̯	ˈøː	0.429
t͡n̥	ə	0.429
ˈiː	-	0.421
#>	ə_#>	0.417
#>	n_#>	0.417
ˈɑu̯	ˈaː	0.4
ʰk	ŋ_k	0.4
ɡ̊_ʏ	ə	0.4
c	-	0.4
s	s	0.378
ˈɪː	ˈɛː	0.375
ˈɛːi̯	-	0.375
ˈa	ˈaː	0.368
ˈʏ	ˈʊː	0.357
ˈʏ	-	0.357
ˈʏː	ˈeː	0.333
ˈɛ	-	0.333
ˈi	-	0.333
ˈaː	-	0.333
ʰt	t	0.333
s_k	ʃ	0.333
nː	ˈɪ_n	0.333
m_ʏ	m	0.333
ˈɪ	-	0.308
ð	j	0.308
ɡ̊	ə_x	0.3
ɡ̊	-	0.3
<#_kʰ	<#	0.3
r̥_#>	ʀ_#>	0.294
ˈʏ	ˈɔ	0.286
ˈɔ	ˈœː	0.286
ˈœ	ˈɑː	0.286
j	-	0.286
ˈɛ	ˈeː	0.278
ˈoːu̯	ˈoː	0.273
ˈoːu̯	-	0.273
ˈɑːu̯	ˈi	0.25
ˈɑːu̯	-	0.25
ˈœːy̯	ˈɔː	0.25
ˈœːy̯	-	0.25
ˈɪ	ˈɪː	0.231
ˈɪ	ˈɛ	0.231
ˈɪ	ˈœ	0.231
ʏ	-	0.231
nː	n_d	0.222
ˈuː	-	0.214
j	ˈi	0.214
ˈa	ˈɑː	0.211
ˈa	-	0.211
ɡ̊	ɣ_ə	0.2
ɡ̊	k	0.2
ˈɛː	ˈɒː_z̥	0.182
ˈɛː	ˈi	0.182
ˈɛː	-	0.182
v	v	0.172
ˈɛ	ˈɑ	0.167
ˈu	ˈʊ	0.167
#>	d̥_#>	0.167
ʏ	k	0.154
ˈuː	ɣ	0.143
ɪ	ʀ	0.143
ð	-	0.115
ˈɛ	ˈɛ	0.111
ˈɛ	ˈæː	0.111
ˈiː	ˈœi̯	0.105
ˈa	ˈɑ	0.105
ˈa	ˈæː	0.105
v	-	0.103
r	-	0.083
l	j	0.08
l	-	0.08
s	ʀ	0.054
