Proto-Germanic	Ripuarian	probability
b	b	0.942
b	-	0.058
d	d	0.619
d	d̥	0.129
d	ɡ̊	0.126
d	-	0.102
e	ɐ	0.959
i	-	0.869
i	ɪ	0.074
i	ə	0.051
iː	-	1.0
j	-	0.738
j	j	0.131
j	ʀ	0.071
j	ˈeː	0.06
jː	ˈeɪ̯	1.0
k	-	0.447
k	k	0.399
k	ɕ	0.097
kʷ	k	0.668
kʷ	-	0.188
kʷ	f	0.144
kː	k	1.0
l	l	0.959
lː	l	1.0
m	m	0.958
mː	m	1.0
n	n	0.442
n	-	0.391
n	ŋ	0.163
nː	n	1.0
p	f	0.598
p	p	0.402
pː	p	1.0
r	ʀ	0.443
r	ɐ	0.333
r	-	0.225
s	z	0.356
s	ʃ	0.343
s	s	0.219
s	-	0.082
t	s	0.357
t	ʦ	0.267
t	t	0.245
t	-	0.111
tː	ʦ	1.0
u	-	0.717
u	ə	0.243
w	ʋ	0.68
w	-	0.273
wː	ˈaʊ̯	0.714
wː	ˈyː	0.286
x	h	0.547
x	-	0.345
x	x	0.052
xʷ	ʋ	0.436
xʷ	k	0.311
xʷ	-	0.197
xʷ	v	0.057
z	-	0.944
z	ɕ	0.056
ð	d	0.329
ð	d̥	0.228
ð	t	0.162
ð	-	0.113
ð	ɡ̊	0.087
ð	k	0.081
ŋ	ŋ	0.956
ɑ	-	0.551
ɑ	ə	0.441
ɑi̯	ˈa	1.0
ɑː	ə	1.0
ɑ̃	-	0.912
ɔː	ɐ	0.834
ɔː	-	0.166
ɔːu̯	-	1.0
ɔːː	ɐ	0.597
ɔːː	ə	0.243
ɔːː	-	0.16
ɔ̃ː	ˈaʊ̯	0.934
ɔ̃ː	n	0.066
ɛː	ɐ	1.0
ɡ	-	0.577
ɡ	ɡ̊	0.386
ɡʷ	-	1.0
ɣ	j	0.392
ɣ	-	0.342
ɣ	k	0.129
ɣ	ɣ	0.067
ɸ	f	0.979
ˈe	ˈɛː	0.383
ˈe	ˈɛ	0.23
ˈe	ˈeː	0.086
ˈe	-	0.073
ˈe	ˈe	0.051
ˈeu̯	ˈeː	0.728
ˈeu̯	ˈe	0.093
ˈeu̯	ˈo	0.093
ˈeu̯	ˈʏ	0.054
ˈeː	ˈeː	1.0
ˈi	ˈe	0.342
ˈi	ˈɪ	0.28
ˈi	ˈeɪ̯	0.114
ˈi	ˈœ	0.074
ˈi	ˈa	0.063
ˈi	ˈɛ	0.056
ˈiu̯	ˈøʏ̯	0.541
ˈiu̯	ˈøː	0.288
ˈiu̯	ˈʏ	0.127
ˈiː	ˈiː	0.512
ˈiː	ˈɪ	0.254
ˈiː	ˈeɪ̯	0.091
ˈiː	ˈe	0.089
ˈiː	ˈɛ	0.054
ˈĩː	ˈeː	1.0
ˈu	ˈo	0.238
ˈu	ˈɔ	0.191
ˈu	ˈoː	0.145
ˈu	ˈʊ	0.103
ˈu	ˈœ	0.096
ˈu	ˈʏ	0.088
ˈuː	ˈuː	0.471
ˈuː	ˈaʊ̯	0.235
ˈuː	ˈyː	0.149
ˈuː	ˈoː	0.11
ˈɑ	ˈa	0.492
ˈɑ	ˈaː	0.199
ˈɑ	ˈɛ	0.101
ˈɑ	-	0.062
ˈɑi̯	ˈeː	0.449
ˈɑi̯	ˈeɪ̯	0.214
ˈɑi̯	ˈiː	0.167
ˈɑi̯	ˈe	0.076
ˈɑi̯	ˈɛ	0.06
ˈɑu̯	ˈuː	0.353
ˈɑu̯	ˈoː	0.172
ˈɑu̯	ˈyː	0.168
ˈɑu̯	ˈøː	0.133
ˈɑu̯	ˈaʊ̯	0.103
ˈɑː	ˈoː	1.0
ˈɔ	ˈøː	1.0
ˈɔː	ˈoː	0.607
ˈɔː	ˈøː	0.187
ˈɔː	ˈyː	0.174
ˈɛː	ˈoː	0.573
ˈɛː	ˈo	0.206
ˈɛː	ˈɔ	0.114
ˈɛː	ˈiː	0.058
β	v	0.559
β	v̥	0.343
β	-	0.082
θ	d	0.73
θ	d̥	0.157
