Proto-Germanic	Ripuarian	probability
b	b	0.919
b	-	0.073
d	d	0.79
d	k	0.141
d	t	0.065
d_ɑ	k	0.558
d_ɑ	t	0.437
e	ɐ	0.488
i	-	0.736
i	ɪ	0.115
i	ə	0.076
i	ɐ	0.044
i	ˈiː	0.041
i_z	ɕ	1.0
iː	-	0.488
j	-	0.802
j	ˈeɪ̯	0.103
j	j	0.068
j	ʀ	0.036
jː	ˈeɪ̯	1.0
k	k	0.747
k	-	0.129
k	h	0.062
k	x	0.058
k_s	ɕ	1.0
kʷ	k	1.0
l	l	1.0
l_u	l	1.0
l_ɑ	l	1.0
lː	l	1.0
m	m	0.909
m	ŋ	0.076
m	n	0.033
m_i	m	1.0
m_ɑ	m	1.0
mː	m	0.238
n	n	0.684
n	-	0.161
n	ŋ	0.141
nː	n	1.0
p	f	0.57
p	p	0.422
p_ɑ̃	f	1.0
pː	p	1.0
r	ʀ	0.53
r	-	0.273
r	ɐ	0.192
r_i	ɐ	1.0
r_t	ʦ	0.488
r_ɑ	ɐ	1.0
r_ɑ̃	ɐ	1.0
s	z	0.284
s	s	0.252
s	ʃ	0.245
s	-	0.205
s_k	ʃ	1.0
s_w	z	1.0
s_ɑ̃	s	1.0
s_ˈɑi̯	z	1.0
t	ʦ	0.341
t	t	0.31
t	s	0.18
t	-	0.166
t_i	s	1.0
t_ɑ	s	1.0
u	-	0.722
u	ə	0.172
u	ˈyː	0.086
w	ʋ	0.741
w	-	0.169
w	ˈiː	0.04
w	l	0.037
w	ˈʏ	0.037
w_ɑ	ˈiː	1.0
wː	ˈyː	0.488
x	h	0.519
x	-	0.258
x	k	0.067
x	ɕ	0.059
x	x	0.056
x_l	l	0.488
x_t	x	1.0
xʷ	ʋ	0.517
xʷ	-	0.341
xʷ	v	0.071
z	-	0.897
z	ɕ	0.102
ð	d	0.417
ð	-	0.364
ð	k	0.199
ð_i	t	1.0
ð_ɑ	t	1.0
ð_ɑ̃	t	1.0
ŋ	ŋ	0.796
ŋ	-	0.156
ŋ_ɡ	ŋ	1.0
ɑ	-	0.899
ɑ	ə	0.076
ɑ	ˈoː	0.028
ɑ_l	l	0.488
ɑ_n	ə	1.0
ɑ_z	ə	1.0
ɑi̯	ˈa	1.0
ɑː	-	0.116
ɑ̃	-	0.9
ɑ̃	ə	0.073
ɑ̃	ɐ	0.028
ɔː	-	0.587
ɔː	ɐ	0.405
ɔːu̯	-	0.488
ɔːː	-	0.498
ɔːː	ɐ	0.348
ɔːː	ə	0.136
ɔ̃ː	-	0.79
ɔ̃ː	n	0.121
ɔ̃ː	ˈaʊ̯	0.048
ɔ̃ː	m	0.046
ɛː	ɐ	1.0
ɡ	ɕ	0.488
ɡ_ɑ	k	0.238
ɡʷ	-	0.238
ɣ	j	0.436
ɣ	-	0.275
ɣ	ɣ	0.12
ɣ	ɕ	0.073
ɣ	x	0.07
ɣ_j	k	1.0
ɸ	f	0.955
ɸ	v	0.044
ˈe	ˈɛ	0.318
ˈe	ˈeː	0.164
ˈe	ˈɛː	0.151
ˈe	ˈɪ	0.112
ˈe	-	0.083
ˈe_r	ˈɛː	1.0
ˈe_ɣ	ˈɛː	1.0
ˈeu̯	ˈeː	0.782
ˈeu̯	ˈiː	0.119
ˈeu̯	ˈo	0.09
ˈeː	ˈeː	1.0
ˈi	ˈe	0.293
ˈi	ˈɪ	0.222
ˈi	-	0.136
ˈi	ˈɛ	0.116
ˈi	ˈiː	0.086
ˈiu̯	ˈʏ	0.322
ˈiu̯	ˈɔʏ̯	0.196
ˈiu̯	ˈyː	0.18
ˈiu̯	ˈøː	0.11
ˈiː	ˈiː	0.665
ˈiː	ˈɪ	0.129
ˈiː	ˈɛ	0.096
ˈiː	ˈeɪ̯	0.09
ˈĩː	ˈeː	0.488
ˈu	ˈɔ	0.374
ˈu	ˈœ	0.154
ˈu	ˈʏ	0.129
ˈu	ˈo	0.092
ˈu	ˈu	0.064
ˈu_r	ˈoː	1.0
ˈuː	ˈuː	0.441
ˈuː	ˈoː	0.291
ˈuː	ˈaʊ̯	0.253
ˈɑ	ˈa	0.417
ˈɑ	ˈaː	0.28
ˈɑ	ˈɛ	0.105
ˈɑ	ˈɛː	0.077
ˈɑ	-	0.073
ˈɑ_x	ˈoː	0.488
ˈɑi̯	ˈeː	0.704
ˈɑi̯	ˈoː	0.084
ˈɑi̯	-	0.082
ˈɑi̯	ˈɛ	0.064
ˈɑi̯	ˈe	0.049
ˈɑu̯	ˈuː	0.422
ˈɑu̯	ˈaʊ̯	0.138
ˈɑu̯	ˈyː	0.128
ˈɑu̯	ˈoː	0.091
ˈɑu̯	ˈøː	0.066
ˈɔ	ˈøː	0.488
ˈɔː	ˈoː	0.666
ˈɔː	ˈøː	0.236
ˈɔː	ˈyː	0.093
ˈɛː	ˈoː	0.725
ˈɛː	ˈøː	0.131
ˈɛː	ˈɔ	0.088
β	v	0.912
β	-	0.074
β_u	p	1.0
β_ɑ	f	1.0
β_ɑ̃	f	1.0
θ	d	0.799
θ	t	0.105
θ	k	0.049
θ	-	0.048
θ_ɑ̃	t	1.0
