Old Chinese	Old Chinese	probability
ʦʰ	ʦʰ	1.0
ʔ_s	ʦ	1.0
ɯ_s	j_²⁴²	1.0
ɢʷ	h_w	1.0
ɢ	-	1.0
ɡʷ	w	1.0
ɡ_l	k	1.0
ŋʷ	-	1.0
ŋ_ʔ	ŋ_³³	1.0
ŋ_s	ŋ_²⁴²	1.0
z	ʦ	1.0
w	ɔ	1.0
uː	a	1.0
u_ʔ	w_³³	1.0
tʰ	ʦʰ	1.0
t	t	1.0
sʰ	ʦʰ	1.0
s_#>	#>	1.0
s	j_²⁴²	1.0
r̥ʰ	tʰ_ɛ	1.0
r_ɯ	i	1.0
qʰ	-	1.0
pʰ	pʰ	1.0
n_ʔ	ŋ_³³	1.0
n_s	ŋ_²¹³	1.0
n_i	nˡ	1.0
m_ʔ	ŋ_³³	1.0
l̥ʰ	tʰ	1.0
lʼ_e	t	1.0
lʼ	tʰ	1.0
l_ɯː	a_j	1.0
kʷ	k	1.0
kʰʷ	kʰ	1.0
kʰ_l	ʦʰ	1.0
kʰ	kʰ	1.0
k	k	1.0
j	-	1.0
iː	e	1.0
i_i	i	1.0
hʷ	h_w	1.0
h_m	h	1.0
h_l	s	1.0
d_s	²¹³	1.0
b	p	1.0
<#_ɡ	<#	1.0
<#_s	<#_s	1.0
<#_q	<#	1.0
<#_n	<#	1.0
ŋ	ŋ	0.826
p	p	0.818
ɡ	ʔ	0.8
r	a	0.714
<#_ŋ	<#_ŋ	0.714
<#_r	<#_l̃	0.714
ʔ	-	0.706
n	ŋ	0.684
i	j	0.667
eː	j	0.636
o	w_o	0.625
<#_d	<#	0.571
<#	<#_h	0.571
e	e	0.556
l	-	0.538
r_aː	ɑ	0.5
r_aː	a	0.5
d_#>	ʔ_⁵_#>	0.5
d_#>	ʔ_²⁴_#>	0.5
m	m	0.45
ɯː	-	0.429
oː	ø	0.429
<#_d	<#_t	0.429
<#	<#_ʦ	0.429
a	o	0.421
#>	⁵³_#>	0.396
o	ø	0.375
aː	o	0.375
u	w	0.364
eː	-	0.364
ɯ	u	0.357
n	nˡ	0.316
l	ɛ	0.308
ɯː	ɔ_ɥ	0.286
ɯː	j	0.286
ɯ	o	0.286
r	-	0.286
oː	a_w	0.286
oː	a	0.286
<#_ŋ	<#	0.286
<#_r	<#	0.286
#>	⁵⁵_#>	0.281
u	u	0.273
m	-	0.25
aː	ɑ	0.25
aː	o_w	0.25
e	a	0.222
e	-	0.222
ɯ	i	0.214
a	ɔ	0.211
a	-	0.211
ɡ	k	0.2
m	ŋ_⁵⁵	0.2
u	ø_ɥ	0.182
u	-	0.182
p	-	0.182
ʔ	w_²⁴²	0.176
ŋ	ɥ_ŋ	0.174
i	i	0.167
i	-	0.167
a	y	0.158
l	j_⁵⁵	0.154
ɯ	j	0.143
aː	a	0.125
ʔ	w_³³	0.118
#>	³³_#>	0.104
#>	²⁴_#>	0.104
m	ŋ	0.1
#>	⁵_#>	0.073
