Sicilian	Eastern Lombard	probability
b	b	1.0
c	-	1.0
f	f	1.0
kː	k	1.0
m	m	1.0
mː	m	1.0
o	o	1.0
s	s	1.0
u	o	1.0
z	z	1.0
ç	f_j	1.0
ŋ	ŋ	1.0
ɟː	j	1.0
ɡ	ɡ	1.0
ɽ	r	1.0
ʃ	s	1.0
ʃː	s	1.0
ʐ	r	1.0
ʐː	r	1.0
ʤ	z	1.0
ʤː	ʤ	1.0
ʧː	s	1.0
ˈo	ˈu	1.0
i	-	0.211
i	e	0.511
k	k	0.911
n	-	0.11
nː	n	0.601
ɪ	-	0.191
ɾ	d	0.11
ˈɔ	ˈo	0.151
a	-	0.052
j	-	0.472
ɖː	-	0.062
ɾ	-	0.42
ˈu	ˈy	0.162
a	a	0.913
w	w	0.803
ɕ	s	0.833
ɪ	ˈi	0.233
ɲː	ɲ	0.83
ˈu	ˈo	0.273
ˈɔ	ˈø	0.33
ˈi	ˈi	0.34
ˈi	ˈɛ	0.354
ˈɔ	ˈɔ	0.364
ˈɛ	ˈɛ	0.724
p	-	0.095
p	p	0.905
v	b	0.195
ʊ	-	0.305
ˈe	ˈe	0.415
ˈe	ˈɛ	0.585
ˈu	ˈø	0.285
l	l	0.956
t	d	0.36
t	t	0.626
v	ʋ	0.186
ɪ	e	0.576
ˈa	ˈa	0.926
ˈi	ˈe	0.246
ˈɔ	ˈu	0.156
ˈɛ	ˈe	0.276
i	i	0.277
r	-	0.47
ɕ	z	0.167
ɲː	n	0.17
ɾ	r	0.47
ʊ	o_l	0.257
j	j	0.08
nː	ŋ	0.18
w	-	0.148
ɖː	l	0.938
ʊ	e	0.18
ʊ	o	0.258
ˈu	ˈu	0.238
d	d	0.959
j	z	0.449
k	ɡ	0.089
n	n	0.89
nː	n_d	0.219
r	r	0.509
v	-	0.619
ˈi	-	0.059
