Eastphalian	Eastphalian	probability
ˈɛə̯	ˈa	1.0
ˈɔʏ̯	ˈɔʏ̯	1.0
ˈɔ_l	ˈaʊ̯_l	1.0
ˈɒː	ˈoː	1.0
ˈyː	ˈyː	1.0
ˈuː	ˈuː	1.0
ˈoː_ɐ	ˈɔː	1.0
ˈiː	ˈiː	1.0
ˈeo̯	ˈaʊ̯	1.0
ˈaː	-	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ˈa_ɐ	ˈaː	1.0
ˈa_l	ˈaː	1.0
ˈa	ˈa	1.0
ʃ	ʃ	1.0
ɣ̊	x	1.0
ɣ_ə	ç	1.0
ɣ	ɡ	1.0
ɡ	-	1.0
ə	-	1.0
ɒː	aɪ̯	1.0
ɐ_t	d	1.0
ŋ	ŋ	1.0
ç	ç	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
x	x	1.0
w	v	1.0
v̥	v̥	1.0
v_n	m	1.0
v	v	1.0
t_ɐ	d_ɐ	1.0
t_n	d_n	1.0
r_ə	ɐ	1.0
r	r	1.0
n_ʃ	n_ʃ	1.0
n_ɐ	n_ɐ	1.0
n_n	n_n	1.0
m_n	m	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
d_ˈa	d_ˈa	1.0
d	d	1.0
b	b	1.0
<#_t	<#_tʰ	1.0
ˈɪ	ˈɪ	0.963
ɐ	ɐ	0.929
n	n	0.894
ˈɛɪ̯	ˈaɪ̯	0.852
ˈʏ	ˈʏ	0.8
ˈɔ	ˈɔ	0.8
p	b	0.8
ˈʊ	ˈʊ	0.769
ˈøː	ˈɔʏ̯	0.75
ɪ	ɪ	0.667
ˈeː	ˈeː	0.625
s	ʃ	0.556
ˈɛ	ˈɛ	0.538
k	ɡ	0.531
t	d	0.517
ˈɛː	-	0.5
ˈœ	ˈœː	0.5
ˈœ	ˈœ	0.5
j	ɡ	0.5
ˈoː	ˈaʊ̯	0.444
s	s	0.444
k	kʰ	0.406
ˈeː	-	0.375
t	t	0.345
ˈoː	ˈøː	0.333
ɪ	i	0.333
ˈɛː	ˈoː	0.25
ˈɛː	ˈeː	0.25
ˈøː	ˈɛː	0.25
j	ʒ	0.25
j	-	0.25
ˈʊ	-	0.231
ˈɛ	ˈeː	0.231
ˈɛ	-	0.231
ˈoː	ˈoː	0.222
ˈʏ	-	0.2
ˈɔ	-	0.2
p	p	0.2
t	-	0.138
ˈɛɪ̯	ˈɛɪ̯	0.074
ˈɛɪ̯	ˈeɪ̯	0.074
ɐ	ˈaː	0.071
k	k	0.062
