Elfdalian	Elfdalian	probability
ˈʏ	ˈʏ	1.0
ˈʉ̃ːə̯	-	1.0
ˈɪ̃ː	ˈiː	1.0
ˈɪ	ˈɪ	1.0
ˈɔ̃ː	-	1.0
ˈɑːi̯	ˈiː	1.0
ˈɑ_r	ˈaː	1.0
ˈœ	ˈɪ	1.0
ˈæː	-	1.0
ˈyːœ̯	ˈɔʏ̯	1.0
ˈyœ̯	-	1.0
ʨ	-	1.0
ʥː	ç	1.0
ʥ	j	1.0
ʏ	ˈœː_v	1.0
ʉ_#>	#>	1.0
ɽ_#>	l_#>	1.0
ɽ	l	1.0
ɪ	-	1.0
ɣ_ɑ	ŋ	1.0
ɡ_#>	#>	1.0
ɡ	-	1.0
ɛ_r	æ	1.0
ɛ_n	m	1.0
ɛ	-	1.0
ɔ̃	ae̯	1.0
ɑ̃	ˈɔʏ̯_t	1.0
ɑ_#>	#>	1.0
ð_ɛ	ɾ	1.0
ð_ɑ	d_n	1.0
ð_#>	#>	1.0
ð	d̥	1.0
v_#>	#>	1.0
t_#>	#>	1.0
t	t	1.0
sː	n_s	1.0
s_ʨ	ʃ	1.0
s_k	ʃ	1.0
s_j	z	1.0
s_#>	z̥_#>	1.0
rː	ç	1.0
r_ˈɑːi̯	r	1.0
pʰ	pʰ	1.0
p	p	1.0
nː_ɑ	n_n	1.0
n_d	n	1.0
mː	-	1.0
m	m	1.0
l̥	ʃ_l	1.0
lː	l	1.0
l	l	1.0
kʰ	kʰ	1.0
j_ˈʉːə̯	ˈae̯	1.0
f	f	1.0
d_#>	d̥_#>	1.0
d	d	1.0
b	b	1.0
a	n	1.0
<#_ɡ	<#_ɡ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_h	0.905
n	n	0.821
ŋ	ŋ	0.818
k	k	0.818
ˈɑːu̯	ˈuː	0.8
ˈʉə̯	-	0.75
ˈiːe̯	ˈae̯	0.75
ʉ	-	0.75
ɑ	n	0.75
tː	t	0.714
w	v	0.684
ˈɑ	ˈa	0.667
ˈo	-	0.667
ɡː	-	0.667
nː	n	0.667
tʰ	d	0.611
ˈɛː	-	0.6
ˈɔ	-	0.6
ˈæ	-	0.6
r	æ	0.591
ˈoː	-	0.571
ˈœː	ˈaʊ̯	0.556
ˈʉːə̯	ˈaʊ̯	0.533
ˈʏː	ˈyː	0.5
ˈʏː	-	0.5
ˈɑː	ˈa	0.5
kː	ŋ_k	0.5
kː	k	0.5
s	z	0.484
ˈɛ	-	0.462
v	v̥	0.462
ɣ	-	0.455
ɔ	m	0.444
#>	n_#>	0.444
ˈoː	ˈaʊ̯	0.429
ˈʉː	-	0.4
ˈɛː	ˈɛː	0.4
ˈɔ	ˈa	0.4
ˈæ	ˈɛː	0.4
ˈʉ	ˈʊ	0.389
tʰ	tʰ	0.389
ɣ	ç	0.364
r	r	0.341
ˈʉːə̯	-	0.333
ˈɪː	ˈɪ	0.333
ˈɑ	-	0.333
ˈo	ˈuː	0.333
ɡː	ç	0.333
ɔ	n	0.333
nː	æ	0.333
j	-	0.333
s	ʃ	0.323
ˈɛ	ˈɛ	0.308
ˈʉː	ˈuː	0.3
ˈɔː	ˈɒː	0.3
ˈɔː	-	0.3
ˈɑː	ˈɒː	0.3
tː	x_t	0.286
j	ˈɛ	0.267
j	ˈiː	0.267
ˈʉə̯	ˈuː	0.25
ˈɪː	ˈɛː	0.25
ˈɪː	ˈiː	0.25
ˈiːe̯	ˈɪ	0.25
ʉ	ɣ	0.25
ˈɛ	ˈae̯	0.231
v	b	0.231
ˈœː	ˈɔʏ̯	0.222
ˈœː	-	0.222
ɔ	-	0.222
ˈʉː	ˈœː	0.2
ˈɔː	ˈoː	0.2
ˈɔː	ˈa_l	0.2
ˈɑːu̯	-	0.2
ˈɑː	ˈaː	0.2
s	s	0.194
ɣ	x	0.182
ŋ	-	0.182
k	-	0.182
n	-	0.179
ˈʉ	ˈʏ	0.167
ˈʉ	v_ˈʊ	0.167
ˈʉ	-	0.167
ˈɪː	ˈae̯	0.167
#>	ç_#>	0.167
#>	d̥_#>	0.167
w	w	0.158
w	v_ˈae̯	0.158
v	m	0.154
v	-	0.154
ɑ	-	0.15
ˈʉːə̯	ˈae̯	0.133
j	ˈae̯	0.133
ˈʉ	ˈɒː	0.111
#>	æ_#>	0.111
#>	k_#>	0.111
ˈʉː	ˈøː	0.1
ɑ	ŋ	0.1
<#	<#_j	0.095
r	-	0.068
