East Franconian	Eastphalian	probability
β	v	1.0
ˈɘ	-	1.0
ˈɒː	ˈɒː	1.0
ˈiː_ɐ	ˈiː	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	ˈa	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ɾ_ɐ	ɐ	1.0
ɾ	d	1.0
ɪ	ɪ	1.0
ɣ	j	1.0
ə	ə	1.0
ɐ_n	ɐ_n	1.0
ɐ	ɐ	1.0
ç	ç	1.0
z̥_n	t_n	1.0
v̥_n	b_m	1.0
r	r	1.0
n_ˈiː	n_ˈɛɪ̯	1.0
n_d̥	n	1.0
kʰ	k	1.0
j	j	1.0
i	ɪ_ç	1.0
h	h	1.0
eː	ɒː	1.0
d̥_ˈɪ	d_ˈɪ	1.0
d̥_ˈiː	d_ˈɛɪ̯	1.0
b̥͡v̥	p	1.0
l	l	0.948
m	m	0.941
b̥	b	0.94
f	f	0.917
n	n	0.843
v	v	0.788
ˈɪ	ˈɪ	0.747
ŋ	ŋ	0.747
ɣ̊	ɣ	0.729
ˈɒ	ˈa	0.716
ˈɛː	-	0.703
ʃ	ʃ	0.667
n_a	n_n	0.664
ˈoː	ˈɒː	0.643
x	k	0.606
s	z	0.591
ˈʊ	ˈʊ	0.59
ˈaɪ̯	ˈiː	0.568
a	ə	0.508
z̥	z̥	0.5
d̥	d	0.465
ˈuː	ˈaʊ̯	0.437
ɡ̊	ɣ	0.431
ˈeː	-	0.428
ˈiː	ˈɛɪ̯	0.396
x	x	0.394
ˈɛ	ˈɛ	0.389
d̥	d̥	0.34
ˈɔ	ˈɔ	0.338
n_a	n	0.336
ʃ	s	0.333
ˈeː	ˈeː	0.319
ɡ̊	k	0.314
ˈuː	ˈeo̯	0.312
ˈaː	ˈeo̯	0.31
ˈaː	ˈɛɪ̯	0.303
a	n	0.302
ˈɛː	ˈɛɪ̯	0.297
ˈɔ	-	0.297
z̥	t	0.279
s	t	0.278
ɣ̊	ɣ̊	0.271
ˈeː	n	0.252
z̥	z_ə	0.221
v	w	0.212
ˈaː	-	0.205
ˈɔ	ˈʊ	0.203
ˈɪ	ˈʏ	0.2
ˈiː	ˈɪ	0.195
ˈiː	ˈɔʏ̯	0.195
ɡ̊	j	0.19
a	-	0.19
d̥	t	0.177
ˈɛ	ˈœ	0.17
ˈɔ	ˈoː	0.162
ˈaɪ̯	ˈʏ	0.162
n	ə	0.157
ˈʊ	-	0.156
ˈʊ	ˈɔ	0.151
ŋ	n	0.142
ˈaː	ˈɛɪ̯_n	0.137
ˈoː	ˈɛː	0.136
ˈoː	ˈa	0.136
s	t_ə	0.131
ˈɛ	-	0.123
ˈɛ	ˈɛː	0.119
ˈaɪ̯	-	0.118
ŋ	ɡ_n	0.111
ˈiː	ˈeː	0.11
ˈiː	-	0.105
ˈʊ	ˈoː	0.102
ˈɛ	ˈa	0.102
ˈɒ	ˈɒː	0.102
ˈɛ	ˈeː	0.097
ˈuː	ˈuː	0.086
ˈuː	-	0.086
ˈoː	ˈaː	0.085
f	-	0.083
ˈɒ	-	0.081
ˈuː	ˈoː	0.08
ˈaɪ̯	ˈɪ	0.08
ˈɒ	ˈɔ	0.078
ˈaɪ̯	ˈyː	0.071
ɡ̊	-	0.066
b̥	v̥	0.06
m	v_n	0.059
ˈɪ	ˈɛ	0.053
l	l_ə	0.052
