Dutch	Old Frisian	probability
χ_ə	j	1.0
ˈʏ	ˈe	1.0
ˈɔ_ɾ	r	1.0
ˈɔ_n	ˈuː	1.0
ˈɑu̯	ˈa_l	1.0
ˈɑ_n	ˈoː	1.0
ˈœy̯	ˈuː	1.0
ˈøː	ˈa	1.0
ˈyː	ˈi̯uː	1.0
ʋ	w	1.0
ɾ_χ	r_x	1.0
ɾ_t	r_t	1.0
ɾ_d̥	r_d	1.0
ɾ	r	1.0
ɪ	i	1.0
ɦ_ˈaː	h_ˈa	1.0
ɦ	h	1.0
ə_χ	ə_x	1.0
z̥	z	1.0
w	-	1.0
s_χ	s_k	1.0
n_t	n_t	1.0
j	j	1.0
i	iː	1.0
ɫ	l	0.98
p	p	0.964
b	b	0.96
t	t	0.947
m	m	0.947
n	n	0.91
ə_n	ə	0.889
ˈɪ	ˈi	0.858
ˈɛ	ˈe	0.84
ŋ	ŋ_ɡ	0.834
k	k	0.83
z	s	0.829
v	f	0.818
v̥	f	0.777
d̥	d	0.772
s	s	0.71
ˈɛi̯	ˈiː	0.687
ˈi	ˈi̯aː	0.684
ə	ə	0.669
ˈu	ˈoː	0.631
ˈɔ	ˈu	0.6
d	d	0.58
ˈaː	ˈeː	0.504
ˈɑ	ˈa	0.469
ˈɔ	ˈo	0.4
ˈoː	ˈaː	0.372
ˈu	ˈeː	0.369
ˈeː	ˈɛː	0.362
d	θ	0.35
ˈeː	ˈe	0.333
χ	ɣ	0.289
χ	x	0.271
ˈɑ	ˈɔː	0.271
ˈɑ	ˈe	0.261
χ	j	0.229
d̥	θ	0.228
v̥	v	0.223
s	s_k	0.205
ˈoː	ˈɔː	0.196
v	v	0.182
ˈaː	ˈɔː	0.175
ŋ	ŋ	0.166
ˈɛ	ˈi	0.16
ˈaː	ˈe	0.156
ə	-	0.147
χ	ɡː	0.144
ˈɪ	-	0.142
ˈɛi̯	ˈɛː	0.141
ˈeː	ˈaː	0.14
ˈi	ˈeː	0.129
ə	a	0.129
ˈoː	ˈu	0.123
ˈeː	ˈi	0.114
ˈi	-	0.112
ˈaː	ˈaː	0.112
ə_n	j_ə	0.111
ˈoː	ˈo	0.106
k	ʦ	0.105
z	-	0.104
ˈoː	ˈɛː	0.102
ˈoː	-	0.1
n	nː	0.09
ˈɛi̯	ˈeː	0.087
ˈɛi̯	ˈi	0.086
s	k	0.085
ˈi	ˈiː	0.075
χ	ʣ	0.068
z	s_w	0.067
k	-	0.065
ə	e	0.055
t	tː	0.053
m	mː	0.053
ˈaː	ˈa	0.052
ˈeː	ˈi̯uː	0.051
