Sichuanese	Xiang	probability
⁵⁵	³³	1.0
⁵³	⁴¹	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ_w	ʨʰ	1.0
ʦ	ʦ	1.0
ɛ_n	ẽ	1.0
ɛ	ɤ	1.0
ɚ	ɤ	1.0
ə	ə	1.0
ɕ	ɕ	1.0
z̩	z̩	1.0
z	ʐ	1.0
y	y	1.0
x_w	ɸ	1.0
x	x	1.0
v_u	u	1.0
t	t	1.0
s	s	1.0
pʰ	p	1.0
p	p	1.0
nʲ	nʲ	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
i	i	1.0
f	ɸ	1.0
e	e	1.0
a_²¹	a_²⁴	1.0
a_n	ẽ	1.0
w	w	0.929
j	j	0.92
ŋ	n	0.81
n	n	0.711
a	a	0.711
ʦʰ	ʦʰ	0.667
tʰ	tʰ	0.667
²¹	¹³	0.608
o	ə	0.533
ɥ	ɥ	0.5
ɥ	j	0.5
²¹³	²¹	0.48
o	o	0.467
²¹³	⁴⁵	0.44
²¹	²⁴	0.392
u	u	0.364
ʦʰ	ʦ	0.333
tʰ	t	0.333
u	ə_w	0.273
a	ɒ	0.2
ŋ	ŋ	0.19
n	l	0.184
u	y	0.182
u	o	0.182
a	-	0.089
²¹³	-	0.08
j	-	0.08
w	-	0.071
n	l̃	0.053
n	-	0.053
