Afrikaans	East Franconian	probability
χ_t	x_d̥	1.0
ˈʊə̯_r	ˈɔ	1.0
ˈɪø̯	ˈoː	1.0
ˈœu̯	ˈɒ_l	1.0
ˈyː	ˈaɪ̯	1.0
ˈoː	ˈuː	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_r	ɐ	1.0
w	-	1.0
v̥	f	1.0
v	v	1.0
s_ə	z̥	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
n_s	n_ʃ	1.0
n_d	n	1.0
m	m	1.0
j	j	1.0
i	eː	1.0
d_ˈɔ	d̥_ˈɔ	1.0
d_ə	ɾ	1.0
d	d̥	1.0
b	b̥	1.0
d̥	d̥	0.949
ˈə	ˈɪ	0.829
ˈi	ˈiː	0.821
ˈu	ˈuː	0.776
n	n	0.763
ˈœɪ̯	ˈaʊ̯	0.749
ˈa	ˈɒ	0.674
ˈæː	ˈɛ	0.667
ˈɔ	ˈʊ	0.661
ˈɛ	ˈɛ	0.643
t	ʦ	0.634
ˈœ	ˈɪ	0.63
ˈəɪ̯	ˈaɪ̯	0.604
p	b̥͡v̥	0.588
ə	-	0.566
r	ɐ	0.564
χ	ɡ̊	0.558
ˈæ	ˈɛ	0.557
ˈɑː	ˈoː	0.552
s	s	0.501
k	kʰ	0.495
ŋ	ŋ	0.454
ˈæ	-	0.443
s	ʃ	0.398
ˈœ	ˈʊ	0.37
ˈɪə̯	ˈeː	0.368
ˈɛ	ˈɪ	0.357
ˈʊə̯	ˈuː	0.338
r	r	0.335
ˈæː	ˈa	0.333
ə	ɐ	0.306
ˈəɪ̯	ˈaː	0.288
ˈɔ	ˈɔ	0.268
ˈɪə̯	ˈɛ	0.264
ˈœɪ̯	ˈaɪ̯	0.251
ˈʊə̯	ˈaː	0.243
ŋ	ŋ_a	0.242
ˈɪə̯	ˈaː	0.224
ˈu	ˈiː	0.224
t	z̥	0.21
p	f	0.208
p	v̥	0.205
ˈʊə̯	ˈeː	0.197
ˈa	ˈoː	0.184
ŋ	n	0.183
ˈi	ˈaɪ̯	0.179
k	ç	0.178
ˈɑː	ˈɒ	0.176
n	n_a	0.172
ˈɑː	ˈɛ	0.171
t	d̥	0.156
χ	ɣ̊	0.15
ˈɪə̯	-	0.144
ə	ɪ	0.128
k	ɡ̊	0.127
χ	ŋ	0.126
ŋ	ç	0.121
ˈʊə̯	ˈɔ	0.12
ˈəɪ̯	ˈɪ_m	0.108
ˈə	ˈiː	0.106
k	x	0.103
ˈʊə̯	-	0.102
k	-	0.098
ˈa	ˈɛ	0.083
ˈɑː	ˈɛː	0.076
s	ɡ̊_s	0.075
ˈɔ	-	0.071
χ	ç	0.068
χ	x_d̥	0.068
ˈə	ˈaɪ̯	0.065
n	ŋ	0.065
ˈa	ˈɔ	0.058
r	ɾ_ɐ	0.056
d̥	-	0.051
