Scots	Dutch	probability
b	b	1.0
h	ɦ	1.0
i	ə_χ	1.0
kʰ	k	1.0
pʰ	p	1.0
tʰ	t	1.0
w	ʋ	1.0
x	χ	1.0
z	z	1.0
ç	χ	1.0
ŋ	ŋ	1.0
ɡ	χ	1.0
ʍ	ʋ	1.0
ʧ	k	1.0
v	f	0.321
ˈa	ˈaː	0.061
ˈo	ˈɔ	0.381
ˈu	ˈɔ	0.241
ˈuː	ˈɔ	0.191
ˈɛ	ˈɛi̯	0.071
d	d_ə	0.2
f	v	0.802
m	m_ə	0.092
s	s	0.422
ð	-	0.302
ə	-	0.112
ə	ə	0.862
ˈeː	ˈaː	0.42
ˈi	ˈu	0.242
ˈɛ	ˈeː	0.222
ˈɪ	-	0.052
ˈʌ	ˈaː	0.052
θ	d	0.642
l	ɫ	0.93
n	n	0.973
r	-	0.053
r	ɾ	0.873
ʃ	s_χ	0.73
ˈa	n_#>	0.343
ˈeː	ˈaː_n	0.053
ˈeː	ˈɛ	0.223
ˈiː	ˈi_χ	0.13
ˈɛ	ˈɛ	0.323
ˈɛ	ˈɑ	0.383
d	d	0.344
j	-	0.504
k	k_ə	0.14
p	p	0.604
t	t_ə	0.234
ˈe	ˈeː	0.534
ˈi	ˈaː	0.174
ˈø	ˈu	0.774
ˈɑː	ˈɑ_ɫ	0.174
ˈəi̯	ˈœy̯	0.094
ˈɪ	ˈɛ	0.074
s	z	0.545
ˈi	ˈi	0.215
ˈiː	ˈoː	0.215
ˈɪ	ˈoː	0.165
d	d̥	0.456
j	j	0.496
k	k	0.86
p	p_ə	0.396
t	t	0.766
ˈa	ˈɛ	0.096
ˈa	ˈɑ	0.436
ˈeː	ˈeː	0.176
ˈi	ˈeː	0.06
ˈø	ˈɑ_n	0.226
ˈəi̯	ˈɛi̯	0.906
ʃ	s	0.27
ˈe	ˈɑ	0.057
ˈɪ	ˈɪ	0.527
f	v̥	0.198
m	m	0.908
ð	d	0.698
ˈe	ˈoː	0.128
ˈe	ˈaː	0.28
ˈeː	ˈɑ	0.128
ˈiː	ˈeː	0.108
ˈiː	ˈaː	0.128
ˈɑː	ˈɑ	0.8
ˈʌ	ˈɔ	0.948
θ	d̥	0.358
v	v	0.679
ˈi	ˈoː	0.309
ˈiː	ˈɛi̯	0.189
ˈiː	ˈi	0.229
ˈo	ˈoː	0.619
ˈu	ˈœy̯	0.759
ˈuː	ˈœy̯	0.809
ˈɪ	ˈʏ	0.079
