Scots	Dutch	probability
b	b	1.0
d	d	0.517
d	t	0.455
e	-	0.594
e	ə	0.392
f	v	0.821
f	f	0.17
h	ɦ	0.963
h	-	0.051
i	ə	0.27
j	j	0.334
j	ˈi	0.253
j	χ	0.174
j	ˈaː	0.164
k	k	1.0
k_s	s	1.0
kʰ	k	1.0
l	ɫ	0.857
l	l	0.14
l_d	t	1.0
m	m	1.0
n	n	0.977
p	p	1.0
pʰ	p	1.0
r	ɾ	0.932
r	-	0.041
s	z	0.457
s	s	0.44
s	n_s	0.074
t	t	1.0
tʰ	t	1.0
v	v	0.562
v	f	0.416
w	ʋ	0.947
w	-	0.059
x	χ	1.0
z	z	0.667
z	s	0.333
ç	χ	1.0
ð	d	0.614
ð	-	0.382
ŋ	ŋ	1.0
ə	ə	0.749
ə	-	0.196
ə	ˈɛ	0.05
əi̯	ə	0.623
əi̯	ɪ	0.349
ɡ	χ	0.788
ɡ	-	0.199
ɪ	ˈaː	0.269
ɪ	-	0.234
ɪ	ə	0.234
ɫ	ɫ	1.0
ɹ	ˈɛi̯	1.0
ʃ	s_χ	0.622
ʃ	s	0.371
ʍ	ʋ	1.0
ʧ	k	1.0
ˈa	ˈaː	0.519
ˈaːɪ̯	ˈɛi̯	0.574
ˈaːɪ̯	ˈœy̯	0.298
ˈe	ˈeː	0.227
ˈe	ˈaː	0.216
ˈe	ˈoː	0.138
ˈe	ˈɑ	0.138
ˈe	ˈɛi̯	0.094
ˈei̯	ˈoː	0.512
ˈei̯	ˈeː	0.237
ˈei̯	ˈyː	0.059
ˈei̯	ˈɑ	0.059
ˈei̯	ə	0.057
ˈeː	ˈɛ	0.309
ˈeː	ˈaː	0.221
ˈeː	ˈɑ	0.221
ˈi	ˈu	0.263
ˈi	ˈɛ	0.263
ˈi	ˈeː	0.157
ˈi	ˈoː	0.157
ˈi	ˈi	0.074
ˈiː	ˈi	0.277
ˈiː	ˈaː	0.183
ˈiː	ˈɛi̯	0.169
ˈiː	ˈoː	0.143
ˈiː	ˈu	0.1
ˈoe̯	ˈɛ	1.0
ˈø	ˈu	0.674
ˈø	ˈɑ	0.223
ˈø	ˈaː	0.084
ˈɑ	ˈɑ	0.603
ˈɑ	ˈaː	0.2
ˈɑ	ˈɛ	0.101
ˈɑ	ˈɛi̯	0.08
ˈɑː	ˈɑ	0.33
ˈɑː	ˈɑu̯	0.245
ˈɑː	ˈɑ_ɫ	0.131
ˈɑː	w	0.096
ˈɑː	ˈeː	0.096
ˈɔ	ˈɔ	0.576
ˈɔ	ˈoː	0.345
ˈɔ	ˈøː	0.074
ˈəi̯	ˈɛi̯	0.483
ˈəi̯	ˈɪ	0.141
ˈəi̯	ˈeː	0.093
ˈəi̯	ˈoː	0.093
ˈəi̯	ˈyː	0.077
ˈɛ	ˈeː	0.212
ˈɛ	ˈɛ	0.195
ˈɛ	ˈɑ	0.174
ˈɛ	ˈi	0.148
ˈɛ	ˈɛi̯	0.092
ˈɪ	ˈɪ	0.399
ˈɪ	ˈu	0.135
ˈɪ	ˈɑ	0.122
ˈɪ	ˈʏ	0.09
ˈɪ	ˈɛ	0.076
ˈɪ_r	ɾ	0.519
ˈʉ	ˈœy̯	0.484
ˈʉ	ˈɔ	0.296
ˈʉ	w	0.088
ˈʉ	ˈu	0.075
ˈʉ	ˈoː	0.062
ˈʌ	ˈɔ	0.683
ˈʌ	ˈoː	0.181
ˈʌ	ˈɛ	0.124
ˈʌʉ̯	ˈɑu̯	0.208
ˈʌʉ̯	ˈoː	0.135
ˈʌʉ̯	ˈi	0.124
ˈʌʉ̯	ˈɔ	0.124
θ	d	0.628
θ	t	0.166
θ	n_t	0.103
θ	-	0.081
