Italian	Walloon	probability
b	b	1.0
kː	-	1.0
mː	m	1.0
rː	ʀ	1.0
s	s	1.0
z	-	1.0
ʎː	-	1.0
ʤː	-	1.0
ʦː	-	1.0
a	-	0.241
d	-	0.561
e	ɛ	0.131
o	ˈu	0.141
o	ɔ	0.191
r	-	0.531
u	-	0.371
v	v	0.711
w	-	0.151
ɡ	-	0.561
ˈa	ˈɛ	0.061
ˈo	ˈuː	0.061
ˈɛ	ˈe	0.071
ˈɛ	ˈiː	0.241
k	k	0.332
m	m	0.632
n	n	0.402
o	j_ˈa	0.072
t	t	0.432
v	f	0.212
ʧː	s	0.112
ˈi	ˈɛ	0.412
ˈu	ˈu	0.082
ˈu	ˈy	0.422
ˈɛ	ˈi	0.12
a	j	0.573
f	f	0.943
sː	ʃ	0.493
tː	t	0.403
ʤ	ʤ	0.933
ʧ	s	0.793
ˈe	w_ˈɛ	0.053
ˈe	w_ˈɛː	0.103
ˈi	ˈiː	0.363
ˈo	ˈɔ	0.713
e	ˈe	0.414
k	ʧ	0.304
k	-	0.364
lː	-	0.794
ŋ	ˈẽ	0.064
ʧ	-	0.184
ˈa	-	0.184
ˈe	w	0.314
ˈe	ˈɛ	0.364
ˈɔ	ɔ	0.064
ˈɔ	ˈɔ	0.084
ˈɛ	j_ˈɛ	0.24
e	-	0.295
i	i	0.095
i	-	0.905
j	l	0.385
l	ˈoː	0.095
r	ʀ	0.435
ˈa	ˈɛ̃	0.205
ˈi	ˈi	0.225
a	a	0.126
e	ˈɛ	0.076
lː	j	0.206
ŋ	-	0.936
ˈa	ˈa	0.196
ˈe	ˈøː	0.056
ˈe	ˈɛ̃	0.066
ˈo	-	0.076
ˈɔ	ˈuː	0.16
ˈɔ	w_ˈa	0.456
f	f_w	0.057
j	-	0.557
l	-	0.217
o	ˈa	0.537
sː	-	0.507
tː	-	0.597
ʤ	-	0.067
ʧː	-	0.847
ˈa	ˈiː	0.177
ˈu	ˈøː	0.177
j	j	0.058
l	l	0.688
m	-	0.368
n	-	0.598
p	v	0.078
p	f	0.078
p	p	0.838
t	-	0.568
v	-	0.078
ɡ	k	0.08
ɡ	ɡ	0.358
ˈa	ˈɔː	0.068
ˈɛ	ˈɛ	0.328
d	d	0.419
e	j	0.079
o	-	0.059
u	uː	0.629
w	w	0.849
ˈo	ˈøː	0.119
ˈu	ˈɔ	0.319
ˈɔ	ˈoː	0.159
