Icelandic	Middle High German	probability
ˈɛi̯	ˈei̯	1.0
ˈɛ_ʰt	ɛ	1.0
ˈɑu̯	ˈɑ	1.0
ˈœː	-	1.0
ˈœ	ˈɑ	1.0
ˈu	ˈu	1.0
ˈou̯	ˈo	1.0
ˈaːu̯	-	1.0
ˈaːi̯	ˈyə̯	1.0
ˈaː	ˈɑ	1.0
ˈau̯	-	1.0
ʰt͡n̥	s̻ː	1.0
ʰp	-	1.0
ʰc	kː	1.0
ʏ_r̥	ə	1.0
ɲ	ŋ	1.0
ɪ_r̥	ə_r	1.0
ɣ_ʏ	ɡ̊	1.0
ɣ	ɡ	1.0
ɡ̊ː	-	1.0
ɡ̊_ʏ	ɡ̊	1.0
ɟ̊ː	-	1.0
ɟ̊	ɡ	1.0
ɑu̯	ə	1.0
ð_ʏ	d̥	1.0
ð_j	tː	1.0
ç	h	1.0
x	x	1.0
v_ˈɪː	w	1.0
v_ʏ	b̥	1.0
t͡n̥	n	1.0
tʰ	ʦ	1.0
s_ˈa	s_ˈɑ	1.0
s_c	ʃ	1.0
r̥	r	1.0
r_ˈai̯	r	1.0
r_t͡n̥	r_n	1.0
r	r	1.0
pʰ	p͡f	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ_v	w	1.0
kʰ	kʰ	1.0
j_ˈɛː	ˈi	1.0
j_ˈœ	ˈɛ	1.0
j_ˈuː	ˈiə̯	1.0
h	h	1.0
f	v	1.0
d̥_ʏ	d̥	1.0
cʰ	kʰ	1.0
b̥	b	1.0
aːu̯	h_ə	1.0
ʏ	ə	0.949
θ	d	0.891
n	n	0.873
ɡ̊	ɡ	0.839
ŋ	ŋ	0.787
ʰt	x_t	0.784
ˈi	ˈi	0.783
s_k	ʃː	0.77
t͡l̥	l	0.755
ˈuː	ˈuː	0.696
ˈoːu̯	ˈuə̯	0.687
s	s	0.682
ˈʏː	-	0.667
ˈa	ˈɑ	0.659
k	x	0.652
s_t	s_t	0.648
a	ə_n	0.64
ɪ	-	0.627
j_ˈoːu̯	ˈiə̯	0.62
ˈɪ	ˈi	0.618
ˈɑːu̯	ˈɑː	0.615
ð	t	0.603
ˈɪː	ˈi	0.596
ˈɔ	ˈo	0.594
ˈɔu̯	-	0.593
t	s̻	0.577
ˈɛːi̯	ˈei̯	0.544
v	w	0.527
n̥	n	0.511
ˈɔː	ˈu	0.5
ˈɔː	-	0.5
ʰk	ŋ_k	0.5
ʰk	-	0.5
d̥	t	0.5
d̥	d̥	0.5
c	xː	0.5
c	-	0.5
ˈɛ	ˈɛ	0.49
n̥	kʰ_n	0.489
j	-	0.467
ˈiː	ˈiː	0.464
ˈœːy̯	ˈoː	0.456
nː	nː	0.439
ˈœːy̯	ˈou̯	0.431
p	f	0.429
ˈɔu̯	x	0.407
ˈɔ	ˈu	0.406
ˈɪː	-	0.404
ˈʏ	ˈu	0.39
v	b	0.382
j_ˈoːu̯	ˈeː	0.38
ˈɛː	ˈɛ	0.376
ɪ	ə	0.373
a	ə	0.36
ˈɛː	r	0.353
s_t	ʃ_t	0.352
k	xː	0.348
ˈa	-	0.341
p	-	0.339
ˈʏː	ˈo	0.333
ˈɛːi̯	-	0.332
nː	n	0.316
ˈoːu̯	ˈu	0.313
j	ˈɛ	0.306
ˈuː	ɡ	0.304
ˈʏ	ˈy	0.295
ð	-	0.273
ˈɛː	ˈi	0.271
ˈiː	-	0.254
t͡l̥	lː	0.245
nː	n_d	0.245
ˈɪ	ˈy	0.242
t	s̻ː	0.234
s	ʃ	0.231
s_k	ʃ	0.23
ˈiː	ˈyː	0.224
ˈɑːu̯	-	0.22
ˈi	-	0.217
ʰt	t	0.216
ŋ	-	0.213
ˈʏ	ˈo	0.211
ˈɛ	-	0.205
ˈɛ	ˈɑ	0.172
ˈɑːu̯	ɑː	0.165
ɡ̊	ɡ̊	0.161
p	fː	0.156
ˈɪ	ˈo	0.141
j	ˈiə̯	0.135
ˈɛ	ˈe	0.133
n	-	0.127
ˈɛːi̯	ˈøː	0.124
ð	d̥	0.124
ˈœːy̯	ou̯	0.113
θ	-	0.109
ˈʏ	ˈuː	0.104
t	t	0.096
t	ʦ	0.093
j	ˈi	0.092
v	-	0.091
s	t	0.087
p	p	0.076
ˈiː	n	0.058
ʏ	oː	0.051
