Proto-Germanic	German	probability
b	b	0.869
b	-	0.129
d	tʰ	0.704
d	t	0.221
d	ʦ	0.06
d	d	0.034
d_ɑ	t	1.0
e	ɐ	0.326
e	ə	0.326
i	-	0.797
i	ɪ	0.104
i	ɐ	0.088
i_z	ə	1.0
iː	-	1.0
j	-	0.86
j	j	0.091
j	ˈɔʏ̯	0.044
j_ɑ	ə	1.0
j_ɔː	ə	1.0
j_ɔ̃ː	ə	0.494
jː	ˈaɪ̯	0.494
k	kʰ	0.476
k	k	0.207
k	ç	0.177
k	x	0.073
k	h	0.056
kʷ	k	0.494
l	l	0.928
l	n	0.07
l_i	l	1.0
l_u	l	1.0
l_ɑ	l	1.0
lː	l	1.0
m	m	0.924
m	n	0.071
m_i	m	0.494
mː	m	0.494
n	n	0.939
n	-	0.037
n_x	ŋ	1.0
nː	n	1.0
p	f	0.618
p	p͡f	0.239
p_ɑ	f	1.0
p_ɑ̃	f	1.0
pː	p	0.574
pː	p͡f	0.284
r	ʁ	0.429
r	ɐ	0.362
r	-	0.204
r_i	ɐ	1.0
r_u	ɐ	1.0
r_ɑ	ɐ	0.494
r_ɑ̃	ɐ	1.0
s	z	0.31
s	ʃ	0.266
s	s	0.196
s	-	0.18
s_k	ʃ	1.0
s_ɑ̃	s	1.0
sː	s	0.494
t	t	0.384
t	s	0.32
t	ʦ	0.273
u	-	0.75
u	ə	0.239
w	v	0.671
w	-	0.295
w	l	0.033
wː	ˈɔʏ̯	0.244
x	h	0.605
x	x	0.153
x	ç	0.114
x	k	0.042
x	-	0.032
x_l	l	1.0
x_r	ʁ	1.0
xʷ	v	0.715
xʷ	-	0.28
z	-	0.963
ð	t	0.801
ð	-	0.193
ð_i	t	1.0
ð_ɑ	t	1.0
ð_ɑ̃	t	1.0
ŋ	ŋ	0.837
ŋ	-	0.156
ɑ	-	0.745
ɑ	ə	0.21
ɑ	ɪ	0.043
ɑ_l	l	1.0
ɑi̯	ˈa	1.0
ɑː	ə	0.121
ɑ̃	-	0.968
ɑ̃	ə	0.035
ɔː	ə	0.432
ɔː	ɐ	0.416
ɔː	-	0.12
ɔːu̯	-	1.0
ɔːː	ə	0.573
ɔːː	-	0.223
ɔːː	ɐ	0.194
ɔ̃ː	ə	0.785
ɔ̃ː	-	0.136
ɔ̃ː	ˈaʊ̯	0.07
ɛː	ɐ	1.0
ɡ	-	0.79
ɡ	ç	0.202
ɡʷ	-	0.121
ɣ	ɡ	0.699
ɣ	k	0.126
ɣ	ç	0.075
ɣ	-	0.049
ɣ	x	0.043
ɣ_ɑ	k	1.0
ɸ	f	1.0
ˈe	ˈɛ	0.422
ˈe	ˈeː	0.235
ˈe	ˈɪ	0.142
ˈe	ˈiː	0.077
ˈe	ˈɛː	0.041
ˈeu̯	ˈiː	0.718
ˈeu̯	ˈɪ	0.165
ˈeu̯	ˈʊ	0.109
ˈeː	ˈiː	0.494
ˈi	ˈɪ	0.75
ˈi	-	0.06
ˈi	ˈiː	0.06
ˈi	ˈaɪ̯	0.06
ˈi	ˈʏ	0.045
ˈiu̯	ˈɔʏ̯	1.0
ˈiː	ˈaɪ̯	0.907
ˈiː	ˈiː	0.087
ˈĩː	ˈaɪ̯	1.0
ˈu	ˈɔ	0.375
ˈu	ˈʊ	0.215
ˈu	ˈʏ	0.126
ˈu	ˈoː	0.115
ˈu	ˈaʊ̯	0.055
ˈuː	ˈaʊ̯	0.647
ˈuː	ˈuː	0.186
ˈuː	ˈʊ	0.084
ˈuː	ˈɔʏ̯	0.075
ˈɑ	ˈa	0.603
ˈɑ	ˈaː	0.224
ˈɑ	ˈɛ	0.106
ˈɑ	-	0.035
ˈɑ_x	ˈɛː	1.0
ˈɑi̯	ˈaɪ̯	0.632
ˈɑi̯	ˈeː	0.238
ˈɑi̯	ˈɛ	0.071
ˈɑi̯	ˈoː	0.058
ˈɑu̯	ˈaʊ̯	0.376
ˈɑu̯	ˈoː	0.333
ˈɑu̯	ˈøː	0.118
ˈɑu̯	ˈɔ	0.086
ˈɑu̯	ˈɔɪ̯	0.056
ˈɔ	ˈyː	0.121
ˈɔː	ˈuː	0.563
ˈɔː	ˈyː	0.214
ˈɔː	ˈʊ	0.091
ˈɔː	ˈɔʏ̯	0.073
ˈɔː	ˈɛ	0.057
ˈɛː	ˈaː	0.742
ˈɛː	ˈoː	0.167
ˈɛː	ˈa	0.074
β	b	0.761
β	p͡f	0.108
β	p	0.105
β_ɑ	p	0.494
β_ɑ̃	p	1.0
θ	d	0.78
θ	-	0.086
θ	t	0.075
θ	tʰ	0.05
θ_ɑ	t	1.0
θ_ɑ̃	t	1.0
