Gascon	Gascon	probability
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_j	ˈa	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈi	ˈi	1.0
ˈa_#>	ˈa_r_#>	1.0
ʦ_#>	s_#>	1.0
ʤ	ɡ	1.0
ʎ_ɔ	a	1.0
ʃ	s	1.0
ɾ_ɔ	l_a	1.0
ɣ	ɡ	1.0
ɡ_l	ʤ	1.0
ɔ_#>	#>	1.0
ɔ	a	1.0
ŋ_#>	n_#>	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	z	1.0
y	u	1.0
w_ˈe	ˈɔ	1.0
w_r	r_o	1.0
w_#>	l_#>	1.0
t_#>	l_#>	1.0
s_#>	#>	1.0
r_ˈa	r_ˈa	1.0
r	r	1.0
n_#>	ŋ_t_#>	1.0
lː	z	1.0
k_l	ʧ	1.0
k_a	k_a	1.0
j_ˈe	ˈɛ	1.0
j_t	t	1.0
j_r	r_e	1.0
j	-	1.0
h	f	1.0
d	d	1.0
a	a	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_r	<#_r	1.0
<#_a	<#	1.0
t	t	0.923
ɾ	r	0.917
p	p	0.913
k	k	0.889
m	m	0.87
ˈa	ˈa	0.868
ˈu	ˈo	0.852
u	o	0.818
<#_ɡ	<#_ɡ	0.75
n	n	0.733
ʒ	ð	0.714
ˈe	ˈe	0.692
ˈɛ	ˈɛ	0.684
s	s	0.683
ˈɔ	ˈɔ	0.667
ˈy	ˈu	0.667
l	j	0.667
ʎ	ʧ	0.625
β	v	0.615
ɲ	ɲ	0.6
i	i	0.6
#>	o_#>	0.516
b	v	0.5
b	b	0.5
ɲ	ŋ	0.4
i	-	0.4
ʎ	j	0.375
ˈɔ	ˈo	0.333
ˈy	ˈo	0.333
l	l	0.333
s	θ	0.317
ˈɛ	j_ˈe	0.316
ʒ	-	0.286
n	ŋ	0.267
#>	r_#>	0.258
<#_ɡ	<#	0.25
e	e_r	0.244
e	e	0.244
e	-	0.244
β	-	0.231
u	o_l	0.182
w	w	0.158
w	o	0.158
w	-	0.158
β	b	0.154
ˈe	ˈɛ	0.154
m	ŋ	0.13
e	o	0.122
k	ɡ_o	0.111
w	ˈɔ	0.105
w	ˈo	0.105
w	v_o	0.105
w	v	0.105
w	l	0.105
#>	a_#>	0.097
p	-	0.087
ɾ	-	0.083
ˈa	-	0.079
ˈe	ˈo	0.077
ˈe	-	0.077
t	θ	0.077
ˈu	ˈɔ	0.074
ˈu	ˈu	0.074
#>	n_#>	0.065
#>	l_#>	0.065
ˈa	ˈɔ	0.053
