Old Norse	German	probability
a	n	0.467
a	ə	0.342
a	ˈaʊ̯	0.124
a	-	0.067
b	b	0.921
b	m	0.059
c	ʃ	0.708
c	k	0.155
c	x	0.136
cʰ	kʰ	1.0
cː	k	1.0
d	tʰ	0.456
d	t	0.454
d	d	0.063
f	f	0.923
f	p	0.077
h	h	1.0
i	ɐ	0.526
i	-	0.302
i	ə	0.162
j	ˈiː	0.306
j	-	0.306
j	ˈeː	0.205
j	ˈɛ	0.173
k	ç	0.525
k	x	0.211
k	-	0.135
k	k	0.069
k	ʃ	0.06
kʰ	kʰ	0.825
kʰ	ʁ	0.175
kː	k	0.716
kː	ŋ_k	0.284
l	l	0.984
lː	l	1.0
l̥	l	1.0
m	m	1.0
mː	f	0.5
mː	m	0.5
n	n	0.911
n	-	0.071
nː	n	0.79
nː	-	0.135
nː	t	0.075
p	f	0.929
p	p͡f	0.071
pː	f	1.0
r	-	0.621
r	ɐ	0.238
r	ʁ	0.141
rː	ɐ	1.0
r̥	ʁ	1.0
s	z	0.414
s	ʃ	0.274
s	s	0.158
s	-	0.131
sː	s	1.0
t	s	0.64
t	t	0.2
t	ʦ	0.16
tʰ	ʦ	0.948
tʰ	b	0.052
tː	ç	0.525
tː	x	0.423
tː	ʦ	0.052
u	ɪ	0.41
u	n	0.306
u	ə	0.132
u	-	0.08
u	ˈɔʏ̯	0.072
v	v	0.488
v	b	0.256
v	f	0.089
v	p	0.078
v	z	0.051
w	-	1.0
x	v	1.0
ç	h	1.0
ð	t	0.835
ð	d	0.089
ð	-	0.077
ŋ	ŋ	0.866
ŋ	-	0.134
ɑ	ə	0.646
ɑ	n	0.245
ɑ	-	0.051
ɑː	eː	1.0
ɟ	ɡ	0.954
ɟː	k	1.0
ɡ	ɡ	0.448
ɡ	-	0.38
ɡ	ç	0.172
ɡː	k	0.604
ɡː	-	0.396
ɣ	k	0.482
ɣ	ɡ	0.359
ɣ	ç	0.159
ʝː	ɡ	1.0
ʦ	t	1.0
ˈa	ˈa	1.0
ˈe	ˈeː	0.277
ˈe	ˈaː	0.26
ˈe	ˈɛ	0.228
ˈe	ˈɪ	0.206
ˈeː	ˈiː	0.806
ˈeː	ˈɛ	0.098
ˈeː	ˈaɪ̯	0.06
ˈi	ˈɪ	0.853
ˈi	ˈʏ	0.08
ˈiː	ˈaɪ̯	0.824
ˈiː	ˈeː	0.107
ˈo	ˈɔ	0.464
ˈo	ˈʊ	0.223
ˈo	ˈoː	0.153
ˈo	ˈøː	0.085
ˈoː	-	0.492
ˈoː	ˈuː	0.277
ˈoː	ˈɪ	0.094
ˈoː	ˈiː	0.053
ˈu	ˈʊ	0.512
ˈu	ˈʏ	0.119
ˈu	ˈœ	0.078
ˈu	ˈoː	0.058
ˈu	ˈaʊ̯	0.055
ˈu	ˈɔ	0.054
ˈuː	ˈaʊ̯	0.467
ˈuː	-	0.443
ˈuː	ˈuː	0.064
ˈy	ˈɔ	0.33
ˈy	ˈʏ	0.268
ˈy	ˈɪ	0.198
ˈy	ˈyː	0.135
ˈy	ˈɛ	0.07
ˈyː	ˈɔʏ̯	0.425
ˈyː	ˈiː	0.212
ˈyː	ˈuː	0.203
ˈyː	ˈaʊ̯	0.083
ˈyː	ə	0.061
ˈøy̯	ˈɔʏ̯	0.532
ˈøy̯	ˈøː	0.276
ˈøy̯	ˈoː	0.107
ˈøy̯	ˈaʊ̯	0.086
ˈøː	ˈyː	0.401
ˈøː	ˈuː	0.277
ˈøː	ˈɛ	0.253
ˈøː	ˈʏ	0.068
ˈɑ	ˈa	0.651
ˈɑ	ˈaː	0.141
ˈɑ	-	0.084
ˈɑ	ˈɛ	0.054
ˈɑ	ˈeː	0.053
ˈɑu̯	ˈaʊ̯	0.653
ˈɑu̯	ˈoː	0.302
ˈɑː	ˈoː	0.3
ˈɑː	ˈaː	0.205
ˈɑː	ˈa	0.168
ˈɑː	ˈɛː	0.151
ˈɑː	j	0.064
ˈɑː	ə	0.058
ˈɑː	ˈeː	0.053
ˈɒu̯	ˈʊ	0.767
ˈɒu̯	ˈøː	0.197
ˈɔ	-	0.433
ˈɔ	ˈɛː	0.174
ˈɔ	ˈa	0.126
ˈɔ	ˈaː	0.116
ˈɔ	ˈɪ	0.108
ˈɔː	ˈuː	1.0
ˈɛ	ˈɛ	0.442
ˈɛ	ˈɔʏ̯	0.209
ˈɛ	ˈa	0.149
ˈɛ	ˈaɪ̯	0.138
ˈɛ	ˈaː	0.062
ˈɛi̯	ˈaɪ̯	1.0
ˈɛː	-	0.624
ˈɛː	ˈeː	0.31
ˈɛː	ˈa	0.066
θ	d	0.978
