Gascon	Asturian	probability
i	e	1.0
m	m	1.0
ɣ	ɣ	1.0
ɲ	ɲ	1.0
ʃ	-	1.0
ʒ	ʃ	1.0
ʦ	θ	1.0
l	u_#>	0.051
r	-	0.201
r	ɾ	0.71
t	-	0.371
z	s	0.141
ˈu	ˈo	0.881
ˈɔ	u	0.061
β	β_ɾ	0.1
b	b_j	0.112
d	d	0.972
e	u	0.052
w	ɡ_w	0.062
ð	ð	0.942
a	a	0.863
l	-	0.073
n	n	0.783
r	ɾ_n	0.053
s	θ	0.193
t	ʧ	0.063
t	ð	0.093
w	β_e	0.053
ˈi	ˈe	0.213
ˈi	ˈi	0.743
ˈɛ	-	0.083
e	ɾ	0.114
u	ˈo	0.144
w	u	0.274
ɾ	ɾ	0.934
ʎ	ʝ	0.394
ˈɔ	ˈo	0.124
h	-	0.055
h	f	0.945
l	ʎ	0.565
nː	<#_ɡ	0.5
nː	m	0.5
t	t	0.405
w	l_u	0.145
ɡ	-	0.135
ɡ	ɡ	0.865
ˈe	ˈe	0.865
ˈɛ	ˈe	0.45
e	e	0.636
ɔ	a	0.96
ˈa	ˈa	0.696
ˈe	j_ˈe	0.056
ˈɔ	w_ˈe	0.816
a	e	0.137
n	n_t	0.217
p	p_j	0.097
p	p	0.897
s	-	0.077
u	u	0.177
w	w	0.237
ŋ	ɲ	0.067
ŋ	n	0.087
b	b	0.888
j	-	0.58
k	k_u	0.058
k	k	0.848
l	l	0.288
ð	-	0.058
ŋ	n_u	0.388
ŋ	ŋ	0.458
ʎ	-	0.138
ʎ	ʝ_u	0.468
ˈa	ˈa_ɾ	0.188
ˈy	ˈu	0.888
j	j	0.379
s	s	0.699
u	o	0.679
w	l	0.159
z	θ	0.859
ˈu	ˈu	0.059
ˈy	ˈo	0.089
ˈɛ	j_ˈe	0.459
β	β	0.9
