Shanghainese	Shanghainese	probability
⁵	-	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʥ	ʨʰ	1.0
ʔ_⁵⁵	j_²¹⁴	1.0
ʔ	-	1.0
ʑ	ʨʰ_ɥ	1.0
ɯ	w	1.0
ɪ_ʔ	ɛ	1.0
ɦ	x	1.0
ɥ	ɥ	1.0
ɤ	o_w	1.0
ɡ	k	1.0
ɜ	o_w	1.0
ə_ʔ	u	1.0
ɕ	ɕ	1.0
ɔ	ɑ_w	1.0
ŋ̍	-	1.0
ŋ	ŋ	1.0
y	y	1.0
w	w_ɑ	1.0
v	f	1.0
tʰ	tʰ	1.0
t	t	1.0
pʰ	pʰ	1.0
p	p	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
h	x	1.0
f	f	1.0
b	pʰ	1.0
a_ʔ	a	1.0
<#_ɦ	<#	1.0
<#_nʲ	<#_n	1.0
<#_m	<#_w	1.0
⁵³	⁵⁵	0.946
ø	a_n	0.818
j	j	0.818
n	n	0.81
ɑ̃	ɑ_ŋ	0.778
z̩	ʐ̩	0.75
s	ʂ	0.75
¹²	⁵¹	0.714
a	a	0.667
³⁴	²¹⁴	0.645
ʦ	ʈ͡ʂ	0.636
²³	³⁵	0.623
i	i	0.609
nʲ	ʐ	0.6
d	t	0.6
ã	ɑ_ŋ	0.6
ʦʰ	ʈ͡ʂʰ	0.571
ə	ə	0.545
z	ʈ͡ʂʰ	0.5
o	ʊ	0.5
u	u	0.462
ʦʰ	ʦʰ	0.429
nʲ	ɤ	0.4
d	tʰ	0.4
ã	ɤ_ŋ	0.4
o_ʔ	u	0.375
o_ʔ	o	0.375
ʦ	ʦ	0.364
e	a_j	0.364
a	j_a	0.333
⁵⁵	⁵⁵	0.308
⁵⁵	⁵¹	0.308
z	ʂ	0.3
¹²	w_⁵¹	0.286
ə	ɤ	0.273
e	a	0.273
³⁴	⁵¹	0.258
z̩	z̩	0.25
s	s	0.25
o_ʔ	w_ɔ	0.25
⁵⁵	³⁵	0.231
u	w_ɔ	0.231
ɑ̃	ŋ	0.222
²³	⁵¹	0.217
o	-	0.214
z	-	0.2
n	ŋ	0.19
ə	-	0.182
ø	ɛ_n	0.182
j	-	0.182
e	e_j	0.182
e	a_n	0.182
⁵⁵	j_⁵⁵	0.154
u	w	0.154
u	-	0.154
o	ɤ	0.143
o	w_a	0.143
²³	²¹⁴	0.13
i	j_ɛ	0.13
³⁴	j_⁵¹	0.097
i	ɻ	0.087
i	ɛ_n	0.087
i	-	0.087
⁵³	-	0.054
