Franco-Provençal	Portuguese	probability
ˈɛ_t	ˈe_k	1.0
ˈɔ	ˈo	1.0
ˈø	j	1.0
ˈy	ˈo_β	1.0
ˈe_ʁ	ˈɛ_ɾ	1.0
ˈe_v	β	1.0
ˈe_n	ˈi_ɲ	1.0
ʦ	s	1.0
ʒ	-	1.0
ʎ	ʎ	1.0
ʃ_j	k_ˈa	1.0
ʁ_w	ɾ_ˈu	1.0
ʁ_o	ɾ_ɨ	1.0
ʁ_b	ɾ_v	1.0
ʁ_a	ɾ_ɐ	1.0
ɲ	ɲ	1.0
ɛ̃	ẽ	1.0
ɛ	ɨ	1.0
ɔ̃	õ	1.0
ɔ	-	1.0
ɑ̃	ɐ̃	1.0
ɑː	ɐ_ʃ	1.0
z	z	1.0
y	ɐ_j	1.0
w_ˈe	ˈo	1.0
u	-	1.0
t_ʁ	s	1.0
t_a	t_ɐ	1.0
t	t	1.0
s_ə	ʃ_ɐ	1.0
p	p	1.0
n_a	ɐ	1.0
m	m	1.0
j_ˈɔ̃	ˈũ	1.0
j_ˈe	ˈɛ	1.0
i	ɐ	1.0
a	ɐ	0.915
k	k	0.912
ʁ	ɾ	0.91
f	f	0.834
s	s	0.8
ˈo	ˈo	0.797
ʃ	k	0.765
ˈaː	ˈa	0.764
o	u	0.717
v	v	0.691
ɡ	ɡ	0.682
ˈĩ	ˈĩ	0.614
ˈɑː	ˈa	0.605
e	i_ʃ	0.598
n	n	0.591
d	d	0.579
ˈɑ̃	ˈɐ̃	0.573
ˈø_ʁ	ˈo_ɾ	0.567
ə	ɐ	0.534
ð	ɾ	0.529
b	b	0.513
ˈɔ̃	ˈõ	0.497
ˈɛː	ˈe	0.485
l	l	0.477
j	-	0.454
ˈi	ˈi	0.434
ˈø_ʁ	ɾ	0.433
ˈi	ˈe	0.431
ˈɛ	ˈɛ	0.427
ˈa	ˈa	0.416
e	-	0.402
ˈɛ̃	ˈẽ	0.398
ˈɑː	ˈa_ɫ	0.395
ˈu	ˈu	0.387
ˈĩ	ˈi_ɲ	0.386
w	ˈo	0.379
ˈoː	ˈo	0.36
ˈɔ̃	w̃	0.343
ˈɛː	-	0.325
ˈoː	ˈɔ	0.318
ɡ	ɣ	0.318
v	β	0.309
b	-	0.305
ˈɑ̃	-	0.284
j	ˈɐ	0.281
l	-	0.275
ˈe	ˈa	0.258
ˈa	ˈɐ	0.255
ˈu	-	0.247
ˈaː	-	0.236
ˈɛ	ˈe	0.235
ʃ	-	0.235
d	ð	0.214
d	-	0.207
ˈo	ˈɔ_ʃ	0.203
ð	ʒ	0.2
ˈɛ	-	0.195
ˈɛ̃	ɲ_u	0.194
o	-	0.194
ð	-	0.193
ˈu	ˈɔ_l	0.188
ˈa	ˈa_ɾ	0.188
j	j	0.188
b	v	0.182
w	w	0.181
ˈu	ˈɔ	0.178
n	-	0.175
w	ˈɔ	0.174
ə	-	0.173
ˈe	ˈi	0.169
ˈoː	-	0.165
ˈɔ̃	-	0.161
ˈoː	ɫ	0.157
ˈe	ˈɛ	0.156
ˈe	j	0.156
ˈɛ̃	ˈĩ	0.149
ə	ɨ	0.148
ˈɛ	ˈɐ_j	0.144
w	-	0.144
ˈɑ̃	ˈɐ̃_t	0.143
n	j	0.14
ˈi	-	0.136
ˈɛ̃	ˈɐ̃	0.129
ˈɛ̃	u	0.129
w	ˈu	0.123
l	w	0.111
s	-	0.106
f	-	0.105
ˈɛː	ˈa	0.101
ˈa	-	0.1
ˈe	ɾ	0.098
n	ɲ	0.094
ˈɛː	ˈɐ	0.089
ə	ˈe_ɾ	0.089
l	ɫ	0.089
k	ʃ	0.088
ð	z	0.078
j	ð	0.078
ˈe	-	0.068
f	v_ɨ	0.061
o	ɔ	0.06
ə	ɾ	0.057
s	ɐ	0.055
ʁ	-	0.054
ˈe	u	0.052
