French	Venetian	probability
a	a	0.397
a	ˈa	0.282
a	-	0.149
a	e	0.098
b	b	0.877
b	m	0.074
d	d	0.822
d	n_a	0.094
e	ˈa	0.596
e	i	0.163
e	e	0.11
e	ˈa_z	0.07
e	o	0.061
f	f	0.843
f	-	0.062
f	v_o	0.054
i	ˈi	0.52
i	t_o	0.083
i	ˈɛ_z	0.058
i	-	0.058
i	o	0.055
j	j	0.311
j	ʧ	0.194
j	-	0.133
j	ˈe	0.09
j	ˈi	0.09
k	k	0.835
k	s_k	0.137
l	ɰ	0.395
l	l	0.27
l	j	0.169
l	-	0.13
m	m	0.98
n	n	0.843
o	ˈɛ_o	0.453
o	ˈɔ_s	0.177
o	l	0.139
o	ˈɔ	0.109
o	ˈa	0.065
o	ˈɛ	0.057
p	p	0.852
p	s_p	0.128
s	s	0.871
s	z	0.089
t	t	0.849
t	s_e	0.108
u	ˈo	0.365
u	o	0.236
u	ˈu	0.153
u	ʧ_o	0.1
u	ˈi	0.079
u	ˈu_t	0.066
v	v	0.932
w	ˈe	0.397
w	ˈo_z	0.108
w	-	0.091
w	ˈe_d	0.076
w	i	0.074
w	ˈɔ	0.072
w	ˈo	0.064
y	ˈu	0.659
y	ˈo	0.174
y	ˈi	0.058
z	z_a	0.431
z	z	0.312
z	s	0.257
ø	o	0.429
ø	ˈo_ɡ	0.212
ø	i	0.179
ø	ˈo	0.108
ø	ɡ_o	0.071
œ	ˈɔ	0.426
œ	ˈo	0.402
œ	o	0.124
ɑ̃	ŋ_t	0.228
ɑ̃	ˈa_ŋ	0.216
ɑ̃	ŋ	0.183
ɑ̃	ˈa	0.118
ɑ̃	a	0.072
ɑ̃	ˈɛ	0.072
ɑ̃	ˈe	0.057
ɑ̃	ˈe_ŋ	0.055
ɔ	ˈɔ	0.448
ɔ	o	0.226
ɔ	ˈo	0.224
ɔ	-	0.102
ɔ̃	ˈo_ŋ	0.613
ɔ̃	ˈo	0.15
ɔ̃	e	0.128
ɔ̃	o	0.073
ə	e	0.532
ə	a	0.257
ə	ˈi	0.083
ə	-	0.081
ɛ	ˈa	0.338
ɛ	ˈɛ	0.288
ɛ	ˈe	0.168
ɛ	e	0.059
ɛ̃	ŋ	0.229
ɛ̃	ˈa_ŋ	0.218
ɛ̃	ˈi_ŋ	0.17
ɛ̃	ɲ_o	0.16
ɛ̃	ŋ_t	0.155
ɡ	ɡ	0.949
ɥ	ˈu	0.329
ɥ	ˈo	0.279
ɥ	ˈɔ	0.268
ɥ	ˈi	0.124
ɲ	ɲ	1.0
ʁ	r	0.797
ʁ	r_o	0.136
ʁ	-	0.057
ʃ	k	0.95
ʒ	z	0.716
ʒ	-	0.086
ʒ	v	0.086
