Belarusian	Ukrainian	probability
b	b	1.0
d	d	1.0
j	j	1.0
m	m	1.0
nʲ	nʲ	1.0
s	s	1.0
u	ʊ	1.0
xʲ	x	1.0
z	z	1.0
ɣ	ɦ	1.0
ɫ	ɫ	1.0
ʂ	ʒ	1.0
ʌ	ɔ	1.0
ʐ	ʒ	1.0
ʣʲ	d	1.0
ʧ	ʧ	1.0
ˈi	ˈɪ	1.0
ˈu	ˈu	1.0
ˈæ	ˈɑ	1.0
ˈɛ	ˈi	1.0
ˈɨ	ˈɪ	1.0
ˈɵ	ˈɛ	1.0
a	ɔ	0.741
i	j	0.151
kʲ	k_ˈɪ	0.801
mʲ	m_j	0.861
p	b	0.391
pʲ	pʲ	0.221
v	ʋ	0.371
ˈe	ˈɛ	0.351
ˈo	ˈɔ	0.701
k	k	0.982
lʲ	lʲ	0.832
r	rʲ	0.12
r	r	0.732
w	ʋ	0.512
æ	e	0.062
ˈa	ˈɑ	0.902
a	ɛ	0.073
e	ɛ	0.653
i	e_j	0.623
n	nʲ	0.23
sʲ	s	0.323
x	x	0.793
zʲ	z	0.513
ɨ	e_j	0.873
t	d	0.094
æ	i	0.134
æ	ɛ	0.34
æ	ɐ	0.464
ʦ	ʦʲ	0.174
a	ɐ	0.165
ʦʲ	t_e	0.205
ˈa	ɐ	0.055
t	t	0.906
vʲ	ʋ	0.216
ʦ	ʦ	0.826
e	i	0.347
i	i	0.227
n	n	0.77
sʲ	sʲ	0.677
vʲ	ʋ_j	0.127
vʲ	ʋʲ	0.657
w	ʍ	0.37
x	ɦ	0.207
zʲ	zʲ	0.487
ɨ	ɪ	0.127
ʦʲ	t	0.317
ʦʲ	tʲ	0.477
lʲ	ɫ	0.168
mʲ	mʲ	0.098
r	j_#>	0.148
kʲ	k	0.199
p	p	0.609
pʲ	p	0.779
v	w	0.629
w	w	0.119
ˈe	ˈi	0.649
ˈo	ˈi	0.299
