West Flemish	Middle English	probability
ˈɑ_n	ˈoː	1.0
ˈøː	ˈu	1.0
ˈyː_t	i	1.0
ʃ_h	ʃ	1.0
ɾ_ə	r_ə	1.0
ɾ_n	r_n	1.0
ɪ	ˈi	1.0
ɦ̥	x	1.0
ɦ_ɾ	ɡ_r	1.0
ɦ_ə	ʤ	1.0
ç	iː	1.0
z	s	1.0
w	ɫ	1.0
v_ˈøː	f	1.0
p	p	1.0
n_ə	n_ə	1.0
m	m	1.0
l	l	1.0
j	j	1.0
iə̯	eː	1.0
d̥	d	1.0
b	b	1.0
ʋ	w	0.918
s	s	0.866
ˈɛː	ˈɔː	0.815
ɾ	r	0.813
ə	ə	0.789
ŋ	ŋ	0.767
ˈyː	ˈuː	0.754
n	n	0.71
ˈi	ˈiː	0.689
ˈɪ	ˈi	0.681
v	f	0.647
t	t	0.635
ˈɔ	ˈɔ	0.611
ˈœ	ˈu	0.598
h	ç	0.595
ˈiə̯	ˈeː	0.587
ˈuə̯	ˈoː	0.58
ˈu	-	0.557
k	k	0.54
ˈæ	ˈɛ	0.528
ˈɑ	ˈa	0.527
ˈɛ	ˈi	0.5
ˈɛ	-	0.5
ˈu	ˈu	0.443
d	d	0.421
h	x	0.405
ˈɒː	ˈɛː	0.399
ˈɔ	-	0.389
d	θ	0.376
t	t_ə	0.365
ˈoː	ˈɛː	0.359
v	v	0.353
ˈæ	ˈi	0.343
ˈɒː	ˈaː	0.342
ˈɑ	ˈɔː	0.341
ˈeː	ˈɔː	0.33
ˈɪ	ˈiː	0.319
ˈuə̯	ˈeː	0.317
ˈi	-	0.311
k	ʧ	0.303
ˈɒː	-	0.259
ˈyː	-	0.246
ˈiə̯	-	0.245
ɦ	ˈæi̯	0.239
ŋ	ɡ	0.233
ɦ	ɡ	0.222
ˈeː	ˈɛ	0.221
ə	-	0.211
ˈoː	ˈɔ	0.206
ˈœ	ˈiː	0.201
ˈœ	ˈi	0.201
ɦ	-	0.194
ˈɛː	-	0.185
ɦ	ə	0.184
d	d_ə	0.175
n	ə_n	0.174
ˈeː	ˈɛː	0.169
ˈeː	-	0.169
ɦ	j	0.161
k	k_ə	0.157
ˈoː	ˈu	0.152
s	k_s	0.134
ˈoː	ˈeː	0.132
ˈæ	-	0.129
n	-	0.115
ˈeː	ˈi	0.111
ˈoː	-	0.106
ˈuə̯	ˈuː	0.103
ˈiə̯	ˈɔu̯	0.1
ʋ	ʍ	0.082
ˈɑ	ˈi	0.071
ˈiə̯	ˈi	0.067
