Meixian	Meixian	probability
⁵	¹²	1.0
⁴⁴_#>	²³_#>	1.0
⁴⁴	⁵³	1.0
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ʊ	o	1.0
ɲ	nʲ	1.0
ɛ_n	i	1.0
ɕ	ɕ	1.0
ɔ_ŋ	ɑ̃	1.0
ɔ_n	ø	1.0
ç	ʨʰ	1.0
¹¹	²³	1.0
²	⁵⁵	1.0
z̩	z̩	1.0
w	-	1.0
p̚	ʔ	1.0
o_j	e	1.0
n̩	y	1.0
l	l	1.0
k̚	ʔ	1.0
kʰ	kʰ	1.0
j_a	i	1.0
e_w	ɜ	1.0
c	ʨ	1.0
a_ŋ	ə_n	1.0
a_w	ɔ	1.0
a_n	e	1.0
a_m	ø	1.0
m	m	0.818
t̚	ʔ	0.8
pʰ	b	0.8
¹	⁵⁵	0.762
ŋ	ŋ	0.75
³¹	³⁴	0.75
<#	<#_ɦ	0.75
o	u	0.714
k	k	0.714
ʦʰ	ʦʰ	0.7
ʨʰ	ʨʰ	0.667
cʰ	ʥ	0.667
n	n	0.652
i	i	0.63
p	p	0.625
ɛ	-	0.571
s	s	0.571
tʰ	d	0.556
⁵³	²³	0.52
t	ʦ	0.5
t	t	0.5
h	h	0.5
j	-	0.462
a	a	0.45
ɔ	-	0.444
u	ə	0.444
tʰ	tʰ	0.444
ɛ	ə	0.429
s	z	0.429
⁵³	³⁴	0.4
p	f	0.375
j	j	0.346
ʨʰ	ʑ	0.333
ʋ	ɯ	0.333
ʋ	ɦ	0.333
ʋ	-	0.333
ɔ	o	0.333
f	f	0.333
cʰ	ɡ	0.333
ʦʰ	z	0.3
o	-	0.286
k	ʨ	0.286
n	-	0.261
³¹	²³	0.25
h	ɦ	0.25
h	kʰ	0.25
f	ɦ	0.25
f	v	0.25
<#	<#_nʲ	0.25
ɔ	w	0.222
u	u	0.222
u	-	0.222
t̚	ɪ_ʔ	0.2
pʰ	pʰ	0.2
a	o	0.2
m	n	0.182
f	h	0.167
a	ɪ	0.15
i	j	0.148
¹	¹²	0.143
ŋ	ɑ̃	0.125
ŋ	-	0.125
j	ɥ	0.115
u	ɜ	0.111
a	ø	0.1
a	-	0.1
¹	⁵	0.095
n	ŋ̍	0.087
⁵³	⁵³	0.08
j	ɦ	0.077
i	ɦ	0.074
i	z̩	0.074
i	e	0.074
