Polish	Polish	probability
ʦ	ʦ	1.0
ʥ	d	1.0
ʑ	z	1.0
ʈ͡ʂ	ʧ	1.0
ʂ	ʃ	1.0
ɨ_#>	#>	1.0
ɡ̊	ɡ̊	1.0
ɛ_ɲ	e	1.0
ɛ_r	r̩_̂	1.0
ɛ_m	a_n	1.0
ɕ	s	1.0
ɔ_m	uː	1.0
ɔ_#>	o_#>	1.0
ŋ	-	1.0
z	z	1.0
x	x	1.0
w̃	-	1.0
w_ɔ	l_aː	1.0
w_a	l_a	1.0
v_j	ʋ	1.0
t_ɨ	̂_t	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ɨ	a_r	1.0
r_#>	r_#>	1.0
p	p	1.0
m_j	m	1.0
m	m	1.0
k_i	a_k	1.0
j_ɛ	a	1.0
i_#>	#>	1.0
f	ʋ	1.0
d̥	d̥	1.0
b̥	b̥	1.0
b	b	1.0
a_r	r̩	1.0
<#_ɔ	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_p	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#	<#_ʦ	1.0
k	k	0.913
ɡ	ɡ	0.875
d	d	0.875
v	ʋ	0.867
n	n	0.833
r	r	0.818
l	l	0.778
ʨ	t	0.706
i	i	0.667
a	a	0.65
ʐ̊	r	0.6
j	iː	0.6
ɲ	n	0.556
ʐ	ʒ	0.5
ʐ	r	0.5
w	l	0.467
ɨ	iː_̂	0.455
ɛ	e	0.452
ɔ	o	0.441
ʐ̊	-	0.4
w	-	0.4
j	eː	0.4
ɨ	i	0.364
i	iː	0.333
u	uː	0.318
ʨ	t_i	0.294
ɛ	-	0.262
ɲ	ɲ	0.222
ɲ	-	0.222
l	-	0.222
ɨ	iː	0.182
u	oː	0.182
r	r_aː	0.182
ɔ	oː	0.176
n	-	0.167
a	-	0.15
u	u	0.136
u	eː	0.136
u	-	0.136
w	uː	0.133
v	u	0.133
ɡ	-	0.125
d	-	0.125
a	i_̂	0.125
ɛ	iː	0.119
ɛ	i_̂	0.119
u	o	0.091
ɔ	uː	0.088
ɔ	e	0.088
ɔ	a	0.088
k	-	0.087
a	aː	0.075
ɔ	eː	0.059
ɔ	aː	0.059
