Limburgish	American English	probability
b	b	0.978
d	d	0.587
d	θ	0.394
f	f	0.745
f	v	0.255
i	i	1.0
j	-	0.435
j	ɫ	0.168
j	ˈi	0.124
j	j	0.114
j	ð	0.102
j	ʔ	0.056
k	k	0.432
k	ʧ	0.203
k	kʰ	0.199
k	ʤ	0.139
l	l	0.603
l	ɫ	0.385
m	m	1.0
n	n	0.864
n	-	0.136
p	p	0.927
p	pʰ	0.053
s	s	0.672
s	ʃ	0.203
s	z	0.058
t	ʔ	0.357
t	d	0.323
t	tʰ	0.116
t	θ	0.084
t	t	0.066
v	f	0.801
v	v	0.18
w	ɫ	1.0
x	ʔ	0.747
x	ʤ	0.118
x	f	0.094
z	s	0.991
ŋ	ŋ	0.957
ə	-	0.818
ə	ə	0.089
ɡ	-	1.0
ɣ	ɡ	0.538
ɣ	-	0.303
ɣ	j	0.159
ɦ	h	1.0
ɪ	-	0.81
ɪ	i	0.19
ɪː	ˈɪ	1.0
ʀ	ɹ	0.596
ʀ	ɚ	0.195
ʀ	ð_ɚ	0.076
ʀ	-	0.074
ʃ	ʃ	1.0
ˈaː	ˈɑ	0.394
ˈaː	ˈæ	0.212
ˈaː	ˈeɪ̯	0.182
ˈaː	ˈoʊ̯	0.087
ˈaː	ˈɝ	0.063
ˈaː	ˈu	0.061
ˈeː	ˈɛ	0.279
ˈeː	ˈi	0.206
ˈeː	-	0.133
ˈeː	ˈɔ	0.114
ˈeː	ˈɪ	0.111
ˈeː	ˈaɪ̯	0.077
ˈi	ˈi	0.363
ˈi	ˈɛ	0.185
ˈi	ˈoʊ̯	0.184
ˈi	ˈu	0.142
ˈi	ˈʌɪ̯	0.111
ˈiː	ˈaɪ̯	0.388
ˈiː	ˈi	0.28
ˈiː	ˈʌɪ̯	0.23
ˈiː	ˈɪ	0.102
ˈoː	ˈʌ	0.619
ˈoː	ˈaʊ̯	0.263
ˈoː	ˈʊ	0.118
ˈu	ˈɛ	0.429
ˈu	ˈi	0.379
ˈu	ˈaɪ̯	0.138
ˈu	ˈeɪ̯	0.053
ˈuː	ˈaʊ̯	0.626
ˈuː	ˈi	0.166
ˈuː	ˈʌ	0.125
ˈuː	ˈaɪ̯	0.084
ˈv	f	1.0
ˈyː	ˈi	0.611
ˈyː	ˈaɪ̯	0.188
ˈyː	ˈɛ	0.136
ˈyː	ˈɪ	0.064
ˈæ	ˈæ	0.311
ˈæ	ˈɔ	0.293
ˈæ	ˈʌɪ̯	0.251
ˈæ	ˈɛ	0.145
ˈæː	ˈɔ	0.372
ˈæː	ˈɑ	0.324
ˈæː	ˈɛ	0.177
ˈæː	ˈæ	0.126
ˈøː	ˈi	0.389
ˈøː	ˈʌ	0.161
ˈøː	ˈɪ	0.157
ˈøː	j	0.15
ˈøː	ˈɔ	0.096
ˈœ	ˈɪ	0.641
ˈœ	ˈæ	0.174
ˈœ	ˈɛ	0.111
ˈœ	ˈʌ	0.074
ˈœi̯	ˈaɪ̯	0.473
ˈœi̯	ˈi	0.212
ˈœi̯	ˈu	0.201
ˈœi̯	ˈaʊ̯	0.114
ˈœː	ˈɔ	0.5
ˈœː	ˈɝ	0.5
ˈɑ	ˈæ	0.308
ˈɑ	ˈɔ	0.179
ˈɑ	ˈɛ	0.141
ˈɑ	ˈɑ	0.106
ˈɑ	ˈʌ	0.082
ˈɑ	ˈʌɪ̯	0.077
ˈɑ	ˈoʊ̯	0.054
ˈɑ	ˈeɪ̯	0.053
ˈɑː	ˈæ	0.753
ˈɑː	ˈu	0.093
ˈɑː	ˈɑ	0.069
ˈɒː	ˈi	0.431
ˈɒː	ˈʌ	0.178
ˈɒː	ˈɛ	0.133
ˈɒː	ˈu	0.11
ˈɒː	ˈeɪ̯	0.109
ˈɔ	ˈɑ	0.375
ˈɔ	ˈʊ	0.211
ˈɔ	ˈu	0.173
ˈɔ	ˈʌ	0.159
ˈɔu̯	ˈʌ	0.776
ˈɔu̯	w	0.112
ˈɔu̯	ˈaɪ̯	0.112
ˈɔː	ˈi	0.556
ˈɔː	ˈʌ	0.238
ˈɔː	ˈoʊ̯	0.16
ˈɛ	-	0.269
ˈɛ	ˈaɪ̯	0.269
ˈɛ	ˈɪ	0.263
ˈɛ	ə	0.139
ˈɛ	ˈeɪ̯	0.059
ˈɛi̯	ˈi	1.0
ˈɛː	ˈoʊ̯	0.508
ˈɛː	ˈi	0.165
ˈɛː	ˈɪ	0.126
ˈɛː	ˈɑ	0.071
ˈɛː	ˈɛ	0.067
ˈɛːi̯	ˈɛ	0.481
ˈɛːi̯	ˈoʊ̯	0.273
ˈɛːi̯	ˈi	0.246
ˈɪ	ˈɛ	0.715
ˈɪ	ˈɪ	0.181
ˈɪ	ˈʌɪ̯	0.103
ˈɪː	ˈɪ	0.69
ˈɪː	ˈaɪ̯	0.222
ˈɪː	ˈɛ	0.088
ˈʊ	ˈʌ	1.0
ˈʊː	ˈʌ	0.359
ˈʊː	ˈɔ	0.252
ˈʊː	-	0.15
ˈʊː	ˈaʊ̯	0.082
ˈʊː	ˈeɪ̯	0.053
ˈʏ	ˈɪ	1.0
ˈʏː	ˈɛ	0.663
ˈʏː	ˈʌ	0.207
ˈʏː	ˈɪ	0.13
β	w	0.927
β	-	0.073
