Limburgish	American English	probability
b	b	0.952
b	v	0.051
d	d	0.558
d	θ	0.35
d	ð	0.085
f	f	0.67
f	v	0.302
j	-	0.398
j	ɫ	0.208
j	ð	0.131
j	j	0.131
j	t	0.075
k	k	0.276
k	ʧ	0.241
k	-	0.196
k	kʰ	0.194
k	ʤ	0.082
k_ə	k	0.49
l	l	0.624
l	ɫ	0.299
l	-	0.074
l_ə	ɫ	1.0
m	m	1.0
m_ə	m	1.0
n	n	0.854
n	-	0.121
n	ɫ	0.029
n_t	θ	1.0
p	p	0.894
p	pʰ	0.096
p_ə	p	0.49
s	s	0.625
s	ʃ	0.186
s	s_t	0.085
s	z	0.064
s	-	0.04
t	d	0.422
t	t	0.376
t	tʰ	0.122
t	ɾ	0.045
t	θ	0.036
t_ə	t	1.0
v	f	0.969
v	v	0.04
v_ə	v	1.0
w	ɫ	0.49
x	-	0.53
x	t	0.329
x	f	0.082
x	ʤ	0.054
z	s	0.948
z	z	0.055
ŋ	ŋ	0.938
ŋ	-	0.06
ə	-	0.827
ə	oʊ̯	0.069
ə	ə	0.053
ə	ɪ	0.042
ə	ˈɛ	0.031
ə_k	k	0.66
ə_k	i	0.158
ə_l	ɫ	1.0
ə_m	m	0.24
ə_x	i	0.66
ə_x	ˈaɪ̯	0.158
ə_ʀ	ɚ	0.91
ə_ʀ	ɹ	0.062
ɡ	-	0.49
ɣ	ɡ	0.624
ɣ	-	0.262
ɣ	j	0.092
ɦ	h	1.0
ɪ	-	0.371
ɪ	i	0.182
ɪː	ˈɪ	1.0
ʀ	ɹ	0.554
ʀ	ɚ	0.275
ʀ	-	0.094
ʀ	ð_ɚ	0.057
ʀ_ə	ɹ	0.915
ʀ_ə	ɚ	0.073
ʃ	ʃ	1.0
ˈaː	ˈeɪ̯	0.343
ˈaː	ˈɑ	0.31
ˈaː	ˈæ	0.223
ˈaː	ˈu	0.059
ˈaː	ˈoʊ̯	0.058
ˈeː	ˈɛ	0.302
ˈeː	ˈi	0.255
ˈeː	ˈɪ	0.132
ˈeː	ˈaɪ̯	0.115
ˈeː	ˈeɪ̯	0.096
ˈeː_ɣ	ˈaɪ̯	1.0
ˈi	ˈi	0.478
ˈi	ˈaɪ̯	0.235
ˈi	ˈoʊ̯	0.152
ˈi	ˈɛ	0.069
ˈi	ˈu	0.047
ˈiː	ˈaɪ̯	0.66
ˈiː	ˈɪ	0.173
ˈiː	ˈi	0.128
