Old English	Gothic	probability
a	a	1.0
b	b	0.955
bː	β	1.0
d	d	0.44
d	θ	0.282
d	ð	0.168
d	-	0.069
dː	ð	1.0
e	oː	0.456
e	a	0.202
e	-	0.108
e	i	0.094
e	iː	0.083
eo̯	i	1.0
f	f	0.963
h	h	1.0
i	ˈi	0.472
i	aː	0.251
i	i	0.147
i	a	0.13
j	j	0.415
j	ɡ	0.406
j	a	0.116
j	x	0.063
k	k	0.727
k	kʷ	0.159
k	h	0.114
l	l	0.979
lː	lː	1.0
l̥	h_l	1.0
m	m	0.897
m	-	0.103
n	n	0.96
nː	n	0.547
nː	nː	0.453
o	a	0.565
o	u	0.255
o	-	0.123
o	i	0.057
p	p	1.0
pː	p	1.0
r	r	0.84
r	-	0.124
rː	r	1.0
r̥	r	1.0
s	s	1.0
t	t	0.905
t	-	0.095
tː	t	1.0
u	u	1.0
v	β	0.693
v	f	0.285
w	w	0.95
x	h	0.731
x	j	0.269
z	s	1.0
ç	h	1.0
ð	θ	1.0
ŋ	ŋ	0.857
ŋ	h	0.143
ɑ	a	0.685
ɑ	-	0.104
ɑ	j_a	0.092
ɑ	oː	0.056
ɡ	ɡ	0.925
ɣ	ɣ	0.427
ɣ	ɡ	0.347
ɣ	-	0.226
ɫ	l	0.969
ʃ	s	0.825
ʃ	k_s	0.175
ʃː	z	1.0
ʍ	ʍ	1.0
ʧ	k	1.0
ˈe	ˈi	0.471
ˈe	ˈɛː	0.213
ˈe	ˈa	0.188
ˈe	ˈɛ	0.128
ˈeo̯	ˈɛ	0.843
ˈeo̯	ˈi	0.157
ˈeː	ˈɛː	0.433
ˈeː	ˈoː	0.224
ˈeː	ˈeː	0.186
ˈeː	ˈiː	0.063
ˈeː	ˈuː	0.061
ˈeːo̯	ˈiu̯	0.57
ˈeːo̯	ʍ	0.138
ˈeːo̯	ˈiː	0.083
ˈeːo̯	ˈi	0.079
ˈeːo̯	j	0.065
ˈeːo̯	ˈu	0.064
ˈi	ˈi	0.82
ˈi	ˈiː	0.058
ˈi	ˈɛ	0.057
ˈiy̯	ˈi	0.817
ˈiy̯	ˈa	0.183
ˈiː	ˈiː	0.883
ˈiː	ˈi	0.117
ˈiːy̯	ˈɔː	0.671
ˈiːy̯	ˈɛ	0.296
ˈo	ˈɔ	0.608
ˈo	ˈu	0.237
ˈo	ˈɔː	0.155
ˈoː	ˈoː	0.531
ˈoː	ˈeː	0.256
ˈoː	ˈa	0.12
ˈoː	ˈu	0.093
ˈu	ˈu	0.817
ˈu	ˈi	0.095
ˈu	ˈuː	0.072
ˈuː	ˈuː	0.633
ˈuː	ˈu	0.367
ˈy	ˈɔ	1.0
ˈyː	ˈoː	1.0
ˈæ	ˈa	1.0
ˈæɑ̯	ˈa	1.0
ˈæː	ˈeː	0.624
ˈæː	ˈa	0.321
ˈæːɑ̯	ˈɔː	0.431
ˈæːɑ̯	ˈɔ	0.205
ˈæːɑ̯	ˈa	0.171
ˈæːɑ̯	ˈeː	0.129
ˈæːɑ̯	ˈiu̯	0.064
ˈɑ	ˈa	1.0
ˈɑː	ˈɛː	0.926
ˈɑː	ŋ	0.074
ˈɛ	ˈa	0.747
ˈɛ	ˈi	0.253
θ	θ	0.899
θ	n_θ	0.101
