Italian	Lombard	probability
#>	#>	0.994
<#	<#	1.0
a	a	0.903
a	-	0.066
b	b	0.839
b	-	0.122
d	d	0.623
d	-	0.275
d	t	0.052
d	ʧ	0.05
d_e	t	1.0
e	e	0.451
e	-	0.221
e	a	0.106
e	u	0.056
e_#>	#>	1.0
f	f	1.0
i	e	0.275
i	i	0.253
i	ĩ	0.234
i	-	0.095
i	j	0.095
i_#>	#>	1.0
i_m	m	1.0
j	j	0.457
j	-	0.295
j	ʧ	0.231
k	k	0.726
k	-	0.226
l	l	0.721
l	-	0.251
m	m	0.88
m	-	0.075
n	n	0.698
n	-	0.22
n	ɲ	0.061
n_t	t	1.0
o	-	0.818
o	u	0.109
p	p	0.801
p	-	0.168
p_o	p	1.0
r	r	0.67
r	-	0.328
r_o	r	1.0
s	s	0.82
s	-	0.15
t	t	0.571
t	-	0.275
t	d	0.14
t_e	ʧ	0.121
t_o	t	1.0
t_t	ʧ	1.0
u	y	0.37
u	-	0.13
u	a	0.13
u	u	0.12
v	ʋ	0.84
v	ɡ	0.061
v	-	0.053
v_e	f	1.0
v_o	f	0.495
w	-	0.433
w	w	0.3
w	ˈøː	0.198
w	ˈũː	0.054
z	z	0.66
z	-	0.162
z_o	s	1.0
ŋ	-	0.53
ŋ	ˈẽː	0.461
ŋ_k	k	1.0
ɡ	ɡ	0.665
ɡ	ʤ	0.16
ɡ	k	0.109
ɡ_o	k	1.0
ɲ	ɲ	0.542
ɲ	-	0.457
ɲ_a	a	0.495
ɲ_o	ɲ	0.495
ʃ	-	0.5
ʃ	s	0.5
ʎ	-	0.549
ʎ	j	0.354
ʎ	l	0.061
ʎ_a	a	0.495
ʣ	-	0.594
ʣ	ʦ	0.392
ʤ	ʤ	0.58
ʤ	-	0.241
ʤ	z	0.063
ʤ	ʦ	0.063
ʤ	ʧ	0.05
ʦ	-	0.5
ʦ	ʦ	0.401
ʦ	s	0.064
ʧ	ʧ	0.31
ʧ	ʦ	0.228
ʧ	-	0.179
ʧ	z	0.12
ʧ	s	0.092
ʧ_e	s	1.0
ˈa	ˈa	0.833
ˈa	ˈaː	0.105
ˈa_k	ˈa	1.0
ˈa_n	ˈãː	1.0
ˈa_ŋ	ˈãː	0.495
ˈa_ɲ	ˈa	0.495
ˈe	ˈe	0.412
ˈe	ˈɛ	0.24
ˈe	ˈe_j	0.081
ˈe	ˈeː	0.059
ˈe	ˈa	0.051
ˈi	ˈi	0.746
ˈi	-	0.092
ˈi	ˈĩː	0.06
ˈi	ˈa	0.055
ˈi	ˈiː	0.055
ˈi_n	ˈĩː	1.0
ˈi_r	ˈi	1.0
ˈi_ʎ	ˈi	1.0
ˈo	ˈu	0.708
ˈo	ˈyː	0.199
ˈo_n	ˈũː	1.0
ˈu	ˈy	0.456
ˈu	ˈũː	0.122
ˈu	ˈyː	0.098
ˈu	ˈi	0.085
ˈu	ˈu	0.064
ˈu	ˈỹː	0.064
ˈu	ˈɔ	0.055
ˈɔ	ˈɔ	0.516
ˈɔ	ˈø	0.163
ˈɔ	ˈu	0.126
ˈɔ	-	0.118
ˈɔ_k	ˈø	1.0
ˈɛ	ˈɛ	0.612
ˈɛ	ˈe	0.186
ˈɛ	-	0.065
ˈɛ_n	ˈẽː	0.495
