Old Frisian	Mainland North Frisian	probability
θ_r	t_ʀ	1.0
ˈi̯aː	ˈiː	1.0
ˈeː_r	ʀ	1.0
ˈe_t	ˈa_t	1.0
ˈe_j	ˈɛi̯	1.0
ʣ	d	1.0
ɣ_ə	ç	1.0
ɡː	-	1.0
ɡ_ə	ə	1.0
ɡ	ɡ	1.0
ə_x	i	1.0
ə_n	ə_n	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	v	1.0
tː	t	1.0
s_w	s	1.0
s_k	ʃ	1.0
s	s	1.0
r_n	ʀ_n	1.0
pː	p	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈi̯aː	j	1.0
l_ˈi	l_ˈa	1.0
l_d	lʲ	1.0
kː	k	1.0
k	k	1.0
j_ə	ə	1.0
iː	ɛi̯	1.0
i	i	1.0
h_w	v	1.0
h_l	l	1.0
h	h	1.0
f	f	1.0
dː	d	1.0
d_ə	ə	1.0
bː	v	1.0
b	b	1.0
a	ə	1.0
r	ʀ	0.952
n	n	0.918
ə	ə	0.91
l	l	0.871
x	x	0.823
p	p	0.817
w	v	0.8
e	ə	0.743
ˈɛː	ˈiː	0.729
ˈiː	ˈi	0.72
t	t	0.657
j	-	0.634
ˈu	ˈʊ	0.621
ð	d	0.574
ˈaː	ˈuː	0.573
ɣ	-	0.567
ˈuː	ˈʏ	0.559
ˈi̯uː	j	0.541
z	s	0.525
θ	t	0.498
ˈo	ˈɔ	0.477
z	z	0.475
ˈi̯uː	-	0.459
ð	-	0.426
n_d	n	0.411
ˈo	-	0.394
ˈoː	ˈœ	0.392
j	j	0.366
ˈi	ˈi	0.351
d	dʲ	0.347
n_d	nʲ	0.339
d	d̥	0.339
ˈɔː	ˈœ	0.3
ɣ	j	0.292
ˈeː	ˈiː	0.287
ˈa	ˈɒ	0.282
θ	d	0.28
ˈuː	ˈœː	0.277
ˈe	ˈeː	0.277
ˈɛː	-	0.271
e	-	0.257
n_d	ˈʏ_n	0.25
ˈi	-	0.246
ˈaː	ˈyː	0.241
ˈoː	ˈœi̯	0.235
ˈɔː	ˈɔː	0.233
ˈɔː	ˈɔu̯	0.233
ˈɔː	-	0.233
ˈa	ˈɒː	0.233
ˈeː	ˈɛ	0.231
θ	z̥	0.222
ˈoː	-	0.221
d	-	0.219
ˈeː	ˈɛi̯	0.217
ˈa	ˈœ	0.217
ˈu	-	0.203
p	-	0.183
t	-	0.182
ˈa	ˈuː	0.18
x	-	0.177
ˈuː	-	0.164
t	tʲ	0.162
ˈe	ˈa	0.156
ˈi	ˈʊ	0.152
ˈoː	ˈɔu̯	0.151
ˈeː	j_ˈa	0.148
ɣ	w	0.141
ˈiː	ˈɛi̯	0.14
ˈiː	-	0.14
ˈi	ˈa	0.137
ˈe	ˈɛː	0.136
ˈo	ˈɔː	0.129
ˈeː	-	0.116
ˈi	ˈœ	0.114
ˈaː	ˈʊ	0.112
ˈe	j_ˈa	0.106
w	ˈɔu̯	0.1
w	-	0.1
d	d	0.095
ˈe	ˈɒː	0.09
ˈe	-	0.09
ˈu	ˈaː	0.088
ˈu	ˈa	0.088
ˈa	ˈɔː	0.088
l	l_ə	0.087
ˈe	ˈi	0.086
n	nʲ	0.082
ˈaː	-	0.074
ə	-	0.064
ˈe	ˈɒ	0.058
