English	English	probability
ˈʊ	ˈuː	1.0
ˈɜː	-	1.0
ˈəʊ̯_#>	ˈoː_#>	1.0
ˈɐ_ð	ˈuː	1.0
ˈɐ_m	m_ɑ	1.0
ˈiː_#>	ˈeː_#>	1.0
ˈe_d_#>	ˈæʉ̯_#>	1.0
ˈaʊ̯_#>	ˈʉː_#>	1.0
ˈaɪ̯_t	ʰtː	1.0
ˈaɪ̯_d	ˈiː	1.0
ʤ	ɡː	1.0
ɹ	ɾ	1.0
ɫ_d	lː	1.0
ɫ_#>	l_#>	1.0
ɜː	ɾ_ˈɛ	1.0
əʊ̯	-	1.0
ð	-	1.0
z	-	1.0
w_ˈʊ	ˈʉ	1.0
w_ˈɪ	ˈʏ	1.0
tʰ	tʰ	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
n_d	nː	1.0
l	l	1.0
kʰ	kʰ	1.0
f_#>	ʋ_#>	1.0
b	b	1.0
<#_ˈɐ	<#_ˈʉ	1.0
<#_ɹ	<#_ɾ	1.0
<#_w	<#	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
m	m	0.909
f	f	0.905
p	p	0.9
h	h	0.9
s	s	0.886
t	t	0.833
w	ʋ	0.8
k	k	0.769
ˈæ	ˈɑ	0.7
ɫ	l	0.7
ɪ	ɡ	0.667
ŋ	ŋː	0.667
n	n	0.667
ˈəʊ̯	ˈæɪ̯	0.615
ˈɛ	-	0.6
ˈaʊ̯	ˈʉː	0.6
ʃ	ʂ	0.6
θ	tʰ	0.588
ɡ	ɡ	0.583
d	-	0.556
ˈuː	ˈuː	0.545
ʧ	ç	0.5
ʧ	-	0.5
v	ʋ	0.5
j	ɡ	0.5
j	-	0.5
<#	<#_ˈɛ	0.5
<#	<#_d	0.5
ə	ɾ	0.484
ˈe	-	0.476
ˈeɪ̯	ˈɑː	0.455
ˈɑː	ˈɑ_ɾ	0.444
d	d	0.444
ˈɛ	ˈœ	0.4
ʃ	s_k	0.4
ˈe	ˈɛ	0.381
ˈɐ	ˈʉ	0.364
ˈɐ	ˈɔ	0.364
ˈeɪ̯	-	0.364
#>	ɾ_#>	0.36
ˈaɪ̯	ˈiː	0.35
ˈɒ	ˈʉː	0.333
ˈɒ	ˈɑ	0.333
ˈɒ	-	0.333
ˈɑː	ˈɑː	0.333
ɪ	ɪ	0.333
ɫ	lː	0.3
θ	-	0.294
ˈiː	-	0.292
ˈɔː	ɾ	0.286
ˈɐ	-	0.273
ˈuː	ˈoː	0.273
ˈiː	ˈøː	0.25
ˈaɪ̯	ˈɪ	0.25
ɡ	j	0.25
v	ʋ_ɑ	0.25
v	-	0.25
ˈəʊ̯	ˈoː	0.231
k	ɑ	0.231
ˈɑː	ˈɑ	0.222
ŋ	ʰkː	0.222
ˈɔː	ˈʊ_ɾ	0.214
ˈɔː	ˈɔ_ɾ	0.214
ˈɪ	ˈɪ	0.206
ˈæ	-	0.2
ˈaʊ̯	ˈʉ_ɡ	0.2
ˈaʊ̯	ˈʉ	0.2
#>	ɡ_#>	0.2
ə	ə	0.194
ˈuː	-	0.182
ˈeɪ̯	ˈɑ	0.182
n	nː	0.179
ˈɪ	ˈʏ	0.176
ˈiː	ˈoː	0.167
ɡ	-	0.167
t	ʰtː	0.167
ə	e	0.161
#>	j_ɑ_#>	0.16
ˈəʊ̯	-	0.154
ˈaɪ̯	ˈɛ	0.15
ˈaɪ̯	ˈyː	0.15
ˈɔː	ˈɑ_ɾ	0.143
ˈɔː	ˈɑ	0.143
ˈe	ˈøː	0.143
ˈiː	ˈæʉ̯	0.125
#>	ə_#>	0.12
θ	ç	0.118
ˈɪ	ˈiː	0.118
ˈɪ	ˈeː	0.118
s	ʂ	0.114
ŋ	ɲ	0.111
ˈæ	ˈæ	0.1
ˈaɪ̯	ˈʉː	0.1
w	v	0.1
w	kʰ_ʋ	0.1
p	ʰpː	0.1
h	j	0.1
ə	ɾ_e	0.097
f	-	0.095
m	mː	0.091
ˈɪ	ˈyː	0.088
ˈiː	ˈʉː	0.083
ˈiː	ˈeː	0.083
#>	ˈeː_#>	0.08
#>	ɡ_ɑ_#>	0.08
n	-	0.077
ə	ɾ_ɑ	0.065
ˈɪ	ˈʉ	0.059
ˈɪ	ˈɛ	0.059
ˈɪ	ˈœʏ̯	0.059
ˈɪ	ˈoː	0.059
ˈɪ	-	0.059
n	kʰ_n	0.051
