Ligurian	Ligurian	probability
ˈɛː_r	ˈɛ_rː	1.0
ˈø	ˈɔ	1.0
ˈy	ˈu	1.0
ˈiː_#>	ˈi_#>	1.0
ˈiː	ˈi	1.0
ˈi	ˈi	1.0
ˈe_ŋ	ˈɛ_n	1.0
ˈe_k	ˈi_kː	1.0
ˈe_j	ˈe	1.0
ˈaː_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʃ	ʃː	1.0
ɥ	a_t	1.0
ɔː	a_w	1.0
ŋ_k	ŋ_k	1.0
ŋ_d	nː	1.0
ŋ_#>	n_ə_#>	1.0
z_e	ə	1.0
y	-	1.0
w_ˈiː	ˈu_j	1.0
v_a	p_ə	1.0
sː	sː	1.0
s_a	ʃː_ə	1.0
o	-	1.0
j_d	dː	1.0
j_#>	#>	1.0
a_ʤ	a_j	1.0
<#_ʤ	<#_j	1.0
<#_ʃ	<#_ʃ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
f	f	0.95
v	v	0.929
p	p	0.9
d	d	0.875
u	ə	0.874
e	ə	0.86
k	k	0.854
ˈɔː	ˈɔ	0.846
a	ə	0.806
#>	ə_#>	0.767
ˈyː	ˈu	0.75
m	m	0.741
ʒ	ʃ	0.727
ˈɔ	ˈɔ	0.714
ɲ	ɲː	0.714
r	ɾ	0.7
ŋ	n	0.692
i	i	0.692
n	n	0.688
ˈaː	ˈa	0.667
ʧ	k_j	0.667
l	l	0.667
t	t	0.634
b	b	0.545
w	-	0.538
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ˈøː	ˈɔ	0.5
ˈøː	w	0.5
ˈuː	ˈu	0.5
ˈu	ˈu	0.5
ʤ	ʎː	0.5
s	s	0.49
ˈɛː	ˈa	0.455
<#	<#_w	0.444
ɡ	k	0.389
z	ʤ	0.385
s	ʃ	0.367
j	-	0.357
ˈeː	j_ˈɛ	0.35
ˈe	ˈe	0.333
ʧ	-	0.333
l	lː	0.333
<#	<#_r	0.333
t	tː	0.317
ʤ	kː_j	0.312
n	nː	0.312
w	w	0.308
i	-	0.308
r	r	0.3
ˈu	ˈo	0.292
ˈe	ˈɛ	0.292
ˈe	ˈi	0.292
ˈɔ	w_ˈɔ	0.286
ɲ	-	0.286
ɡ	ɡ	0.278
b	v	0.273
m	mː	0.259
ˈyː	ˈu_ɾ	0.25
ˈuː	ˈo_ɾ	0.25
ˈuː	ˈo	0.25
#>	l_ə_#>	0.233
z	j	0.231
ˈaː	ˈa_ɾ	0.222
<#	<#_a	0.222
j	ə_ɾ	0.214
ˈu	w_ˈɔ	0.208
ˈeː	ˈe	0.2
ˈeː	-	0.2
a	a	0.194
ʤ	ɲː	0.188
ˈɛː	ˈɛ	0.182
ˈɛː	ɾ	0.182
ˈɛː	-	0.182
ʒ	-	0.182
b	-	0.182
ɡ	ˈɔ_k	0.167
ɡ	-	0.167
ˈɔː	ˈɔ_ɾ	0.154
z	ʤː	0.154
z	-	0.154
w	ˈa_t	0.154
ˈeː	ˈɛ_ɾ	0.15
j	ɾ	0.143
j	ə_l	0.143
j	ə	0.143
d	ɾ	0.125
ŋ	ŋ	0.115
ŋ	-	0.115
ˈaː	ˈa_w	0.111
ˈeː	ˈɛ	0.1
p	p_w	0.1
e	i	0.1
k	k_w	0.098
ʒ	ʧ	0.091
ˈe	j_ˈɛ	0.083
ŋ	ə	0.077
z	z	0.077
v	p	0.071
u	u	0.069
s	ʦ	0.061
u	o	0.057
