Asturian	Eastern Lombard	probability
b	b	1.0
f	f	1.0
j	ˈi	1.0
k	k	1.0
p	p	1.0
ŋ	ŋ	1.0
ʃ	z	1.0
ʧ	t	1.0
w	-	0.471
ð	t	0.441
ɲ	ɲ	0.241
ʎ	ʧ	0.071
ˈi	ˈe	0.141
e	e	0.462
u	o_l	0.202
ɣ	-	0.062
ˈi	-	0.072
ˈo	ˈɔ	0.252
ˈo	ˈu	0.402
a	a	0.893
n	-	0.053
r	-	0.183
ɡ	k	0.153
ʝ	j	0.563
ˈa	ˈa	0.933
ˈe	ˈa	0.083
ˈu	ˈu	0.053
ˈu	ˈy	0.403
β	-	0.83
o	-	0.234
u	ˈø	0.414
ɾ	r	0.824
i	-	0.555
l	-	0.265
m	m	0.965
o	o	0.555
u	l	0.145
θ	z	0.095
e	e_r	0.176
i	i	0.226
l	l	0.676
o	ˈɔ	0.166
ˈe	ˈe	0.256
ˈo	ˈo	0.296
ˈu	ˈo	0.196
θ	-	0.096
n	ɲ	0.07
r	r	0.817
s	s	0.937
t	s	0.057
t	t	0.847
ɡ	ɡ	0.847
ʝ	-	0.437
ˈi	ˈi	0.687
β	b	0.17
d	d	0.968
e	ˈɛ	0.058
e	i	0.078
e	-	0.088
e	a	0.138
ɣ	ɡ	0.938
ʎ	l	0.88
ˈe	-	0.28
ˈi	ˈɛ	0.058
ˈu	ˈø	0.348
i	e	0.219
l	j	0.059
n	n	0.839
u	-	0.239
w	w	0.529
ð	d	0.559
ɲ	n	0.759
ɾ	-	0.149
ˈe	ˈɛ	0.29
θ	s	0.809
