Old Norse	Old English	probability
a	ɑ	0.585
a	e	0.296
a	i	0.069
b	b	0.987
c	-	0.616
c	ʧ	0.221
c	ʃː	0.107
c	k	0.056
cʰ	ʧ	0.679
cʰ	k	0.321
cː	ʧː	1.0
d	d	0.984
f	f	0.931
f	ʃ	0.069
h	h	1.0
i	o	0.284
i	ɑ	0.24
i	e	0.225
i	-	0.178
i	a	0.056
j	ˈeːo̯	0.591
j	ˈeo̯	0.193
j	-	0.118
j	ˈɛ	0.052
k	k	0.398
k	ʧ	0.315
k	-	0.228
k	ʃ	0.059
kʰ	k	0.794
kʰ	ʧ	0.206
kː	ŋ_k	0.563
kː	kː	0.369
kː	k	0.068
l	l	0.672
l	ɫ	0.255
lː	l	0.403
lː	lː	0.328
lː	ɫ	0.269
l̥	l̥	1.0
m	m	0.994
mː	mː	0.673
mː	f	0.327
n	n	0.955
nː	n	0.518
nː	nː	0.223
nː	θ	0.126
nː	-	0.08
p	p	0.924
p	pː	0.076
pː	pː	1.0
r	r	0.48
r	-	0.46
rː	r	0.855
rː	rː	0.145
r̥	r̥	0.842
r̥	h	0.158
s	s	0.78
s	ʃ	0.125
s	-	0.061
sː	s	1.0
t	t	0.966
tʰ	t	0.956
tː	x	0.554
tː	ç	0.364
tː	t	0.082
u	o	0.3
u	-	0.272
u	i	0.218
u	ɑ	0.133
u	e	0.077
v	w	0.503
v	v	0.207
v	f	0.163
v	z	0.061
w	ˈæ	0.709
w	-	0.291
x	ʍ	1.0
ç	h	1.0
ð	d	0.711
ð	θ	0.108
ð	ð	0.073
ð	nː	0.064
ŋ	ŋ	0.852
ŋ	n	0.096
ŋ	-	0.051
ɑ	ɑ	0.694
ɑ	e	0.244
ɑː	iːy̯	1.0
ɟ	j	0.411
ɟ	ɡ	0.383
ɟ	ɣ	0.207
ɟː	ʤ	1.0
ɡ	ɡ	0.765
ɡ	j	0.11
ɡ	-	0.061
ɡː	ʤ	0.581
ɡː	j	0.419
ɣ	j	0.524
ɣ	ɣ	0.476
ɾ	r	1.0
ʝː	ʤː	1.0
ʦ	d	1.0
ˈa	ˈɑ	1.0
ˈe	ˈe	0.466
ˈe	ˈeo̯	0.206
ˈe	ˈi	0.165
ˈe	ˈɑ	0.085
ˈeː	ˈeː	0.613
ˈeː	ˈeːo̯	0.286
ˈeː	ˈi	0.08
ˈi	ˈi	0.885
ˈi	ˈiː	0.076
ˈiː	ˈiː	0.854
ˈiː	ˈi	0.093
ˈiː	ˈiːy̯	0.053
ˈo	ˈo	0.668
ˈo	ˈy	0.132
ˈo	ˈu	0.118
ˈoː	-	0.277
ˈoː	ˈoː	0.277
ˈoː	w	0.222
ˈoː	ˈæː	0.093
ˈoː	ˈo	0.052
ˈu	ˈu	0.525
ˈu	w_ˈu	0.156
ˈu	ˈy	0.114
ˈu	ˈuː	0.111
ˈuː	ˈuː	0.484
ˈuː	-	0.479
ˈy	ˈo	0.449
ˈy	ˈy	0.244
ˈy	ˈi	0.244
ˈy	ˈeo̯	0.064
ˈyː	ˈiːy̯	0.331
ˈyː	ˈeːo̯	0.31
ˈyː	ˈu	0.157
ˈyː	ˈuː	0.103
ˈyː	ˈyː	0.099
ˈøy̯	ˈiːy̯	0.598
ˈøy̯	ˈæːɑ̯	0.265
ˈøy̯	ˈeː	0.136
ˈøː	ˈeː	0.795
ˈøː	ˈyː	0.15
ˈøː	ˈe	0.055
ˈɑ	ˈæɑ̯	0.323
ˈɑ	ˈɑ	0.234
ˈɑ	-	0.126
ˈɑ	ˈæ	0.116
ˈɑu̯	ˈæːɑ̯	0.893
ˈɑu̯	o	0.107
ˈɑː	ˈæːɑ̯	0.285
ˈɑː	ˈæː	0.245
ˈɑː	ˈoː	0.223
ˈɑː	ˈɑː	0.111
ˈɑː	ˈi	0.06
ˈɑː	-	0.051
ˈɒu̯	-	0.754
ˈɒu̯	ˈæːɑ̯	0.246
ˈɔ	-	0.564
ˈɔ	ˈɑ	0.235
ˈɔ	ˈoː	0.108
ˈɔ	ˈæːɑ̯	0.065
ˈɔː	ˈoː	1.0
ˈɛ	ˈæː	0.191
ˈɛ	ˈe	0.186
ˈɛ	ˈeːo̯	0.157
ˈɛ	ˈɛ	0.153
ˈɛ	ˈæ	0.106
ˈɛ	ˈo	0.104
ˈɛi̯	ˈɑː	1.0
ˈɛː	ˈæːɑ̯	0.597
ˈɛː	ˈiy̯	0.157
ˈɛː	ˈɑː	0.152
θ	θ	0.989
