Zeelandic	Zeelandic	probability
ˈʏ	-	1.0
ˈɑu̯	ˈɔ_l	1.0
ˈøː	-	1.0
ˈæi̯	ˈɛɪ̯	1.0
ˈuːə̯	-	1.0
ˈiːə̯	ˈɛɪ̯	1.0
ɾ_ə	ɐ	1.0
ɾ_t	ɐ_t	1.0
ɫ_ə	l	1.0
ɫ	l	1.0
ə_ɾ	ɐ	1.0
ə_ɫ	l	1.0
ə_#>	#>	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z̥_#>	#>	1.0
z̥	z̥	1.0
z_ˈøː	z	1.0
z_ə	z	1.0
x_#>	ç_#>	1.0
w	-	1.0
s_x	ʃ	1.0
p_ə	b_m	1.0
p	p	1.0
n_d	n	1.0
m	m	1.0
iː	ɒː	1.0
i	ɪ	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
b	b	1.0
<#_ˈɛː	<#	1.0
<#_ˈɔ	<#_ˈʏ	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
#>	n_#>	1.0
t	t	0.955
k	k	0.929
d	d	0.926
ˈɛː	ˈɒː	0.882
v	f	0.875
n	n	0.868
ʋ	v	0.864
ˈyː	ˈuː	0.833
ˈɑ	ˈa	0.826
ˈɪ	ˈɪ	0.824
z	z	0.765
ˈɪə̯	ˈɛɪ̯	0.75
n_ə	n	0.714
v̥	f	0.667
ˈʊə̯	ˈeo̯	0.647
ˈiː	ˈɛɪ̯	0.647
s	s	0.625
ˈu	ˈʊ	0.6
ˈi	ˈiː	0.6
ˈuː	-	0.571
ə	ə	0.571
ˈɒː	ˈa	0.5
ˈɒː	-	0.5
ˈeː	ˈeː	0.5
ɾ	ɐ	0.5
j	j	0.5
j	-	0.5
ˈæ	ˈɛ	0.429
ˈæ	-	0.429
ˈuː	ˈɔʏ̯	0.429
ˈɔ	ˈʊ	0.4
ˈu	-	0.4
ˈi	ˈɪ	0.4
ɾ	r	0.395
ə	n	0.381
x	ɣ	0.379
s	ʃ	0.375
ˈɔ	ˈɔ	0.333
n_ə	n_n	0.286
ˈɔ	-	0.267
ˈɪə̯	-	0.25
ˈeː	ˈɛ	0.25
ˈeː	-	0.25
ˈʊə̯	ˈoː	0.235
z	s	0.235
v̥	v	0.222
x	x	0.207
ˈɪ	ˈʏ	0.176
ˈiː	ˈyː	0.176
ˈiː	-	0.176
ˈyː	ˈiː	0.167
ˈæ	ˈa	0.143
x	j	0.138
ʋ	w	0.136
ˈɑ	-	0.13
v	v	0.125
ˈʊə̯	-	0.118
ˈɛː	-	0.118
v̥	v̥	0.111
x	ɡ	0.103
n	-	0.079
d	n	0.074
k	-	0.071
x	ç	0.069
x	-	0.069
ɾ	ˈeː	0.053
ɾ	r_ˈʏ	0.053
n	n_ə	0.053
