Sicilian	Sicilian	probability
ˈɛ_ʦː	i	1.0
ˈɛ_ɖː	oʊ̯	1.0
ˈɛ_n	ã	1.0
ˈɛ_j	i	1.0
ˈɔ_n	ɒ̃ʊ̯̃	1.0
ˈɔ_k	øʏ̯	1.0
ˈɔ_cː	u	1.0
ˈu_ɕ	w	1.0
ˈu_tː	u	1.0
ˈu_sː	u	1.0
ˈu_j	u	1.0
ˈo_n	ɒ̃ʊ̯̃	1.0
ˈo	ɒ̃ʊ̯̃	1.0
ˈi_ɾ	w	1.0
ˈi_nː	ɛ_n	1.0
ˈi_n	ẽɪ̯̃	1.0
ˈe	-	1.0
ˈa_ʈ	æɛ̯	1.0
ˈa_ɾ	e	1.0
ˈa_w	oʊ̯	1.0
ˈa_t	e	1.0
ˈa_r	e	1.0
ˈa_nː	ã	1.0
ˈa_n	ẽɪ̯̃	1.0
ʧː	-	1.0
ʦː	-	1.0
ʦ	-	1.0
ʤː	-	1.0
ʤ	ʒ	1.0
ʐː	ʁ	1.0
ʊ_#>	#>	1.0
ʈː	t	1.0
ʈ	t	1.0
ʃː	-	1.0
ʃ	e	1.0
ɾ_n	ʁ	1.0
ɾ_a	ʁ	1.0
ɽ	ʁ	1.0
ɲː_ʊ	ẽɪ̯̃	1.0
ɲː	ɲ	1.0
ɲ	ẽɪ̯̃	1.0
ɪ_r	ʁ	1.0
ɪ_#>	#>	1.0
ɟː_a	j	1.0
ɟː	-	1.0
ɟ	ɡ_l	1.0
ɖː_a	l	1.0
ɖː	l	1.0
ɕ_ˈi	s	1.0
ɕ_ɪ_#>	#>	1.0
ç	f_l	1.0
z	-	1.0
w	-	1.0
tː_ʊ	i	1.0
sː_ʊ	o	1.0
r	ʁ	1.0
p_ɪ	v	1.0
o	ɔ	1.0
nː	ã	1.0
n_t	ẽɪ̯̃	1.0
n_a	n	1.0
mː	-	1.0
l_ʊ	ɛ_l	1.0
l_ɪ	ɛ_l	1.0
kː_a	ʃ	1.0
kː	-	1.0
k_ˈa	ʃ	1.0
k_w	k	1.0
k_a	ʃ	1.0
j	ʒ	1.0
fː	f	1.0
f	f	1.0
dː	-	1.0
cː	-	1.0
bː	v	1.0
b	b	1.0
a_s	e	1.0
a_n	ã	1.0
a_#>	#>	1.0
<#_ˈɔ	<#	1.0
<#_ˈa	<#	1.0
<#_ʐ	<#_ʁ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
m	m	0.875
l	l	0.867
s	s	0.84
ˈu_n	ɒ̃ʊ̯̃	0.8
ɾ	ʁ	0.769
p	p	0.757
v	v	0.733
ɡ	ɡ	0.727
d	d	0.667
n	n	0.625
ŋ	-	0.6
tː	t	0.6
t_ʊ_#>	#>	0.6
ɕ	s	0.545
t	-	0.538
c	p_l	0.5
c	p	0.5
<#_a	<#_a	0.5
<#_a	<#	0.5
k	k	0.48
i	-	0.45
u	u	0.429
ˈa	æɛ̯	0.405
ɪ_ɾ	ʁ	0.4
ɪ_ɾ	d	0.4
ŋ	ẽɪ̯̃	0.4
tː	-	0.4
t_ʊ_#>	ɛ_#>	0.4
t	t	0.385
n	ẽɪ̯̃	0.375
ˈɛ	j	0.35
ʊ	ʁ	0.333
ʊ	ɛ	0.333
ʊ	-	0.333
d	-	0.333
k	ʃ	0.32
ɪ	ɛ	0.312
a	ɛ	0.308
a	a	0.308
u	ɔ	0.286
u	-	0.286
ɡ	-	0.273
ɕ	z	0.273
ˈa	a	0.27
ˈi	w	0.256
ˈɛ	æɛ̯	0.25
ˈɛ	-	0.25
ɪ	ʁ	0.25
ɪ	i	0.25
i	œ	0.25
ˈu	y	0.235
ˈi	ɪ	0.233
a	-	0.231
ˈɔ	ɑɔ̯	0.207
ˈɔ	œ	0.207
ˈu_n	œ̃ʏ̯̃	0.2
ɪ_ɾ	ɛ_ʁ	0.2
k	-	0.2
i	æɛ̯	0.2
ɪ	-	0.188
ɕ	-	0.182
v	-	0.167
ˈa	-	0.162
p	-	0.162
s	-	0.16
a	ʁ	0.154
ˈɛ	ɛ	0.15
ˈi	i	0.14
ˈɔ	ɥ	0.138
ˈɔ	ɔ	0.138
ˈɔ	u	0.138
l	-	0.133
ɾ	-	0.128
m	-	0.125
ˈu	ɥ	0.118
ˈu	w	0.118
ˈu	u	0.118
ˈu	-	0.118
ˈɔ	-	0.103
v	f	0.1
i	w_ɛ	0.1
ˈi	ɛ	0.093
ˈi	w_ɛ	0.093
ˈu	ʊ	0.088
ˈu	aœ̯	0.088
ˈa	e	0.081
ˈa	ã	0.081
p	v	0.081
t	ʦ	0.077
ˈi	æɛ̯	0.07
ˈi	-	0.07
ˈɔ	øʏ̯	0.069
ˈu	ʏ	0.059
ˈu	ɒ̃ʊ̯̃	0.059
ɾ	ɛ	0.051
ɾ	e	0.051
