Czech	Belarusian	probability
ʧ_ɛ	ʧ_a	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʃ_c	ʃ	1.0
ɟ	ʣʲ	1.0
ɛ_l	æ_lʲ	1.0
z̥	z̥	1.0
v_j	vʲ	1.0
uː	o	1.0
u	u	1.0
t_iː	t_ɨ	1.0
r̩	r	1.0
r̝̊	r	1.0
r̝_ɛ	r_a	1.0
r̝	r	1.0
ou̯_ɦ	ɣʲ	1.0
ou̯	u	1.0
o_d	a_d	1.0
n	n	1.0
m̩	m	1.0
l_u	o	1.0
j_a	j_æ	1.0
f	w	1.0
d_l	ɫ	1.0
b̥	b̥	1.0
ɦ	ɣ	0.907
c	ʦʲ	0.9
d̥	d̥	0.8
r	r	0.772
k	k	0.767
v	v	0.745
d	d	0.679
x	x	0.665
o	o	0.629
p	pʲ	0.618
l	ɫ	0.614
a	a_ˈ	0.612
s	s	0.607
b	b	0.603
z	z	0.601
j	j	0.6
aː	a_ˈ	0.597
iː	ɨ	0.585
ɲ	nʲ	0.562
m	m	0.553
t	ʦʲ	0.537
l̩	-	0.506
l̩	w	0.494
t	t	0.463
ɪ	ɨ_ˈ	0.453
m	mʲ	0.447
ɲ	-	0.438
ɛ	e	0.414
j	-	0.4
z	zʲ	0.399
b	bʲ	0.397
s	sʲ	0.393
p	p	0.382
ɛː	ɫ	0.338
ɛː	e	0.338
x	xʲ	0.335
ɛː	-	0.324
a	a	0.316
ɪ	i_ˈ	0.303
o	a	0.279
l	lʲ	0.266
v	vʲ	0.255
r	a_r	0.228
iː	i	0.216
aː	o	0.202
aː	a	0.202
d̥	d̥ʲ	0.2
d	-	0.188
k	kʲ	0.168
ɛ	o_ˈ	0.162
ɪ	i	0.147
ɛ	æ	0.147
ɛ	a	0.136
d	ʣʲ	0.133
iː	e	0.131
c	ʤ̥	0.1
ɪ	ɨ	0.097
ɦ	-	0.093
o	v_o	0.091
ɛ	ɵ_ˈ	0.076
l	ʌ	0.067
iː	æ	0.067
k	x	0.065
l	ʌ_ɫ	0.053
