Sassarese	Sassarese	probability
ˈɛ_j	ˈɛ_r	1.0
ˈɔ_ɬ	ˈɔ_r	1.0
ˈi_#>	r_e_#>	1.0
ˈe_r	ˈɛ_l	1.0
ˈa_i_#>	ˈa_#>	1.0
ˈa_#>	ˈa_r_e_#>	1.0
ˈa	ˈa	1.0
ʧː	kː_j	1.0
ʧ	k_j	1.0
ʦ	ʧ	1.0
ʤː	-	1.0
ʤ	ʤ	1.0
ʣ	ʣː	1.0
ʒ	-	1.0
ʎː	ʎː	1.0
ʃː	ʃː	1.0
ɮ	-	1.0
ɡː	k	1.0
ɡ	ɡ	1.0
ɔ	o_n	1.0
ŋ	ŋ	1.0
z	z	1.0
x	k	1.0
w	w	1.0
v	v	1.0
u_r	o_l	1.0
u_d	o_t	1.0
tː	tː	1.0
t_ˈo	t_ˈu	1.0
t	t	1.0
s	s	1.0
r_ˈi	r_ˈi	1.0
r_ˈa	r	1.0
r_u	l_o	1.0
r_i	l_e	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	-	1.0
l	l	1.0
kː	kː	1.0
k	k	1.0
i_ɬ	s	1.0
i_pː	s_p	1.0
i_n	i_n	1.0
fː	fː	1.0
f	f	1.0
e	e	1.0
dː_a	t_a	1.0
d	d	1.0
b_ˈo	v_ˈo	1.0
a_r	e_r	1.0
a_dː	a_t	1.0
a_bː	a_p	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
a	a	0.972
b	b	0.905
u	o	0.873
ˈu	ˈu	0.864
r	r	0.861
β	v	0.857
j	j	0.85
ˈi	ˈi	0.774
ɲː	ɲː	0.714
i	e	0.675
ɬ	s	0.667
sː	sː	0.667
ˈo	ˈo	0.611
xː	s_k	0.6
rː	r_n	0.6
nː	n	0.6
bː	p	0.6
ˈe	ˈɛ	0.586
#>	r_e_#>	0.556
ˈɔ	ˈɔ	0.537
ˈɛ	ˈe	0.531
dː	lː	0.474
ˈɛ	ˈɛ	0.469
#>	e_#>	0.444
xː	k	0.4
rː	rː	0.4
nː	-	0.4
bː	bː	0.4
ˈo	ˈɔ	0.389
dː	t	0.368
ˈɔ	ˈo	0.366
ʦː	ʦː	0.333
ʦː	l_s	0.333
ʦː	-	0.333
ɬ	l	0.333
sː	r_s	0.333
ɲː	n_ʤ	0.286
i	i	0.2
ˈe	ˈe	0.172
j	-	0.15
β	-	0.143
r	l	0.139
ˈe	ˈe_r	0.138
ˈu	ˈo	0.136
ˈi	ˈe	0.129
dː	-	0.105
ˈe	j_ˈɛ	0.103
ˈi	e	0.097
b	v	0.095
dː	dː	0.053
