Friulian	Franco-Provençal	probability
a	a	0.44
a	-	0.108
a	ə	0.108
a	e	0.072
a	ˈɛ	0.072
a	ˈø	0.059
a	ˈa	0.058
aː	ˈø	1.0
b	b	1.0
c	ʃ	0.762
c	t	0.122
c	s	0.091
d	d	0.464
d	-	0.221
d	t	0.075
d	ʒ	0.065
e	a	0.623
e	ə	0.184
e	-	0.101
e	i	0.051
f	f	0.987
i	ə	0.312
i	-	0.268
i	o	0.152
i	j	0.094
i	ɔ	0.066
i_s	ə	1.0
j	-	0.82
j	e	0.059
k	k	0.693
k	-	0.237
l	l	0.837
l	-	0.1
l_i	ʎ	1.0
l_t	t	1.0
m	m	0.924
m	-	0.073
n	n	0.727
n	-	0.155
n	m	0.083
o	ɔ	0.29
o	o	0.274
o	-	0.123
o	ˈeː	0.123
o	u	0.089
o	ɔ̃	0.066
p	p	0.923
p	-	0.073
r	ʁ	0.875
r	-	0.086
r_t	ʁ	1.0
s	s	0.502
s	-	0.336
s	ʃ	0.055
s	ˈɛ_ʃ	0.055
s_t	t	1.0
t	-	0.588
t	t	0.372
u	o	0.231
u	-	0.175
u	i	0.133
u	ʎ	0.133
u	u	0.096
u	ɔ	0.093
u	a	0.075
v	v	0.76
v	-	0.072
w	ˈoː	0.319
w	-	0.296
w	w	0.165
w	ˈu	0.09
w	ˈo	0.066
w	ˈø	0.051
w_ˈi	ˈɔ	1.0
z	z	0.389
z	-	0.295
z	ʃ	0.131
z	s	0.126
ŋ	-	0.367
ŋ	ĩ	0.242
ŋ	ˈɔ̃	0.242
ŋ	ˈĩ	0.095
ŋ_ɡ	ɡ	0.489
ɟ	ʃ	0.66
ɟ	ʒ	0.158
ɡ	ɡ	0.867
ɡ	-	0.132
ɲ	n	0.416
ɲ	ɲ	0.334
ɲ	ˈɛ̃	0.164
ʤ	ʒ	0.33
ʤ	ð	0.281
ʤ	s	0.161
ʧ	s	0.638
ʧ	z	0.176
ʧ	k	0.081
ʧ	-	0.075
ˈa	ˈa	0.304
ˈa	ˈɔ	0.228
ˈa	-	0.186
ˈa	j_ˈɛ	0.092
ˈa	ˈɛ	0.07
ˈa	ˈeː	0.053
ˈa	ˈoː	0.053
ˈa_l	ˈoː	0.723
ˈa_l	ˈɔ	0.203
ˈa_n	ˈɑ̃	0.832
ˈa_n	ˈɛ̃	0.161
ˈa_r	ʁ	1.0
ˈa_t	ˈa	1.0
ˈa_ŋ	ˈɑ̃	0.784
ˈa_ŋ	ˈĩ	0.124
ˈaː	ˈa	0.389
ˈaː	ˈɛ	0.339
ˈaː	a	0.146
ˈaː_s	ˈɔ	1.0
ˈe	ˈɛ	0.272
ˈe	ˈeː	0.26
ˈe	ˈɛ̃	0.096
ˈe	w_ˈɛ	0.092
ˈe	ə	0.063
ˈe	ˈo	0.063
ˈe	ˈoː	0.054
ˈe	ˈi	0.053
ˈeː	ˈeː	0.626
ˈeː	ˈeː_ʁ	0.372
ˈi	ˈi	0.612
ˈi	ˈe	0.228
ˈi	-	0.055
ˈi	ˈeː	0.052
ˈi_n	ˈɛ̃	0.45
ˈi_n	ˈĩ	0.361
ˈi_n	ˈɔ̃	0.163
ˈiː	ˈi	0.584
ˈiː	j	0.188
ˈiː	j_ˈɛ	0.151
ˈo	ˈo	0.255
ˈo	ˈu	0.179
ˈo	ˈoː	0.103
ˈo	ˈɔ	0.103
ˈo	ˈe	0.089
ˈo	ˈy	0.078
ˈo	ˈø	0.078
ˈo	ˈɛː	0.062
ˈo_n	ˈɔ̃	1.0
ˈoː	w	0.409
ˈoː	ˈo	0.303
ˈoː	ˈø	0.117
ˈoː	ˈɔ	0.117
ˈu	w	0.205
ˈu	ˈo	0.205
ˈu	ˈoː	0.205
ˈu	ˈe	0.135
ˈu	ˈɔ̃	0.1
ˈu	ˈɛ	0.1
ˈu_n	ˈɔ̃	1.0
ˈuː	w	0.236
ˈuː	ˈo	0.236
ˈuː	ˈoː	0.205
ˈuː	ˈu	0.129
ˈuː	-	0.098
ˈɔ	ˈu	0.272
ˈɔ	w_ˈe	0.218
ˈɔ	ˈa	0.144
ˈɔ	w	0.116
ˈɔ	a	0.101
ˈɔ	ˈo	0.073
ˈɔ_n	ˈɔ̃	1.0
ˈɔː	w	0.489
ˈɛ	ˈɛ	0.513
ˈɛ	-	0.155
ˈɛ	ˈi	0.117
ˈɛ	ˈeː	0.07
ˈɛ	ˈe	0.061
ˈɛ_n	ˈɛ̃	1.0
ˈɛː	ˈɛ	1.0
