Logudorese	Italian	probability
#>	#>	1.0
<#	<#	1.0
<#_a	<#	1.0
<#_i	<#	1.0
a	a	0.917
ă	e	1.0
b	b	0.403
b	v	0.37
b	ɡ	0.081
b	k_w	0.073
d	d	0.92
d	-	0.08
e	e	0.777
e	-	0.165
ĕ	-	0.425
ĕ	j	0.425
ĕ	e	0.09
f	f	1.0
i	i	0.456
i	e	0.24
i	-	0.137
i	ˈi	0.077
i	ˈe	0.052
j	j	0.322
j	ʤ	0.275
j	i	0.146
j	-	0.1
k	k	0.772
k	ʧ	0.159
l	l	0.964
m	m	0.873
m	ŋ	0.125
n	n	0.795
n	-	0.107
n	ɲ	0.061
o	o	0.491
o	-	0.267
o	e	0.15
o	u	0.065
ŏ	i	0.683
ŏ	o	0.234
p	p	1.0
r	r	0.786
r	j	0.104
r	-	0.093
s	s	0.826
s	ʃ	0.07
s	-	0.053
s	ʧ	0.051
t	t	0.967
u	o	0.947
ŭ	o	0.519
ŭ_#>	#>	1.0
v	k	1.0
w	w	0.393
w	ˈɔ	0.204
z	-	0.632
z	z	0.133
z	k	0.076
z	t	0.066
z	ʣ	0.065
ð	t	0.653
ð	d	0.198
ð	-	0.075
ð	b	0.065
ŋ	n	0.583
ŋ	ŋ	0.398
ɖ	l	0.904
ɖ	d	0.091
ɡ	ʤ	0.503
ɡ	ɡ	0.429
ɡ	-	0.061
ɣ	ʧ	0.334
ɣ	ɡ	0.249
ɣ	k	0.248
ɣ	-	0.099
ɲ	ɲ	0.608
ɲ	n	0.275
ʃ	s	0.519
ʣ	ʎ	0.484
ʣ	ɲ	0.324
ʣ	ʣ	0.138
ʦ	ʦ	0.74
ʦ	t	0.151
ˈa	ˈa	0.938
ˈe	ˈɛ	0.561
ˈe	ˈe	0.272
ˈe	j_ˈɛ	0.087
ˈi	ˈi	0.521
ˈi	ˈe	0.273
ˈi	ˈe_k	0.072
ˈo	ˈɔ	0.405
ˈo	ˈo	0.211
ˈo	w_ˈɔ	0.193
ˈo	ˈu	0.077
ˈu	ˈu	0.503
ˈu	ˈo	0.454
β	v	0.419
β	p	0.344
β	-	0.135
β	b	0.09
