Swiss German	Swiss German	probability
χː_ə	k	1.0
ˈɒː_r	ʀ	1.0
ˈøː	-	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈæi̯_#>	#>	1.0
ˈæ_r	ʀ	1.0
ˈeː	ˈiː	1.0
ˈei̯	ˈi	1.0
ˈe	-	1.0
ʦ	t	1.0
ʋ_ˈu	v	1.0
ʃː_tː	s_t	1.0
ʃː	ʃ	1.0
ɣ̊	k	1.0
æ	ɛi̯	1.0
z̥_#>	s_#>	1.0
z̥	s	1.0
w	lʲ	1.0
v̥	f	1.0
tː_ə	dʲ_ə	1.0
tː_r	d_ʀ	1.0
tː_#>	#>	1.0
r_n	ʀ_n	1.0
p͡f	p	1.0
pː	-	1.0
m	m	1.0
j	-	1.0
i_#>	#>	1.0
i	i	1.0
h	h	1.0
d̥_ə	ə	1.0
d̥_#>	#>	1.0
b̥_ə	ə	1.0
<#_ʋ	<#	1.0
<#_ɣ̊	<#	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_ʀ	1.0
<#_l	<#_j	1.0
<#	<#_j	1.0
l	l	0.933
n	n	0.919
r	ʀ	0.907
b̥	b	0.864
ˈiː	ˈi	0.818
ʋ	v	0.818
ɡ̊_#>	#>	0.818
ŋ	ŋ	0.818
<#_tː	<#_d	0.8
<#_d̥	<#_t	0.778
d̥	d	0.75
ə	ə	0.742
ˈæi̯	ˈiː	0.727
ʒ̊	s	0.722
ˈau̯	ˈuː	0.714
ˈuː	ˈʏ	0.7
ˈiə̯	-	0.667
b̥_#>	v̥_#>	0.667
ˈuə̯	ˈœ	0.625
ˈyə̯	ˈɛ	0.6
kː	k	0.6
#>	ə_#>	0.6
fː	p	0.583
ˈu	ˈʊ	0.562
ˈy	-	0.556
ɡ̊	ɡ	0.524
tː	t	0.517
ˈyː	ˈiː	0.5
ˈyː	-	0.5
ˈoː	-	0.462
χː	x	0.455
χː	k	0.455
ˈyə̯	-	0.4
kː	-	0.4
#>	nʲ_#>	0.4
ˈɒ	-	0.393
ˈuə̯	-	0.375
ˈiə̯	ˈiː	0.333
sː	tʲ	0.333
b̥_#>	#>	0.333
ˈi	ˈa	0.318
ˈɒː	-	0.308
ˈoː	ˈyː	0.308
ˈuː	ˈœː	0.3
ˈau̯	-	0.286
sː	t	0.286
ˈæ	ˈeː	0.278
ʒ̊	ʃ	0.278
ˈæi̯	-	0.273
ˈo	ˈɔ	0.267
ˈu	-	0.25
fː	v_ə	0.25
d̥	d̥	0.25
tː	d̥	0.241
ˈɒː	ˈɛi̯	0.231
ˈɒː	ˈɒː	0.231
ˈɒː	ˈeː	0.231
ˈoː	ˈuː	0.231
ˈi	ˈi	0.227
ə	-	0.227
ˈæ	ˈɛː	0.222
ˈy	ˈʏ	0.222
ˈy	ˈeː	0.222
<#_d̥	<#	0.222
ˈo	ˈœ	0.2
<#_tː	<#	0.2
ɡ̊	j	0.19
ˈu	ˈa	0.188
ˈiː	-	0.182
ˈi	-	0.182
ɡ̊_#>	ŋ_#>	0.182
ŋ	nʲ	0.182
ˈɒ	ˈɒ	0.179
ˈæ	-	0.167
fː	v̥	0.167
ˈɒ	ˈɒː	0.143
ˈɒ	ˈœ	0.143
ɡ̊	-	0.143
sː	s	0.143
sː	d	0.143
tː	dʲ	0.138
b̥	v	0.136
ˈo	ˈʊ	0.133
ˈo	ˈɔː	0.133
ˈo	ˈœː	0.133
ˈo	-	0.133
ˈæ	ˈʊ	0.111
ˈæ	ˈɒ	0.111
ˈæ	j_ˈa	0.111
tː	d	0.103
ɡ̊	j_ə	0.095
sː	z	0.095
r	-	0.093
χː	-	0.091
ˈi	ˈɛ	0.091
ˈi	ˈɔː	0.091
ˈi	ˈai̯	0.091
ʋ	v_ˈʊ	0.091
ʋ	-	0.091
n	-	0.081
ˈɒ	ˈʊ	0.071
ˈɒ	ˈɔː	0.071
l	lʲ	0.067
