Old Chinese	Old Chinese	probability
ʦʰ	tʰ	1.0
ʔ_s	t	1.0
ʔ_#>	#>	1.0
ɢʷ	-	1.0
ɡʷ	v	1.0
ŋʷ	ᵑɡ	1.0
ŋ_ʔ	ŋ	1.0
ŋ_s	ŋ_³²	1.0
w	k̚	1.0
uː	a	1.0
u_ʔ	w_⁵⁵	1.0
u_#>	w_³³_#>	1.0
tʰ	ʦʰ	1.0
t	ʦ	1.0
sʰ	tʰ	1.0
s_r	s	1.0
r̥ʰ	h_a	1.0
r_ɯ	i	1.0
r_aː	a	1.0
r_a	e	1.0
r	-	1.0
qʰʷ	-	1.0
qʰ	h	1.0
q	j	1.0
pʰ	pʰ	1.0
n_ʔ	n_⁵⁵	1.0
n_i	ᵑɡ	1.0
l̥ʰ	h	1.0
lʼ	-	1.0
kʷ	k	1.0
kʰʷ	-	1.0
kʰ_l	ʦʰ	1.0
kʰ	h	1.0
k	k	1.0
j	-	1.0
iː	e	1.0
hʷ	f	1.0
aː_ʔ	u_⁵⁵	1.0
<#_ŋ	<#_ᵑɡ	1.0
<#_q	<#_w	1.0
<#_n	<#_ⁿd	1.0
n	n	0.867
ŋ	ŋ	0.818
<#_r	<#_l	0.714
oː	ɵ	0.667
h	h	0.667
eː	a	0.667
b	pʰ	0.667
ɡ	k̚	0.652
l	j	0.643
u	ɵ	0.625
n_s	n	0.6
d_s	j_³³	0.6
d	t̚	0.583
<#	<#_f	0.571
m	ᵐb	0.524
ɯ_ʔ	u_²¹	0.5
ɯ_ʔ	u	0.5
p	p	0.5
p	f	0.5
o	ɵ	0.5
o	a	0.5
s	ɬ	0.462
i	i	0.462
ʔ	j_⁵⁵	0.444
ɯ	e	0.444
e	e	0.429
aː	ɔ	0.429
<#	<#_h	0.429
ɯː	w_ɔ	0.417
ɯː	a	0.417
n_s	n_³²	0.4
d_s	j	0.4
#>	³³_#>	0.389
s	-	0.385
u	u	0.375
l	-	0.357
aː	w_ɔ	0.357
ʔ	w_⁵⁵	0.333
ɯ	u	0.333
oː	w	0.333
h	-	0.333
eː	j_a	0.333
b	-	0.333
a	u	0.308
m	m	0.286
e	u	0.286
e	a	0.286
<#_r	<#	0.286
#>	²²_#>	0.278
d	s	0.25
i	j	0.231
a	ɔ	0.231
a	j_a	0.231
a	a	0.231
ʔ	-	0.222
ɯ	-	0.222
ɡ	-	0.217
aː	a	0.214
m	-	0.19
ɯː	ɔ	0.167
d	-	0.167
#>	⁵⁵_#>	0.167
s	j_³³	0.154
i	e	0.154
i	-	0.154
#>	³²_#>	0.144
ŋ	n_²²	0.136
n	-	0.133
ɡ	t̚	0.13
