North Frisian	Dutch	probability
ˈɛː_d	ˈeː	1.0
ˈɛː	ˈaː	1.0
ˈɛ	ˈu	1.0
ˈɔ_r	ˈoː_ɾ	1.0
ˈɒː_s	ˈɑ_s	1.0
ˈɒː_d	ˈaː_t	1.0
ˈɒ	ˈɑ	1.0
ˈœi̯	-	1.0
ˈuː_l	ˈɑ_ɫ	1.0
ˈeː_#>	ˈɛi̯_#>	1.0
ˈai̯_ŋ	ˈɪ_ŋ	1.0
ˈa_n	ˈɛ_n	1.0
ʃ_#>	s_#>	1.0
ʃ	k	1.0
ə_v	v̥	1.0
ə_#>	n_#>	1.0
ŋ_ə	ŋ_ə	1.0
ŋ_#>	ŋ_#>	1.0
z_ə	t_ə	1.0
z	z	1.0
x	χ	1.0
w_#>	#>	1.0
v_ə	v_ə	1.0
v_#>	f_#>	1.0
tʲ_#>	t_#>	1.0
tʲ	t_ə	1.0
t_ə	t_ə	1.0
t_#>	t_#>	1.0
t	t	1.0
s_t	s_t	1.0
r_s	ɾ_s	1.0
r_#>	ɾ_#>	1.0
p_ə	p_ə	1.0
p_#>	p_#>	1.0
n_i	n_ɪ	1.0
n	n	1.0
m_#>	m_#>	1.0
l_v	ɫ_ə_f	1.0
l_#>	ɫ_#>	1.0
l	ɫ	1.0
k_#>	k_#>	1.0
j_ə	χ_ə	1.0
j_#>	χ_#>	1.0
j	-	1.0
i_#>	ə_χ_#>	1.0
f_#>	v̥_#>	1.0
f	ˈu	1.0
dʲ_ə	d_ə	1.0
dʲ_#>	d̥_#>	1.0
b	-	1.0
<#_ˈɔu̯	<#_ˈoː_v	1.0
<#_ˈuː	<#_ˈoː	1.0
<#_ˈeː	<#_ˈɑ	1.0
<#_ʃ	<#_s_χ	1.0
<#_ɡ	<#_χ	1.0
<#_v	<#_ʋ	1.0
<#_tʲ	<#_d	1.0
<#_r	<#_ɾ	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_f	<#_v	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
<#	<#_ʋ	1.0
r	ɾ	0.944
<#_h	<#_ɦ	0.913
#>	n_#>	0.884
d_#>	d̥_#>	0.846
ˈuː	ˈoː	0.778
v	ʋ	0.778
ˈeː	ˈɛ	0.75
n_ə	n_d_ə	0.75
n_#>	n_#>	0.741
<#_s	<#_z	0.719
k_ə	k_ə	0.714
s_#>	s_#>	0.688
m_ə	m_ə	0.667
ˈi	ˈɛi̯	0.625
ə	ə	0.621
ˈʏ	ˈœy̯	0.6
ˈøː	ˈœy̯	0.6
ˈaː	ˈoː	0.6
lʲ_#>	d̥_#>	0.6
d	d	0.6
ˈʊ	ˈɔ	0.579
nʲ_#>	n_#>	0.571
ˈɛi̯	ˈaː	0.556
ˈɔː	ˈɔ	0.556
ˈɔu̯	ˈaː	0.5
ˈɔu̯	-	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	ˈoː	0.5
ˈɒː	ˈɑ	0.5
ˈɒː	ˈaː_p	0.5
<#_t	<#_t	0.5
<#_t	<#_d	0.5
ˈœ	ˈu	0.455
ˈiː	ˈi	0.452
ˈyː	ˈœy̯	0.438
nʲ_#>	n_d̥_#>	0.429
<#_j	<#	0.429
ˈʏ	ˈʏ	0.4
ˈøː	ˈyː	0.4
ˈaː	ˈeː	0.4
ˈa	ˈɪ	0.4
lʲ_#>	ɫ_#>	0.4
d	χ_ə	0.4
ˈyː	ˈoː	0.375
ˈi	ˈɪ	0.375
ˈœ	ˈɑ	0.364
m_ə	m	0.333
s_#>	#>	0.312
ə	-	0.31
ˈiː	ˈeː	0.29
k_ə	k	0.286
<#_j	<#_χ	0.286
<#_j	<#_j	0.286
<#_s	<#_s	0.281
ˈeː	ˈʏ	0.25
n_ə	n_ə	0.25
ˈɛi̯	ˈɑ	0.222
ˈɛi̯	ˈu	0.222
ˈɔː	ˈɑ	0.222
ˈɔː	ˈeː	0.222
ˈuː	ˈeː	0.222
v	-	0.222
ˈa	ˈɑ	0.2
ˈyː	ˈɔ_n	0.188
n_#>	#>	0.185
ˈœ	ˈɑu̯	0.182
ˈʊ	ˈɪ	0.158
ˈʊ	ˈɑ	0.158
d_#>	d_ə_#>	0.154
ˈa	ˈɛ	0.133
ˈa	ˈaː	0.133
ˈa	-	0.133
ˈiː	ˈɛi̯	0.129
ˈiː	ˈoː	0.129
#>	χ_#>	0.116
ˈʊ	ˈɛ	0.105
<#_h	<#	0.087
n_#>	n_d̥_#>	0.074
ə	ə_n	0.069
r	ˈɛ_ɾ	0.056
