Logudorese	Neapolitan	probability
ă	-	1.0
f	f	1.0
nː	nː	1.0
sː	sː	1.0
ɖː	lː	1.0
ɲː	ɲː	1.0
ʣ	ʎː	1.0
d	d	0.931
m	m	0.771
n	n	0.921
o	o	0.291
ˈe	j_ˈɛ	0.221
b	k	0.12
e	ə	0.842
k	k	0.522
ˈa	ˈa	0.942
i	-	0.483
m	ŋ	0.173
o	u	0.423
p	k	0.103
r	j	0.103
r	ɾ	0.553
s	s	0.683
ð	-	0.103
ɣ	ʃ	0.453
ˈo	ˈo	0.153
ˈo	ˈu	0.153
b	-	0.054
i	ə	0.074
l	l	0.854
z	-	0.344
ɡ	ʤ	0.554
ˈe	ˈe	0.134
ˈi	ˈi	0.864
ˈo	w_ˈɔ	0.204
β	-	0.174
b	v	0.685
j	j	0.325
j	-	0.675
k	ʃ	0.25
r	-	0.205
rː	rː	0.385
rː	ɾ_n	0.615
s	ʃː	0.085
ˈe	ˈa	0.075
ˈu	ˈo	0.075
ˈu	ˈu	0.925
a	ə	0.876
i	i	0.436
m	mː	0.056
o	ə	0.286
t	t	0.646
z	j	0.656
ɡ	ɡ	0.446
p	p	0.897
u	ə	0.987
ð	t	0.897
β	v	0.197
a	a	0.118
b	p	0.088
e	i	0.058
ɣ	k	0.348
ˈe	ˈi	0.188
d	-	0.069
k	-	0.059
k	kː	0.169
l	<#_w	0.129
r	r	0.139
s	ʃ	0.219
t	tː	0.309
ɣ	-	0.199
ˈe	ˈɛ	0.339
ˈi	ˈe	0.119
ˈo	ˈɔ	0.49
β	p	0.629
