Proto-Germanic	West Flemish	probability
a	-	1.0
b	b	0.96
d	d	0.573
d	t	0.427
e	ə	0.792
e	-	0.208
i	-	0.721
i	ə	0.145
i	n	0.08
iː	-	1.0
j	-	0.902
j	j	0.051
jː	ˈɛː	1.0
k	k	0.71
k	h	0.29
kʷ	v	1.0
kː	-	1.0
l	l	0.76
l	-	0.102
l	w	0.077
l	n	0.062
lː	l	1.0
m	m	0.909
m	-	0.075
mː	m	1.0
n	n	0.723
n	-	0.23
nː	n	0.661
nː	ˈɪ	0.339
p	p	1.0
pː	p	1.0
r	ɾ	0.943
r	-	0.054
s	s	0.48
s	z	0.385
s	ʃ	0.085
sː	s	1.0
t	t	0.983
u	-	0.747
u	n_ə	0.127
u	ə	0.089
w	ʋ	0.665
w	-	0.233
w	ˈœ	0.068
wː	ˈyː	1.0
x	h	0.453
x	z	0.345
x	-	0.081
x	k	0.066
x	v	0.055
xʷ	ʋ	0.635
xʷ	-	0.365
z	-	0.991
ð	-	0.447
ð	d	0.282
ð	ɾ	0.271
ŋ	ŋ	0.909
ŋ	-	0.064
ɑ	-	0.933
ɑ	ə	0.06
ɑi̯	ˈiə̯	1.0
ɑː	-	1.0
ɑ̃	-	0.947
ɑ̃	n	0.053
ɔː	ə	0.728
ɔː	-	0.155
ɔː	ɾ	0.117
ɔːu̯	ə	1.0
ɔːː	ə	1.0
ɔ̃ː	ə	1.0
ɡ	-	0.863
ɡ	k	0.137
ɡʷ	-	1.0
ɣ	ɦ	0.738
ɣ	-	0.179
ɸ	v	0.995
ˈe	ˈæ	0.373
ˈe	ˈeː	0.202
ˈe	ˈiə̯	0.135
ˈe	ˈɒː	0.059
ˈe	ˈu	0.054
ˈeu̯	ˈiə̯	0.653
ˈeu̯	-	0.174
ˈeu̯	ˈœ	0.174
ˈi	ˈɪ	0.574
ˈi	ˈæ	0.086
ˈi	ˈi	0.079
ˈi	ˈiə̯	0.072
ˈi	ˈœ	0.07
ˈi	-	0.055
ˈiu̯	ˈiə̯	0.859
ˈiu̯	ˈyː	0.141
ˈiː	ˈi	0.747
ˈiː	ˈɛ	0.105
ˈiː	ˈyː	0.076
ˈiː	ˈiə̯	0.072
ˈu	ˈoː	0.305
ˈu	ˈu	0.251
ˈu	ˈɔ	0.117
ˈu	ˈœ	0.081
ˈu	-	0.08
ˈu	ˈɪ	0.058
ˈuː	ˈyː	0.78
ˈuː	ˈu	0.128
ˈuː	ˈuə̯	0.092
ˈɑ	ˈɑ	0.657
ˈɑ	ˈɒː	0.134
ˈɑ	-	0.083
ˈɑi̯	ˈɛː	0.763
ˈɑi̯	ˈiə̯	0.091
ˈɑi̯	ˈɛ	0.075
ˈɑi̯	ˈeː	0.07
ˈɑu̯	ˈoː	0.969
ˈɔ	ˈuə̯	1.0
ˈɔː	ˈuə̯	0.938
ˈɔː	ˈiə̯	0.062
ˈɛː	ˈɒː	1.0
β	v	0.94
θ	d	0.749
θ	t	0.188
θ	-	0.063
